成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
ねば	ばね	1	り	ねばり	粘り
ねふ	ふね（船・舟）:舟（ふね）:船（ふね）	1	だ	だねふ	値札
ねほ	骨（ほね）	1	ん	ねほん	本音
のー	ノー	1	と	とのー	ノート
ばら	ばら	1	に	にばら	バニラ
ひふ	皮膚	1	か	かひふ	皮膚科
びる	ビル	1	の	のびる	のびる
ふぼ	父母（ふぼ）	1	そ	そふぼ	祖父母
ぺん	ペン	1	き	きぺん	ペンキ
めよ	嫁	1	い	いめよ	余命:名誉
もや	もや	1	し	しもや	もやし
いぬ	犬	2	め こ	いぬめ いこぬ	縫い目 子犬:小犬・子犬
うけ	受け	2	み も	うけみ うけも	受け身 もうけ
うに	うに	2	ゅ ょ	うにゅ うにょ	乳（にゅう） 尿
えな	苗	2	そ ま	えそな えなま	供え:備え 名前
えゆ	故（ゆえ）	2	ん く	えゆん えくゆ	ゆえん［所以］ 行方（ゆくえ）
おふ	オフ	2	ろ だ	おふろ おだふ	おふろ お札（おふだ）
かび	かび	2	ん な	かびん かなび	完備 中日（なかび）
かー	カー	2	ら れ	からー かれー	カラー カレー
きぐ	危惧:器具	2	ん は	きぐん きぐは	キング 歯茎
きで	出来（でき）	2	さ ん	きさで きでん	出先 電機:電気
きぬ	抜き:絹	2	て た	きてぬ きたぬ	手抜き たぬき
きぼ	規模	2	う ん	うきぼ きぼん	希望 募金
きろ	キロ:帰路	2	く い	きくろ いきろ	記録 黄色（きいろ）
ぎつ	次（つぎ）	2	け あ	ぎけつ あぎつ	決議 厚着
くせ	癖（くせ）	2	っ ん	くせっ くせん	節句・節供 苦戦
くぼ	僕（ぼく）	2	み ら	くぼみ くぼら	くぼみ 僕ら
くれ	暮れ	2	ず お	くずれ おくれ	崩れ 後れ:遅れ
けぬ	抜け	2	め げ	けぬめ けげぬ	抜け目 抜け毛
けま	負け	2	お な	おけま けなま	おまけ 怠け
げひ	ひげ	2	か き	かげひ きげひ	日陰 悲劇
げま	曲げ	2	ゆ つ	げまゆ げつま	まゆ毛 まつげ
こは	箱:箱（はこ）	2	び ん	こはび こはん	運び 判子
これ	これ	2	ら づ	こられ こづれ	これら 子連れ
ごさ	誤差	2	い ん	いごさ ごさん	最後 誤算
ごし	死後:私語	2	と は	ごしと ごしは	仕事 はしご
ごほ	保護	2	う か	うごほ かごほ	誤報 過保護
ごむ	ゴム	2	ん わ	ごむん ごむわ	無言（むごん） 輪ゴム
さち	幸（さち）	2	ん っ	さちん さちっ	産地 察知
さば	さば	2	か つ	かさば さつば	酒場 翼（つばさ）
さび	さび	2	け わ	けさび さびわ	叫び わさび
さぶ	サブ	2	い し	いさぶ さしぶ	細部 渋さ
さら	皿（さら）	2	く だ	くさら さだら	暗さ:桜:落差 サラダ
ざん	残	2	と ね	ざとん ざねん	登山 捻挫
じに	二次:虹	2	ち ん	じちに じにん	日時 辞任
じひ	ひじ:自費	2	つ き	じつひ きじひ	自筆 ひじき
じふ	自負	2	ん と	じふん じとふ	夫人:婦人 太字
じれ	レジ:レジ［〜係］	2	い ん	いじれ じれん	事例:辞令 レンジ
じろ	路地	2	ん く	じろん くじろ	持論 黒字
すで	素手	2	う く	うすで くすで	薄手 デスク
すぱ	パス	2	い た	いすぱ すたぱ	スパイ パスタ
すべ	すべ	2	と て	すとべ すてべ	ベスト すべて
ずは	はず	2	み れ	ずはみ ずはれ	弾み 外れ
ずみ	みず:水（みず）	2	は い	ずはみ いずみ	弾み 泉（いずみ）
せに	偽（にせ）	2	い し	いせに しせに	二世 老舗（しにせ）
せみ	せみ:店（みせ）	2	す ば	すせみ せばみ	ミセス 見せ場
せや	やせ	2	い ら	いせや せやら	野性 やらせ
せる	セル	2	ふ ー	せふる せるー	セルフ セール
せわ	世話	2	か あ	かせわ あせわ	為替 あわせ
そつ	卒	2	し い	しそつ いそつ	素質 そいつ
そと	外（そと）	2	う ふ	うそと そとふ	塗装 ソフト:ソフト［コンピューター〜］
そみ	みそ	2	よ ほ	そみよ そほみ	よそ見 細身
それ	それ	2	ら お	そられ おそれ	それら 恐れ
たに	谷	2	ん ま	たにん たにま	他人 谷間（たにま）
たば	束（たば）	2	ち こ	たちば こたば	立場 たばこ
たら	たら	2	こ か	こたら かたら	たらこ 宝
たわ	綿（わた）	2	し い	したわ いたわ	私（わたし） 対話
ちの	後（のち）	2	う い	うちの いちの	知能:農地 命（いのち）
ちは	八（はち）	2	い た	いちは たちは	配置 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち）
つて	つて:鉄	2	し う	しつて うつて	私鉄 打つ手
つや	つや:やつ:八つ	2	っ お	っつや おつや	八つ おやつ
つゆ	梅雨（つゆ）:露（つゆ）	2	い お	いつゆ おつゆ	唯一（ゆいつ） おつゆ
てま	手間	2	え ー	えてま てまー	手前（てまえ） テーマ
てら	寺（てら）	2	ぶ が	てぶら がてら	手ぶら 手柄
とほ	徒歩	2	う け	うとほ けとほ	途方 仏（ほとけ）
どめ	めど	2	と は	とどめ どはめ	とどめ 歯止め
どれ	どれ	2	か す	かどれ すどれ	どれか ドレス
ねは	羽・羽根（はね）:羽（はね）	2	ん や	ねはん ねはや	半値 早寝
ねや	屋根	2	は す	ねはや すねや	早寝 安値
のび	のび（伸・延）:伸び	2	せ る	せのび のびる	背伸び のびる
はま	浜	2	れ べ	はまれ はべま	晴れ間 浜辺
ひび	ひび:日日（ひび）	2	ん き	ひびん きひび	備品 響き
ひれ	ひれ	2	ぐ い	ぐひれ いひれ	日暮れ 比例
びゆ	指	2	わ こ	びゆわ こびゆ	指輪 小指
ふよ	付与	2	け う	けふよ うふよ	夜更け 不用:不要:扶養
ふれ	触れ	2	と な	とふれ なふれ	レフト 不慣れ
へや	部屋	2	ぎ い	ぎへや いへや	部屋着 平野
まや	山（やま）	2	だ い	だまや いまや	山田 病（やまい）
まゆ	まゆ	2	ふ げ	ふまゆ げまゆ	真冬 まゆ毛
むら	村（むら）	2	ぐ こ	ぐむら こむら	グラム コラム
もれ	漏れ	2	だ ん	だもれ もれん	だれも レモン
るわ	悪（わる）	2	ぎ さ	ぎるわ さるわ	悪気（わるぎ） 悪さ
あお	青	3	り さ な	あおり あおさ あおな	あおり 青さ 青菜
あけ	ケア:明け	3	よ ず な	あけよ あけず あけな	夜明け 預け 毛穴
あげ	上げ:揚げ	3	し く ね	あげし あくげ あげね	仕上げ 挙げ句:挙げ句・揚げ句:揚げ句 値上げ
あせ	汗	3	り わ も	あせり あせわ あせも	焦（あせ）り あわせ あせも
あと	後（あと）:跡	3	す ー う	あすと あとー あうと	ストア アート アウト
いぜ	税	3	ふ せ ん	いぜふ いせぜ いぜん	風情 是正 以前:善意
うえ	上（うえ）	3	ま め き	うえま うえめ うえき	真上 目上 植木（うえき）
うお	王:魚（うお）	3	ろ ぼ と	うおろ うおぼ うおと	往路 応募 嘔吐（おうと）
うめ	梅	3	ら す え	うめら うすめ うえめ	裏目 薄め 目上
うら	裏	3	め み い	うめら うみら いうら	裏目 恨み 雷雨
えご	エゴ	3	こ い ん	えこご いえご えごん	小声 英語:護衛 援護
えさ	えさ（餌）:餌（えさ）	3	さ お か	えささ えおさ えかさ	支え 押さえ 栄（さか）え
えす	末（すえ）	3	き い ー	えきす いえす えすー	エキス イエス エース
えむ	エム	3	ん か き	えむん えかむ えきむ	無縁 迎え 無益
おじ	伯父・叔父（おじ）:伯父（おじ）:叔父（おじ）	3	や せ ら	おじや おじせ おじら	おやじ お世辞 ラジオ
おす	雄（おす）	3	か る が	おかす おする おがす	カオス お留守 素顔
おに	鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］	3	く も い	おくに おにも いおに	お国 重荷 におい
おば	伯母・叔母（おば）:伯母（おば）:叔母（おば）	3	き ち く	おきば おちば おくば	置き場 落ち葉 奥歯
かず	数（かず）	3	ん て お	かずん かずて おかず	図鑑 手数（てかず） おかず
かそ	過疎	3	ん く う	かそん かくそ うかそ	簡素 加速 仮想:仮装
かほ	外（ほか）	3	ご く ん	かごほ かくほ かほん	過保護 確保 保管
かも	かも:かも［〜になる］	3	く つ め	かくも かつも かめも	科目:課目 貨物 かもめ
がす	ガス	3	た ら お	がすた がすら おがす	姿 ガラス 素顔
がわ	側（がわ）	3	み や し	がみわ がやわ がしわ	我が身 我が家（や） 和菓子
きじ	時期:次期:生地:記事	3	り つ ひ	きじり きじつ きじひ	自力 期日 ひじき
きふ	寄付:寄付・寄附	3	む っ ん	きふむ きっふ きふん	不向き 復帰 ふきん:付近:付近・附近:奮起
きも	肝（きも）	3	ど ち の	きども きちも きのも	もどき 気持ち 着物
きゆ	ゆき:行（ゆ）き:雪（ゆき）	3	き う せ	ききゆ うきゆ きせゆ	行（ゆ）き来 勇気 石油
ぎさ	詐欺	3	わ し う	ぎさわ ぎさし うぎさ	騒ぎ 詐欺師 うさぎ
くず	くず:くず（屑）:屑（くず）	3	れ い も	くずれ いくず くずも	崩れ クイズ もずく
くぞ	族（ぞく）	3	ふ か い	くぞふ かくぞ いくぞ	付属:付属・附属 家族 遺族
くに	国（くに）:肉	3	お や ひ	おくに くにや くにひ	お国 肉屋 皮肉
けた	丈（たけ）	3	せ す は	けせた けすた けたは	背丈 助け 畑（はたけ）
けや	やけ［〜になる］	3	い ひ ど	いけや けひや けどや	夜景:嫌気（いやけ） 日焼け やけど
けり	けり:けり［〜を付ける］	3	い ん む	いけり けりん けむり	理系:経理 権利 煙（けむり）
こさ	濃さ	3	う じ め	うこさ こさじ こさめ	交差 小さじ 小雨（こさめ）
こざ	雑魚（ざこ）	3	い う ら	いこざ うこざ こざら	在庫 口座:講座 小皿
こそ	そこ:底	3	ら あ う	こそら あこそ うこそ	そこら あそこ 倉庫
こね	コネ［コネクション］:猫	3	ぜ ど こ	こぜね こどね ここね	猫背 寝床 子猫:小猫:小猫・子猫
こめ	米（こめ）	3	の い さ	このめ いこめ こさめ	女の子 濃いめ 小雨（こさめ）
さじ	さじ:時差	3	ん く こ	さじん くさじ こさじ	惨事:持参 自作 小さじ
さほ	補佐	3	そ う っ	さそほ うさほ さっほ	細さ 作法 発作
さま	様（さま）	3	つ う ん	さつま うさま さまん	摩擦 うまさ さんま
しじ	四時:指示:支持:私事（しじ）	3	ん つ め	しじん しじつ しじめ	地震:自信:自身 自室 しめじ
しよ	よし	3	う く ん	うしよ くしよ しよん	仕様:使用:容姿:用紙:私用 抑止 予震:余震
しる	汁	3	し ゆ ー	ししる しゆる しるー	印（しるし） 許し シール
じす	筋（すじ）	3	う い せ	うじす いじす じすせ	数字 炊事:自炊 背筋
じた	自他	3	い ん く	いじた じたん くじた	事態:自体:辞退:退治 時短［労働時間短縮］ 自宅
じち	知事:自治	3	い に ん	いじち じちに じちん	一時（いちじ） 日時 知人
じむ	ジム:事務:無地	3	つ ん こ	じつむ じむん こじむ	無実 無人 無事故
する	留守	3	り お い	すりる おする いする	スリル お留守 居留守
そば	そば	3	の や う	そのば そばや うそば	その場 そば屋 相場
そら	空（そら）	3	ち れ こ	そちら そられ こそら	そちら それら そこら
そり	反り	3	う ぶ く	うそり そぶり くそり	理想 素振り（そぶり） 利息
たて	立て:縦	3	し ん み	したて たてん たてみ	下手（したて） 他店 見立て
たな	棚	3	あ か ど	あたな かたな たどな	あなた かなた:田中 どなた
ため	ため	3	し み か	しため たみめ かため	ためし:試し 見た目 固め:高め
だは	肌（はだ）	3	か す し	かだは すだは しだは	裸 素肌 はだし
だめ	駄目	3	さ か ま	さだめ かだめ だまめ	定め めだか 目玉
ちむ	無知	3	ー ゃ き	ちむー ちむゃ きちむ	チーム むちゃ キムチ
ちょ	著	3	く う し	くちょ うちょ しちょ	直（ちょく） 兆:庁:町（ちょう）:腸:長（ちょう） 処置
ちり	地理	3	っ ー い	ちっり ちりー いちり	立地 リーチ 一理
つど	都度	3	し み い	しつど つどみ いつど	湿度 密度 ドイツ:集い
つば	ばつ［×］:罰（ばつ）	3	な け さ	つなば けつば さつば	夏場 バケツ 翼（つばさ）
つべ	別	3	く さ こ	くつべ さつべ こつべ	区別 差別 個別
つむ	六つ	3	じ っ ざ	じつむ っつむ ざつむ	無実 六つ 雑務
つめ	つめ:詰め	3	は あ と	つはめ あつめ つとめ	破滅 厚め 勤め
つれ	列:連れ	3	は き か	つはれ きつれ かつれ	破裂 亀裂 疲れ
てれ	照れ	3	や い び	てやれ いてれ てびれ	照れ屋 手入れ テレビ
とら	寅（とら）	3	す い び	すとら いとら とびら	ラスト トライ:ライト 扉
どま	窓	3	り い ら	どまり いどま どまら	間取り 毎度 ドラマ
ねま	まね:マネ	3	し き ー	しねま きねま ねまー	シネマ 招き マネー
はり	張り:針（はり）	3	し か や	しはり かはり はやり	走り はかり（計・量・測）:測り:計り はやり
ひも	ひも	3	ち く の	ちひも くひも のひも	日持ち 黙秘 干物（ひもの）
びよ	予備	3	う な つ	うびよ なびよ つびよ	曜日:美容 呼び名 強火（つよび）
ふゆ	冬	3	ば ま ぎ	ばふゆ ふまゆ ぎふゆ	冬場 真冬 冬着
ふら	ラフ	3	い ぐ し	いふら ぐふら しふら	フライ:ライフ グラフ しらふ
べる	ベル	3	れ と ら	べるれ とべる べらる	レベル ベルト ラベル
べん	便:弁	3	り ふ ち	べりん ふべん ちべん	便利:利便 不便 ベンチ
むり	無理	3	ず ね け	ずむり ねむり けむり	リズム 眠り 煙（けむり）
めも	メモ	3	と ん か	とめも めもん かめも	求め:目もと 木綿 かもめ
めや	やめ	3	す は く	すめや はめや くめや	休め:安め:目安 はやめ（早・速）:早め:速め 役目
より	より	3	も た う	もより たより うより	最寄り 便り:頼り 利用
あに	兄	4	い し ま め	あいに あしに あにま あにめ	似合い シニア マニア アニメ
あめ	あめ:雨（あめ）	4	て さ つ に	あてめ あさめ あつめ あにめ	目当て 浅め 厚め アニメ
あら	粗（あら）	4	ち い ぶ し	あちら あいら あぶら あしら	あちら 洗い あぶら（油・脂）:油（あぶら）:脂（あぶら） あらし
えこ	声	4	ご た き ー	えこご えこた えきこ えこー	小声 答え 聞こえ エコー
おや	親	4	こ じ や つ	おこや おじや おやや おつや	親子 おやじ 八百屋 おやつ
おれ	おれ	4	く の そ い	おくれ おのれ おそれ いおれ	後れ:遅れ 己（おのれ） 恐れ お礼
かが	画家	4	く い ん み	かがく いかが かがん かがみ	化学（かがく）:科学 外貨:絵画 眼科 鏡（かがみ）
かぎ	かぎ（鍵）:鍵（かぎ）	4	り い く せ	かぎり いかぎ かぎく かぎせ	限り 会議:議会 閣議 稼ぎ
かご	かご	4	ん い く ほ	かごん いかご かくご かごほ	互換:看護:過言（かごん） ごかい:介護:誤解 覚悟 過保護
がめ	メガ	4	ん な み ね	がめん がなめ がみめ がねめ	画面 眺め:長め 女神（めがみ） 眼鏡（めがね）
きず	傷（きず）	4	す し む あ	きすず きしず きずむ あきず	すずき:鈴木 図式 無傷 小豆（あずき）
きそ	基礎	4	ん し う く	きそん きしそ うきそ きくそ	既存（きそん） 組織:色素 早期 規則
きよ	予期	4	つ わ う ん	きつよ きよわ うきよ きよん	強気 弱気:気弱 容器:起用:陽気 預金
きわ	わき:ワキ:際（きわ）	4	み よ か し	きみわ きよわ かきわ きしわ	わき見:極み 弱気:気弱 乾き:渇き 和式
ぎく	くぎ	4	り わ か と	ぎくり ぎくわ かぎく ぎくと	区切り:区切り・句切り 疑惑 閣議 特技
ぎり	義理	4	わ か く に	ぎりわ かぎり ぎくり ぎにり	輪切り 限り 区切り:区切り・句切り 握り
くど	毒	4	い そ か こ	いくど くそど かくど くこど	幾度（いくど） 土足:速度 角度 孤独
くび	首	4	は ち て あ	くはび くちび くてび あくび	美白 備蓄 手首 あくび
けさ	けさ:さけ:今朝（けさ）:酒（さけ）	4	な び ん む	けさな けさび けさん けさむ	情け 叫び 検査 寒気（さむけ）
けむ	向け	4	ね ん り さ	けねむ けむん けむり けさむ	眠気 兼務 煙（けむり） 寒気（さむけ）
こび	こび	4	は ん う ゆ	こはび こびん うこび こびゆ	運び コンビ 交尾:備考 小指
こや	小屋	4	ん お と し	こやん おこや ことや こしや	今夜 親子 床屋 肥やし
ごま	ごま:孫	4	ん ひ い た	ごまん ごひま いごま ごたま	五万 ひ孫 迷子（まいご） 卵（たまご）
ごろ	ごろ:ロゴ	4	ひ み う ね	ごひろ ごみろ うごろ ごねろ	日ごろ 見ごろ 老後 ごろ寝
しな	なし:品（しな）	4	お い ら は	おしな いしな しなら しなは	直し 市内 ならし 話（はなし）
しに	死に［生き〜］:西（にし）	4	あ せ っ び	あしに しせに しっに しにび	シニア 老舗（しにせ） 日誌 西日
しほ	干し:星（ほし）	4	ゅ つ ょ ん	しほゅ しつほ しほょ しほん	保守 保湿 初歩 資本
しむ	無視:蒸し:虫（むし）	4	か ん ろ ば	かしむ しむん しむろ しばむ	昔 無心 むしろ 虫歯
すま	ます	4	き い く う	きすま いすま くすま うすま	すき間 住まい:睡魔:麻酔 マスク マウス
ずれ	ずれ	4	い は く ん	いずれ ずはれ くずれ ずれん	いずれ 外れ 崩れ レンズ
そふ	祖父	4	く ぼ う と	くそふ そふぼ うそふ そとふ	不足 祖父母 送付 ソフト:ソフト［コンピューター〜］
そよ	よそ	4	う お く み	うそよ おそよ くそよ そみよ	予想:要素 およそ 予測 よそ見
たは	畑（はた）	4	ん ち つ け	たはん たちは たつは けたは	破綻 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち） 多発 畑（はたけ）
たふ	ふた:ふた（蓋）:蓋（ふた）	4	つ り え ん	たつふ たふり えたふ たふん	二つ ふたり 二重（ふたえ） 負担
たぶ	豚（ぶた）	4	い ん す ま	いたぶ たぶん すたぶ たぶま	舞台 多分 酢豚 まぶた
ちに	日（にち）	4	じ ど ひ ん	じちに ちどに ちにひ ちにん	日時 土日 日にち 認知
つな	ツナ:夏（なつ）	4	ば ま み っ	つなば つなま つなみ っつな	夏場 真夏 津波 ナッツ
なら	なら	4	ん び し お	ならん なびら しなら おなら	何ら 並び ならし おなら
ねむ	旨（むね）:胸	4	ん け り ー	ねむん けねむ ねむり ねむー	無念 眠気 眠り ネーム
はら	腹	4	ん し い の	はらん しはら いはら のはら	波乱:波瀾・波乱 柱（はしら） 払い 野原
ひる	ひる:昼	4	あ ま お ね	あひる ひまる おひる ねひる	あひる:ある日 昼間（ひるま）:真昼 お昼 昼寝
びん	便（びん）:瓶（びん）	4	か こ ひ え	かびん こびん ひびん えびん	完備 コンビ 備品 鼻炎
ふみ	ふみ（文・書）	4	か ん く う	かふみ ふみん くふみ うふみ	深み 不眠 含み 風味
ふり	不利:振り:降り	4	た ま せ と	たふり ふまり せふり とふり	ふたり フリマ せりふ リフト
ふろ	ふろ	4	く あ ば お	くふろ あふろ ばふろ おふろ	付録:付録・附録:復路:袋（ふくろ） フロア ふろ場 おふろ
へん	編:編・篇:辺（へん）	4	い か は じ	いへん かへん はへん じへん	変異:異変 変化 破片 返事
ぼん	盆	4	お き た り	おぼん きぼん たぼん ぼりん	お盆 募金 ぼたん:ボタン リボン
れわ	割れ	4	か め ら す	かれわ めれわ られわ すれわ	分かれ:別れ 割れ目 我ら 忘れ
あさ	朝	5	め つ お ひ り	あさめ あさつ あおさ あさひ あさり	浅め 厚さ:暑さ:熱さ 青さ 朝日 あさり
あす	明日（あす）	5	こ と ぺ い し	あこす あすと あすぺ あいす あしす	スコア ストア スペア アイス 素足
いね	稲	5	が つ ら い か	いがね いつね いねら いいね いかね	願い 熱意 ねらい 言い値 買値
うぞ	像:増（ぞう）:象	5	ね か ひ き り	うぞね うかぞ うぞひ うきぞ うぞり	寝相 増加 秘蔵 寄贈 草履
うむ	有無（うむ）	5	こ そ ぼ よ と	うこむ うそむ うぼむ うむよ うとむ	向こう:無効 総務 無謀 無用 無糖
うも	毛（もう）	5	よ ほ す け ふ	うもよ うほも うすも うけも うふも	模様 模倣 相撲 もうけ 不毛:毛布
かげ	外科:影:陰（かげ）	5	お ん き ひ い	おかげ かげん かきげ かげひ いかげ	お陰 下限:加減:原価 激化 日陰 外科医
かこ	過去	5	う み い ど っ	うかこ かこみ いかこ かこど かこっ	下降:加工:効果:硬貨:高価 囲み 囲い どこか 国家:括弧
かど	角（かど）:過度	5	れ う こ く ん	かどれ うかど かこど かくど かどん	どれか 可動:稼働:稼働・稼動:稼動 どこか 角度 感度
かに	かに	5	な っ わ ん い	かなに かっに かにわ かにん いかに	何（なに）か 日課 にわか 認可 二階
かぶ	かぶ:株:部下	5	か く ん つ れ	かかぶ かくぶ かぶん かつぶ かぶれ	株価 各部 幹部:文化 部活 かぶれ
かゆ	床（ゆか）	5	り み さ い た	かゆり かみゆ かさゆ いかゆ かたゆ	ゆかり かゆみ かゆさ 愉快 浴衣（ゆかた）
かよ	余暇	5	ん い う な っ	かよん いかよ うかよ かなよ かっよ	予感:関与:関与・干与 通い 八日（ようか）:火曜 夜中（よなか） 四日（よっか）
きす	キス:好き:隙（すき）	5	え ま う ず て	えきす きすま うきす きすず きすて	エキス すき間 奇数 すずき:鈴木 手すき［お〜の時に］
きた	北（きた）:滝	5	い り く ん ぬ	いきた きたり きくた きたん きたぬ	待機:期待:気体 他力 帰宅 短期:短気 たぬき
きび	匹（びき）	5	て ね ひ い に	きてび きねび きひび いきび きにび	手引き 値引き 響き いびき にきび
きや	焼き	5	る く ん あ し	きやる きくや きやん あきや きしや	やる気 規約 夜勤 空き家 屋敷
ぎふ	義父	5	し せ と ゆ る	ぎしふ ぎせふ ぎとふ ぎふゆ ぎふる	不思議 防ぎ ギフト 冬着 古着
くと	得（とく）:徳	5	お い じ ー ぎ	おくと いくと くじと くとー ぎくと	遠く 得意 自得 トーク 特技
くほ	北（ほく）	5	そ ぶ い か ろ	くそほ くぶほ いくほ かくほ くほろ	補足 北部 保育 確保 ほくろ
くわ	枠	5	ぎ け や ー ふ	ぎくわ くけわ くやわ くわー くふわ	疑惑 区分け 和訳 ワーク 和服
けわ	分け:訳（わけ）	5	し こ く み て	けしわ けこわ くけわ けみわ けてわ	仕分け 小分け 区分け 見分け 手分け
こつ	こつ［覚える〜］	5	り ぶ べ し た	こつり こつぶ こつべ こしつ こたつ	孤立 小粒 個別 個室:固執（こしつ） こたつ
こぶ	昆布（こぶ）	5	つ う ん り し	こつぶ うこぶ こぶん こぶり こしぶ	小粒 後部 子分:文庫:昆布（こんぶ） 小降り こぶし
こむ	婿	5	う じ す ら ぎ	うこむ こじむ こすむ こむら ぎこむ	向こう:無効 無事故 息子 コラム 小麦
こよ	横	5	ま の く み う	こまよ このよ くこよ こみよ うこよ	真横 この世 予告 暦（こよみ） 雇用
さと	里（さと）	5	っ い お ふ う	さっと いさと おさと さとふ うさと	とっさ サイト:サイト［ウェブ〜］ 遠さ 太さ 佐藤:砂糖
しす	すし	5	か わ う や あ	かしす しすわ うしす しすや あしす	透かし 師走（しわす） 指数 すし屋 素足
しだ	だし	5	い ん み て は	いしだ しだん しだみ しだて しだは	次第:私大 打診:男子（だんし） 見出し 手出し はだし
しち	七（しち）	5	き う ょ み っ	きしち うしち しちょ しちみ しちっ	敷地:知識 仕打ち 処置 七味 湿地
しま	増し:島（しま）	5	り つ た い ね	しまり しつま したま いしま しねま	締まり 始末 真下 姉妹（しまい） シネマ
しゃ	社（しゃ）	5	た い し つ こ	したゃ いしゃ ししゃ しつゃ こしゃ	他社:他者 医者 支社 シャツ 車庫
すめ	メス	5	や う む す ず	すめや うすめ すむめ すすめ すずめ	休め:安め:目安 薄め 娘 勧め すずめ
ちも	もち:持ち［〜がよい］:持ち［土地〜・自分〜］	5	ひ こ ば き て	ちひも こちも ちばも きちも ちても	日持ち 子持ち 持ち場 気持ち 手持ち
ちゃ	茶	5	め く ん お む	ちめゃ くちゃ ちゃん おちゃ ちむゃ	めちゃ 着 ちゃん お茶 むちゃ
つね	常:熱	5	か き い よ び	かつね きつね いつね つねよ つねび	加熱 きつね:寝付き 熱意 余熱 微熱
つぶ	物（ぶつ）:粒（つぶ）	5	こ り か い し	こつぶ つぶり かつぶ いつぶ しつぶ	小粒 物理 部活 異物 私物:部室
とま	的（まと）	5	も め り っ と	とまも とまめ とまり っとま ととま	まとも:まとも［〜に］ まとめ 泊まり マット トマト
とも	もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと）	5	ま め て ね じ	とまも とめも てとも とねも じとも	まとも:まとも［〜に］ 求め:目もと 手もと 根元（ねもと） 地もと
なれ	なれ:慣れ	5	が だ は ば ふ	がなれ だなれ なはれ なばれ なふれ	流れ 雪崩（なだれ） 離れ 場慣れ 不慣れ
