２文字集合	可能な２文字単語
くや	役（やく）:約:訳
くよ	欲:翌
くら	くら（倉・蔵）:楽（らく）
くり	くり:陸（りく）
くれ	暮れ
くろ	くろ:六（ろく）:黒（くろ）
くわ	枠
ぐた	タグ
ぐち	愚痴
ぐん	郡（ぐん）
けさ	けさ:さけ:今朝（けさ）:酒（さけ）
けた	丈（たけ）
けち	けち
けつ	付け:欠:決
けぬ	抜け
けぼ	ぼけ
けま	負け
けむ	向け
けや	やけ［〜になる］
けり	けり:けり［〜を付ける］
けわ	分け:訳（わけ）
けん	件:券:圏:権:県
げこ	焦げ
げさ	下げ
げつ	月（げつ）
げな	投げ
げに	逃げ
げは	はげ
げひ	ひげ
げま	曲げ
げゆ	湯気
げり	下痢
げん	減
ここ	ここ:ここ［〜１，２か月］
こさ	濃さ
こざ	雑魚（ざこ）
こし	古紙:古紙・故紙:腰
こじ	事故:自己
こそ	そこ:底
こた	たこ
こつ	こつ［覚える〜］
こと	事（こと）:床（とこ）
こど	どこ
こな	粉（こな）
こね	コネ［コネクション］:猫
こは	箱:箱（はこ）
こび	こび
こぶ	昆布（こぶ）
こま	駒（こま）
こみ	込み［消費税〜］
こむ	婿
こめ	米（こめ）
こや	小屋
こよ	横
こり	凝り
これ	これ
こん	紺
ごさ	誤差
ごし	死後:私語
ごて	後手
ごほ	保護
ごま	ごま:孫
ごみ	ごみ
ごむ	ゴム
ごろ	ごろ:ロゴ
さじ	さじ:時差
さち	幸（さち）
さつ	冊:札（さつ）
さと	里（さと）
さば	さば
さび	さび
さぶ	サブ
さほ	補佐
さま	様（さま）
さら	皿（さら）
さん	三:三・参（さん）:三（さん）:産
ざひ	ひざ
ざる	ざる
ざわ	技（わざ）
ざん	残
しじ	四時:指示:支持:私事（しじ）
しす	すし
した	下（した）:舌:足し
しだ	だし
しち	七（しち）
しつ	室（しつ）:質
しと	とし（年・歳）:年（とし）:歳（とし）:都市
しな	なし:品（しな）
しに	死に［生き〜］:西（にし）
しぬ	主（ぬし）
しは	はし:橋:端（はし）
しば	芝
しほ	干し:星（ほし）
しま	増し:島（しま）
しみ	しみ
しむ	無視:蒸し:虫（むし）
しめ	締め:飯（めし）
しも	霜
しゃ	社（しゃ）
しや	視野
しゅ	種（しゅ）:酒（しゅ）
しょ	暑:書（しょ）:署
しよ	よし
しり	しり:利子
しる	汁
しろ	白（しろ）
しわ	しわ:わし:和紙
しん	心（しん）:真（しん）:芯
じす	筋（すじ）
じた	自他
じち	知事:自治
じつ	実（じつ）:日（じつ）
じに	二次:虹
じね	ねじ
じは	恥
じひ	ひじ:自費
じふ	自負
じむ	ジム:事務:無地
じも	文字（もじ）
じれ	レジ:レジ［〜係］
じろ	路地
すそ	すそ
すで	素手
すな	なす:砂（すな）
すば	バス
すぱ	パス
すべ	すべ
すぼ	ボス
すま	ます
すみ	ミス:済み:炭:隅
すめ	メス
する	留守
すろ	ロス
ずち	地図
ずは	はず
ずみ	みず:水（みず）
ずゆ	ゆず
ずる	ずる
ずれ	ずれ
せつ	説
せに	偽（にせ）
せみ	せみ:店（みせ）
せめ	攻め:責め
せや	やせ
せる	セル
せわ	世話
せん	千:戦:栓:線
ぜひ	是非
ぜろ	ゼロ
ぜん	前（ぜん）
そつ	卒
そで	そで
そと	外（そと）
そば	そば
そふ	祖父
そへ	へそ
そぼ	祖母
そみ	みそ
そよ	よそ
そら	空（そら）
そり	反り
それ	それ
そろ	ソロ
そん	損:村（そん）
ぞな	なぞ
ぞみ	溝
ただ	ただ:ただ［〜の人］
たて	立て:縦
たな	棚
たに	谷
たね	ねた:種（たね）
たは	畑（はた）
たば	束（たば）
たび	度（たび）:旅
たふ	ふた:ふた（蓋）:蓋（ふた）
たぶ	豚（ぶた）
たへ	下手（へた）
たま	たま:玉（たま）
ため	ため
たら	たら
たわ	綿（わた）
たん	単
だは	肌（はだ）
だむ	無駄
だめ	駄目
だれ	だれ
だん	暖:段
ちち	父
ちつ	土（つち）
ちと	土地
ちに	日（にち）
ちの	後（のち）
ちは	八（はち）
ちふ	淵（ふち）:縁（ふち）
ちま	待ち:町（まち）:街（まち）
ちみ	地味:未知:道（みち）
ちむ	無知
ちも	もち:持ち［〜がよい］:持ち［土地〜・自分〜］
ちゃ	茶
ちゆ	治癒
ちょ	著
ちよ	予知:余地
ちり	地理
つつ	筒
つて	つて:鉄
つど	都度
つな	ツナ:夏（なつ）
つね	常:熱
つは	初（はつ）:発:発（はつ）
つば	ばつ［×］:罰（ばつ）
つぶ	物（ぶつ）:粒（つぶ）
つべ	別
つぼ	つぼ
つま	妻（つま）:末（まつ）
つみ	みつ:みつ（蜜）:罪（つみ）:蜜（みつ）
つむ	六つ
つめ	つめ:詰め
つや	つや:やつ:八つ
つゆ	梅雨（つゆ）:露（つゆ）
つり	率:釣り
つれ	列:連れ
てま	手間
てら	寺（てら）
てれ	照れ
てん	天（てん）:点
でふ	筆（ふで）
でま	デマ
とは	はと
とひ	ひと:人（ひと）
とび	跳び
とほ	徒歩
とま	的（まと）
とみ	富
とめ	止め
とも	もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと）
とら	寅（とら）
とり	取り:鳥（とり）
どの	のど
どほ	程（ほど）
どま	窓
どめ	めど
どや	宿（やど）
どる	ドル
どれ	どれ
どろ	泥
なに	何（なに）
なは	花（はな）:鼻
なべ	なべ
なま	生（なま）:生（なま）［〜の声］
なみ	並（なみ）:波:皆
なら	なら
なれ	なれ:慣れ
なわ	わな
なん	何（なん）:難
にら	にら
にわ	庭（にわ）
にん	人（にん）
ぬの	布
ぬま	沼
ぬり	塗り
ねは	羽・羽根（はね）:羽（はね）
ねば	ばね
ねふ	ふね（船・舟）:舟（ふね）:船（ふね）
ねほ	骨（ほね）
ねま	まね:マネ
ねむ	旨（むね）:胸
ねや	屋根
ねん	年（ねん）
のび	のび（伸・延）:伸び
のべ	延べ
のみ	のみ:飲み
のも	物（もの）:者（もの）
のり	のり:乗り
のー	ノー
はは	母
はば	幅
はま	浜
はむ	ハム
はめ	羽目
はら	腹
はり	張り:針（はり）
はる	春
はれ	はれ［〜が引く］:晴れ
はん	半:班
ばら	ばら
ばん	晩:番
ぱん	パン
ひび	ひび:日日（ひび）
ひふ	皮膚
ひま	暇（ひま）:麻痺
ひも	ひも
ひる	ひる:昼
ひれ	ひれ
ひん	品（ひん）
びふ	不備
びへ	へび
びみ	美味
びゆ	指
びよ	予備
びる	ビル
びん	便（びん）:瓶（びん）
ぴん	ピン
ふぼ	父母（ふぼ）
ふみ	ふみ（文・書）
ふゆ	冬
ふよ	付与
ふら	ラフ
ふり	不利:振り:降り
ふれ	触れ
ふろ	ふろ
ふん	分（ふん）
ぶら	ラブ
ぶり	ぶり
ぶん	分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）
ぷろ	プロ
へや	部屋
へり	ヘリ
へん	編:編・篇:辺（へん）
べる	ベル
べん	便:弁
ぺん	ペン
ほら	ほら［〜吹き］
ほん	本（ほん）
ぼん	盆
まま	まま:まま［気の向く〜］:ママ
まめ	まめ:豆
まや	山（やま）
まゆ	まゆ
まる	まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる）
まん	万
みみ	耳
みよ	読み:読み［〜が外れる］
みり	ミリ
みる	みる
むら	村（むら）
むり	無理
むれ	群れ
めも	メモ
めや	やめ
めゆ	夢
めよ	嫁
めん	綿（めん）:面（めん）:麺
もも	もも:桃
もや	もや
もり	森:盛（も）り
もれ	漏れ
もん	門（もん）
やゆ	揶揄（やゆ）
ゆれ	揺れ
より	より
よる	夜（よる）
らん	欄
りわ	割（わり）
るわ	悪（わる）
れわ	割れ
わん	わん（椀・碗）:碗（わん）
