４文字集合	可能な４文字単語
いしてん	進呈:遺伝子
いしとひ	等しい
いしとふ	しぶとい
いしとほ	乏しい
いしとま	毎年（まいとし）
いしとん	しんどい
いしなま	まじない
いしなむ	空しい
いしなや	社内:車内
いしなよ	内緒
いしなん	内心
いしはや	廃車:敗者:歯医者
いしはよ	居場所:排除
いしはら	支払い
いしはる	意地張る
いしはん	心配:配信
いしふま	まぶしい
いしへや	弊社
いしまん	新米
いしむる	虫類
いしむん	事務員
いしめや	社名
いしめよ	名所:書名:署名
いしめる	いじめる
いしめろ	白い目
いしめん	人名:人命:名人:迷信
いしめー	イメージ
いしやら	来社
いしやれ	謝礼:謝礼［〜金］
いしやん	社員
いしゆる	種類
いしゆん	順位:飲酒
いしよる	書類
いしよろ	よろしい
いしらん	信頼
いしりり	りりしい
いしりん	新入り
いしるれ	仕入れる
いしるわ	意地悪
いしるん	人類:親類
いしれん	心霊
いしろろ	色白
いしんん	人員
いすすは	スパイス
いすせつ	節水
いすせる	制する
いすせん	推薦:水洗
いすたつ	脱水
いすたみ	見いだす
いすたや	たやすい
いすたら	いたずら
いすたる	スタイル:対する
いすちつ	スイッチ
いすちる	位置する
いすつは	抜粋:酸っぱい
いすつほ	水没
いすつや	費やす
いすては	バス停
いすとふ	図太い
いすとら	イラスト:スライド
いすとる	吸い取る:意図する:鋭い
いすとー	スイート
いすなま	マイナス:済まない
いすのも	吸い物
いすはは	バイパス
いすはや	素早い
いすはん	炊飯
いすふら	プライス
いすふん	噴水:水分:随分
いすへん	スペイン
いすまる	スマイル
いすまん	満水
いすみや	見やすい
いすみよ	住みよい
いすみる	意味する
いすみろ	水色
いすみん	睡眠
いすもれ	いずれも
いするわ	居座る
いせせつ	節制
いせせん	先制:先生:前世（ぜんせい）:生前:生鮮
いせたつ	大切:接待:絶大:絶対:達成
いせたん	先代:全体:全体［一体〜］:対戦:生誕:男性
いせつつ	一説
いせつて	設定
いせつな	切ない
いせつは	発声:発生
いせつふ	生物（せいぶつ）
いせつへ	性別
いせつみ	精密
いせつめ	説明
いせつり	成立:税率
いせつれ	劣勢:整列
いせつん	一戦:一線
いせてん	前提:晴天:選定:青天
いせとん	整頓
いせなん	内線
いせねん	青年
いせはん	先輩:全敗:反省:敗戦:配線
いせひん	品性:製品
いせふん	成分
いせへん	せんべい:全米:平然
いせまん	慢性
いせめん	免税:鮮明
いせもん	正門
いせれん	前例
いせろん	正論
いせんん	全員
いそふろ	不ぞろい
いたたつ	脱退
いたたま	ただ今
いたたん	単体:団体:大胆:対談
いたちつ	ついたち
いたちら	いら立ち
いたちり	立ち入り
いたちる	立ち入る
いたちん	一段:賃貸
いたつつ	逸脱
いたつて	手伝い:撤退:至って
いたつね	耐熱
いたつは	配達
いたつふ	大仏:物体
いたつま	参った
いたつめ	冷たい
いたつら	いら立つ
いたつり	対立:立体
いたつん	いったん:一端
いたてめ	めでたい
いたてん	断定
いたとる	タイトル
いたなま	まな板
いたなん	難題
いたにま	いまだに
いたにん	忍耐
いたねむ	眠たい
いたねん	年代
いたはろ	肌色
いたはん	反対:大半
いたひら	平たい:平たい［〜く言えば］
いたふみ	踏み台
いたふん	大分（だいぶん）
いたへん	変態:大変:平坦
いたほん	本体:本題
いたまん	怠慢
いたまー	タイマー
いためら	ためらい
いためる	いためる:いためる（痛・傷）:いた（傷）める:傷める:傷（いた）める:痛める
いためん	対面:明太（めんたい）
いたもん	問題
いたやる	ダイヤル
いたらー	ライター
いたるわ	いたわる
いたれん	冷暖
いたわん	台湾
いちちに	一日（いちにち）
いちつふ	不一致
いちつり	一律
いちつれ	一列
いちとに	一度に
いちとめ	知名度
いちにま	毎日
いちにめ	命日
いちねん	一年
いちはん	一番
いちまん	一万:万一
いちむや	チャイム
いちめよ	著名
いちめん	一面
いちもる	用いる
いちやろ	茶色
いちらん	一覧
いちれん	一連
いつつと	追突
いつてて	徹底
いつてに	ついでに:日程
いつては	ついては
いつても	いつでも
いつてる	ついてる
いつとふ	フィット
いつなん	捺印
いつねへ	平熱
いつねよ	根強い
いつのま	いつの間（ま）
いつはは	発売
いつはめ	発明
いつはり	倍率
いつはれ	配列・排列
いつはん	一般
いつふめ	名物
いつへみ	密閉
いつへめ	別名（べつめい）
いつへん	一変:一片
いつほん	一本
いつみら	見づらい
いつやろ	色つや
いつゆり	梅雨入り
いつりわ	偽り
いつるわ	偽る
いててん	停電
いてなん	店内
いてなー	ディナー
いてにん	認定
いてぬる	手ぬるい
いてねん	定年:定年・停年
