３文字集合	可能な３文字単語
あせる	あせる［色が〜］:焦（あせ）る
あせわ	あわせ
あせん	唖然
あそひ	遊び
あそふ	遊ぶ:遊ぶ［〜んで暮らす］
あたな	あだ名:あなた
あたま	頭（あたま）
あたら	新た
あたり	当たり:辺り
あたる	当たる:当たる［つらく〜］
あたれ	荒れた
あたん	安打
あちつ	あっち
あちら	あちら
あちれ	荒れ地
あちん	治安
あつて	厚手
あつふ	アップ
あつみ	厚み
あつめ	厚め
あつー	ツアー
あてて	手当て:手当［通勤〜］
あてな	あて名
あてめ	目当て
あてる	…てある:…である:当てる
あとみ	網戸
あとー	アート
あなは	穴場
あにま	マニア
あにめ	アニメ
あのひ	ピアノ
あひゆ	ピュア
あひる	あひる:ある日:浴びる:浴びる［一風呂〜］
あふら	あぶら（油・脂）:油（あぶら）:脂（あぶら）
あふる	あぶる
あふろ	フロア
あふん	ファン:不安
あまみ	甘み
あまり	あまり:余り
あまる	余る
あみゆ	歩み
あみる	アルミ
あむゆ	歩む
あやわ	あわや
あらわ	あらわ
ありる	リアル
あるれ	荒れる:荒れる［肌が〜］
あれわ	哀れ
いいえ	いいえ
いいか	以外:意外
いいき	いい気
いいけ	敬意:経緯
いいこ	いい子
いいす	推移:水位
いいせ	威勢:異性:誠意
いいそ	いいぞ
いいた	体位:偉大:痛い
いいち	一位
いいな	以内
いいね	言い値
いいら	以来:依頼
いいる	衣類
いいれ	異例
いいわ	祝い
いいん	医院:委員
いうか	うがい:迂回
いうこ	以降:合意:好意:意向:移行:行為
いうす	薄い
いうそ	相違:総意
いうと	同意:異動:移動
いうは	梅雨（ばいう）
いうほ	方位:違法
いうま	うまい:うまい［〜話］
いうゆ	優位
いうよ	容易:用意
いうら	雷雨
いうわ	祝う
いえか	映画
いえこ	英語:護衛
いえし	市営:英字
いえす	イエス
いえら	偉い
いえり	営利
いおお	多い:覆い
いおし	惜しい
いおそ	遅い
いおて	おいで
いおと	遠い:遠い［〜昔］
いおに	におい
いおめ	汚名
いおも	思い:重い:重い［〜役目］
いおる	オイル:老いる
いおれ	お礼
いおん	イオン
いかか	いかが:外貨:絵画:開花
いかき	会議:機会:機械:議会
いかく	医学:各位
いかけ	外科医:家計:経過
いかこ	ごかい:介護:囲い:誤解
いかさ	境（さかい）:火災
いかし	司会:外資:市外:市街:次回:歯科医:視界:開始:開示
いかす	すいか:生かす
いかせ	世界:成果:青果
いかそ	疎外
いかた	かたい（堅・固・硬）:互い:他界:固い:堅い:対価:硬い:課題:過大:高い
いかち	誓い:近い:違い
いかつ	いつか:つかい（使・遣）:一家:五日（いつか）:使い:追加
いかて	仮定:低下:定価:家庭:課程:買い手:過程
いかと	ガイド:都会
いかな	内科:田舎（いなか）:長い
いかに	いかに:二階:苦い:苦い［〜経験］
いかね	買値:願い
いかは	売価:破壊
いかひ	会費:回避:被害
いかふ	不快:外部:深い:部外
いかへ	貨幣
いかむ	六日（むいか）:向かい:無害:皆無
いかめ	仮名:名菓:銘菓
いかや	外野
いかゆ	かゆい:愉快
いかよ	通い
いから	辛（から）い
いかり	いかり:利害:怒（いか）り:理解
いかる	いるか:怒（いか）る:軽い
いかれ	加齢
いかろ	カイロ:回路
いかわ	会話:和解:若い
いかん	因果:簡易
いきき	行（い）き来
いきく	区域
いきけ	景気
いきさ	機材:記載
いきし	意識
いきせ	世紀:帰省:既製:正義:正規:犠牲:移籍:規制:遺跡
いきそ	急ぎ
いきた	待機:期待:気体:議題
いきち	地域
いきつ	きつい:一気:追記
いきて	定期:定義:規定
いきな	機内
いきは	廃棄
いきひ	いびき:ひいき
いきへ	兵器:平気
いきめ	名義:明記:記名
いきら	嫌い:嫌い［〜がある］:来期
いきる	生きる
いきれ	きれい:きれい［〜に忘れる］:冷気:礼儀
いきろ	黄色（きいろ）
いきん	議員:起因:陰気
いくけ	敬具
いくこ	極意:異国
いくさ	細工:臭い
いくし	飼育
いくす	すくい:クイズ:救い
いくそ	急ぐ:遺族
いくた	大工:委託:抱（いだ）く［大志を〜・疑いを〜］
いくつ	いくつ
いくて	…ていく
いくと	くどい:幾度（いくど）:得意:特異
いくに	憎い
いくは	バイク
いくひ	低い
いくふ	衣服
いくほ	保育
いくま	マイク
いくや	医薬
いくよ	意欲
いくら	いくら:イクラ:位（くらい）:暗い
いくろ	黒い
いくん	インク
いけこ	固形:敬語
いけさ	下剤
いけし	掲示
いけす	図形
いけち	地形（ちけい）
いけつ	決意
いけと	時計:毛糸:軽度
いけは	気配
いけひ	経費:美形:警備
いけふ	父兄（ふけい）
いけや	夜景:嫌気（いやけ）
いけゆ	経由
いけよ	余計
いけり	理系:経理
いける	いける
いけろ	経路:経路・径路:色気
いけん	意見
いこさ	在庫:最後:最後［…たが〜・…たら〜］
いこす	すごい
いこせ	個性:正誤:生後
いこた	個体:固体
いこち	いちご
いこて	固定
いこと	いとこ
いこぬ	子犬:小犬・子犬
いこは	背後
いこへ	語弊
いこま	迷子（まいご）
いこむ	むごい
いこめ	濃いめ
いこわ	こわい:怖い
いこん	コイン
いささ	些細
いさし	自在:資材
いさす	サイズ:座椅子
いさそ	素材:誘（さそ）い
いさた	多彩:多才:最多:痛さ
いさつ	殺意
いさて	査定
いさと	サイト:サイト［ウェブ〜］:サイド:再度
いさひ	被災
いさふ	不在:夫妻:細部:負債:財布
いさへ	閉鎖
いさむ	債務:寒い:財務
いさや	野菜
いさん	サイン:遺産
いしす	炊事:自炊:随時
いしせ	制止:姿勢:政治:生死（せいし）:静止
いした	事態:大事（だいじ）:時代:次第:私大:自体:辞退:退治
いしち	一時（いちじ）
いしつ	異質
いして	停止:定時:強いて:指定:提示
いしな	市内
いしは	廃止:支配:芝居
いしふ	渋い
いしへ	紙幣
いしほ	欲しい
いしま	姉妹（しまい）:毎時
いしめ	いじめ:使命:名刺:名詞:指名:明治:氏名
いしや	いやし:医者
いしゆ	首位
いしる	いじる:類似
いしれ	事例:仕入れ:指令:辞令
いしろ	白い
いしわ	いわし
いしん	印紙:寺院:死因
いすた	大豆:致す
いすな	ナイス
いすの	ノイズ
いすは	スパイ
いすま	います:まずい:住まい:睡魔:麻酔
いすみ	泉（いずみ）
いすや	いやす:やすい:安い
いすら	ライス
いすり	推理
いする	ずるい:居留守
いすれ	いずれ
いせせ	是正
いせた	世代:世帯
いせち	生地:知性:聖地
いせて	手製
いせと	制度:生徒:精度
いせに	二世
いせは	制覇:派生
いせひ	整備:美声
いせふ	不正:政府:西部:風情
いせほ	補正
いせま	狭い
いせや	野性
いせゆ	油性
いせよ	余生
いせら	来世
いせり	整理:理性
いせん	以前:依然:善意:繊維
いそつ	いっそ:そいつ
いそへ	平素
いそほ	細い
いそろ	そろい
いそん	依存（いそん）:依存（いぞん）
いたた	代打:多大
いたち	地帯:大地:遅滞
いたつ	タイツ
いたて	痛手
いたと	土台:態度
いたに	荷台
いたの	大の［〜大人（おとな）］:大の［〜苦手］
いたひ	対比:肥大:退避:額（ひたい）
いたふ	タイプ:大分（だいぶ）:舞台
いたほ	逮捕
いたま	いまだ
いたみ	いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み
いたむ	いたむ（痛・傷・悼）:いたむ（痛・傷）:いた（傷）む:タイム:傷む:傷（いた）む:痛む
いたや	タイヤ:屋台
いたよ	貸与
いたら	平ら
いたり	代理
いたる	だるい:タイル:至る
いたわ	対話:話題
いたん	単位
いちつ	一致
いちと	一度
いちの	命（いのち）
いちは	市場（いちば）:配置
いちふ	一部
いちへ	平地
いちめ	地名
いちや	一夜（いちや）
いちり	一理
いちん	インチ
いつつ	五つ
いつて	ついで:次いで
いつと	ドイツ:一途:集い
いつに	ついに
いつね	熱意
いつひ	いびつ
いつふ	異物
いつほ	一歩
いつも	いつも
いつゆ	唯一（ゆいつ）
いつよ	強い:強い［酒が〜］
いつら	つらい
いてと	程度
いては	手配
いてひ	否定
いてみ	未定
いてよ	予定
いてり	出入（でい）り
いてる	…ている
いてれ	手入れ
いてん	移転:転移:遺伝
いてー	ティー
いとな	ナイト:都内
いとは	バイト
いとひ	ひどい
いとふ	太い:太い［声が〜］
いとま	毎度
いとむ	挑む
いとや	雇い
いとら	トライ:ドライ:ライト
いとり	鳥居
いとれ	トイレ
いとわ	ワイド
いとん	インド
いなふ	ナイフ:内部
いなん	難易
いには	二倍
いにふ	鈍い
いにま	今に
いにん	任意:委任
いぬめ	縫い目
いぬら	要らぬ
いぬる	ぬるい
いねむ	眠い
いねら	ねらい
いねる	寝入る
いのり	祈り
いのる	祈る
いのれ	例の［〜店］
いのろ	のろい
いはふ	パイプ:配布
いはや	はやい（早・速）:やばい:早い:速い:速い［スピードが〜］
いはら	払い
いはる	入（はい）る:威張る
いはわ	ハワイ:言わば
いはん	範囲:違反
いひれ	比例
いひろ	広い:拾い
いふへ	不平
いふめ	不明
いふら	フライ:ライフ:ライブ
いふる	ふるい:古い:部類
いふれ	無礼
いふん	部員
いへや	平野
いへわ	平和
いへん	変異:異変
いほめ	名簿
いほん	本意
いほー	ボーイ
いまみ	見舞い
いまめ	めまい
いまや	今や:病（やまい）
いまよ	毎夜:迷い
いまり	参り
いまる	まるい（丸・円）:マイル:丸い:参る
いみむ	無意味
いみや	嫌み
いみら	未来
いみる	見入る
いめよ	余命:名誉
いもろ	もろい
いやー	イヤー
いゆら	由来
いゆる	緩い
いよわ	弱い
いよん	余韻
いらわ	笑い
いらん	ライン:ライン［合格〜］
いるれ	入れる:入れる［数に〜］:入れる［茶を〜］
いるわ	悪い
いろん	異論
いわん	ワイン
ううこ	豪雨
ううた	歌う
ううは	奪う
ううふ	風雨
ううほ	暴雨
うえき	植木（うえき）
うえま	真上
うえめ	目上
うえる	植える:飢える
うおお	覆う
うおき	気負う
うおせ	背負う
うおそ	襲う
うおと	嘔吐（おうと）
うおに	におう
うおほ	応募
うおも	思う
うおろ	往路
うかく	架空
うかこ	下降:加工:効果:囲う:硬貨:豪華:高価
うかす	浮かす
うかそ	そうか:仮想:仮装:増加:画像
うかち	誓う:違う
うかつ	うかつ:つかう（使・遣）:使う:通貨:通過:遣う
うかと	どうか:動画:可動:稼働:稼働・稼動:稼動
うかな	かなう:かなう［条件に〜］:かなう［願いが〜］
うかね	願う
うかの	可能:農家
うかは	かばう
うかふ	浮かぶ:風化
うかほ	邦画:防火
うかま	構う:構う［構わないでください］
うかむ	向かう
うかゆ	優雅
うかよ	八日（ようか）:洋画:火曜:通う
うかる	受かる
うかろ	廊下:老化:過労
うきく	空気
うきこ	動き:好機:後期:抗議:気候:記号
うきさ	うさぎ
うきす	奇数:薄着
うきそ	偽造:寄贈:早期:競う:葬儀
うきつ	通気
うきと	冬期:動機:同期:機動:起動:陶器
うきな	うなぎ
うきの	技能:昨日（きのう）:機能:納期
うきほ	ほうき:希望:放棄
うきゆ	九（きゅう）:勇気:急:旧（きゅう）:牛（ぎゅう）:球（きゅう）:級
うきよ	今日（きょう）:凶:器用:容器:容疑:強:行（ぎょう）:起用:陽気
うきら	嫌う
うきわ	上着:浮気
うくこ	動く:工具
うくす	すくう:救う
うくそ	装具
うくつ	苦痛
うくと	道具
うくぬ	ぬぐう
うくの	苦悩
うくふ	工夫
うくめ	うめく
うくよ	用具
うくる	狂う
うくろ	苦労
うけと	峠
うけみ	受け身
うけも	もうけ
うける	受ける:受ける［あとを〜］:受ける［大衆に〜］:請ける
うここ	交互
うこさ	交差:口座:講座
うこし	事項:公私:工事:志向:思考:時効:格子:試行:講師
うこす	個数:構図
うこせ	施工（せこう）
うこそ	倉庫:相互
うこた	蛇行
うこつ	都合
うこと	鼓動
うこひ	交尾:備考:合否:飛行
うこふ	不幸:古風:工夫:後部
うこほ	候補:公募:歩行:母校:誤報
うこむ	向こう:無効
うこゆ	固有
うこよ	用語:雇用:養護
うこり	合理:小売り
うころ	老後
うさそ	捜査:操作:誘う
うさと	佐藤:作動:動作:砂糖
うさふ	封鎖
うさほ	作法
うさま	うまさ
うさゆ	左右
うさよ	作用
うさわ	うわさ
うしす	指数:数字
うしそ	掃除
うした	慕う
うしち	仕打ち
うしつ	写し
うしと	児童:同士:同時:始動:当時:投資:指導:私道:自動
うしほ	帽子:志望:時報:死亡:脂肪:防止
うしま	しまう
うしゆ	住（じゅう）:十・拾（じゅう）:十（じゅう）:周:有志:自由:融資:週:集（しゅう）
うしよ	ようじ:上（じょう）:乗:仕様:使用:商:容姿:小（しょう）:少（しょう）:幼児（ようじ）:情（じょう）:状:用事:用紙:症:私用:証:賞:錠
うしろ	後ろ
うすた	多数
うすち	数値
うすつ	写す:映す:移す:頭痛
うすて	手数（てすう）:手薄:薄手
うすと	度数
うすの	頭脳
うすは	ハウス:端数
うすほ	坊主
うすま	マウス
うすむ	無数
うすめ	薄め
うすも	申す:相撲
うすよ	様子
うせつ	右折
うせと	どうせ
うそち	地層:装置
うそと	どうぞ:塗装
うそね	寝相
うそは	相場
うそひ	微増:秘蔵:装備
うそふ	送付
うそむ	総務
うそゆ	輸送
うそよ	よそう:予想:要素
うそり	理想:草履
うそろ	そろう
うたと	妥当
うたほ	他方:多忙
うたよ	多様:多用
うたろ	太郎
うたん	タウン:ダウン
うちつ	通知
うちね	値打ち
うちの	知能:農地
うちほ	地方（ちほう）:放置
うちみ	身内（みうち）
うちゆ	中（ちゅう）:注
うちよ	兆:庁:町（ちょう）:腸:長（ちょう）
うちわ	うちわ:内輪（うちわ）
うちん	うんち
うつて	打つ手
うつと	集う
うつふ	不通:普通
うつり	映り
うつる	写る:映る:移る:移る［においが〜］
うつろ	通路
うつわ	器（うつわ）:通話
うてり	売り手
うてわ	上手（うわて）
うてん	雨天
うとと	糖度
うとの	濃度
うとひ	逃避
うとふ	ぶどう:不当:東部:豆腐:頭部:風土
うとほ	歩道:途方
うとま	惑う
うとむ	無糖
うとも	どうも
うとや	雇う
うとゆ	灯油
うとよ	与党:土曜:投与:用途
うとり	道理:離島
うとろ	道路
うとわ	童話
うとん	うどん
うなに	担う［運命を〜］
うなる	うなる
うにゆ	乳（にゅう）
うによ	尿
うねほ	寝坊
うねら	ねらう
うねり	うねり
うねる	うねる
うのふ	不能:納付
うのみ	うのみ:未納
うのり	脳裏
うはら	払う
うはり	売り場
うひほ	悲報:褒美
うひゆ	夕日
うひよ	曜日:票:秒:美容:表（ひょう）:費用
うひろ	披露:拾う:浪費:疲労
うふふ	夫婦
うふほ	抱負:豊富
うふみ	風味
うふも	不毛:毛布
うふゆ	富裕
うふよ	不用:不要:扶養
うふわ	和風
うふん	不運
うへみ	海辺（うみべ）
うへゆ	夕べ
うへわ	上辺（うわべ）
うほま	魔法
うほむ	無謀
うほも	模倣
うほゆ	保有
うほよ	予報:予防:保養
うほる	ボウル
うまみ	うまみ:見舞う
うまよ	迷う
うまる	埋まる
うまれ	生まれ
うみよ	妙［〜だ］:見よう
うみら	恨み
うむよ	無用
うめら	裏目
うめる	埋める
うもよ	模様
うもら	もらう
うゆよ	余裕
うゆり	有利:理由
うゆん	運輸
うより	両:利用:料:良:量
うらわ	笑う
うるれ	売れる
うるー	ウール
えおか	笑顔（えがお）
えおさ	押さえ
えおし	教え
えおほ	覚え
えおま	お前
えおる	終える
えかき	着替え
えかく	描く
えかさ	栄（さか）え
えかし	返し
えかす	かえす:かえす（帰・返）:帰す:返す
えかひ	控え
えかふ	カフェ［コーヒー］:カフェ［店］
えかま	構え
えかむ	迎え
えから	絵柄
えかり	帰り:返り
えかる	かえる:かえる（代・換・替・変）:かえる（代・替）:かえる（帰・返）:代える:変える:帰る:替える:返る
えきこ	聞こえ
えきす	エキス
えきた	唾液
えきの	えのき
えきま	気前
えきむ	無益
えきり	利益
えきる	消える
えきん	延期:演技:縁起
えくつ	机
えくの	絵の具
えくゆ	行方（ゆくえ）
えくら	えらく
えここ	小声
えこた	答え:肥えた
えこる	肥える:超える:越える
えこん	援護
えこー	エコー
えささ	支え
えさた	さえた
えさる	さえる:さえる［頭が〜］
えしま	自前
えしも	絵文字
えしる	ジェル
えしん	園児:支援
えすた	絶えず
えすー	エース
えそな	供え:備え
えそる	添える
えたつ	伝え
えたと	たとえ
えたひ	冷えた
えたふ	二重（ふたえ）
えたる	たえる（耐・堪）:堪える:絶える:耐える
えちつ	エッチ
えちん	遅延
えてま	出前:手前（てまえ）
えとり	取り柄
えとん	エンド
えなま	名前
えにゆ	故（ゆえ）に
えにる	煮える
えぬり	塗り絵
えのも	獲物
えはふ	パフェ
えはま	前歯
えはみ	見栄え
えはる	映える:生える［草木が〜・毛が〜・角が〜・歯が〜］
えひる	冷える
えひん	鼻炎
えふら	選ぶ
えふる	ふえる（増・殖）:増える:震え
えほる	ほえる
えほん	絵本
えみる	見える
えむん	無縁
えもる	燃える
えゆん	ゆえん［所以］
えらー	エラー
えるー	エール
おおく	多く
おおて	大手（おおて）
おおめ	多め:大目
おかか	カカオ
おかく	家屋
おかけ	お陰
おかし	お菓子
おかす	おかす（犯・侵）:おかず:カオス:素顔
おかつ	かつお
おかと	十日（とおか）
おかな	おなか
おかね	お金:寝顔
おかま	真顔
おかむ	拝む
おかり	かおり（香・薫）:香り
おかる	かおる（香・薫）:香る
おかろ	おろか［…は〜］
おかん	悪寒
おきく	記憶
おきし	お辞儀
おきて	おきて
おきね	寝起き
おきは	置き場
おきよ	泳ぎ
おきる	起きる
おきん	恩義:気温
おくた	お宅
おくち	奥地
おくて	…ておく
おくと	遠く
おくに	お国
おくは	奥歯
おくよ	泳ぐ
おくら	お蔵
おくり	送り
おくる	贈る:送る:送る［月日を〜］
おくれ	おくれ:後れ:遅れ
おけし	塩気
おけま	おまけ
おけん	嫌悪
おこす	おこす:おこす（起・興）:起こす
おこて	おでこ
おこと	男（おとこ）
おこや	親子
おこり	おごり:氷
おこる	おこる（起・興）:おごる:凍る:怒（おこ）る:起こる
おさつ	お札
おさと	遠さ
おさめ	おさめ（収・納）:収め:納め
おさも	重さ
おしせ	お世辞
おして	押して
おしと	脅し:通し
おしな	同じ:同じ［〜…するなら］:直し
おしむ	惜しむ
おしや	おやじ
おしら	ラジオ
おしろ	下ろし
おしん	恩師
おすた	倒す
おすと	落とす:落とす［化粧を〜］:落とす［汚れを〜］:通す
おすな	なおす（直・治）:治す:直す:素直
おする	お留守
おすろ	おろす（下・降）:下ろす:下ろす［三枚に〜］:降ろす
おせん	汚染
おそよ	およそ
おそれ	恐れ
おたふ	お札（おふだ）
おたる	タオル
おちと	落ち度
おちは	落ち葉
おちめ	落ち目
おちや	お茶
おちる	落ちる:落ちる［色が〜］
おちん	音痴:音痴［機械〜・方向〜］
おつて	追って
おつと	夫（おっと）
おつは	お初
おつや	おやつ
おつゆ	おつゆ
おつり	お釣り
おてと	遠出
おてひ	ビデオ
おても	表（おもて）
おてん	おでん
おとな	大人（おとな）
おとふ	フォト
おとり	おとり:トリオ:踊り:通り:通り［〜がよい・〜が悪い］
おとる	劣る:踊る:通る:通る［声が〜］
おとん	温度:音頭
おなは	お花
おなも	主な
おなら	おなら
おなる	なおる（直・治）:治る:直る
おなん	女（おんな）
おにも	主に:重荷
おねん	ネオン
おのほ	炎（ほのお）
おのれ	己（おのれ）
おはる	羽織る
おひよ	及び
おひる	お昼:帯びる［哀愁を〜］
おふよ	及ぶ
おふろ	おふろ
おほん	お盆:保温
おみも	重み
おめり	折り目
おやや	八百屋
おらー	オーラ
おりる	おりる（下・降）:下りる:降りる
おりわ	終わり
おるれ	折れる
おるわ	終わる
おるー	オール
おわん	おわん
かかく	価格:化学（かがく）:科学
かかす	欠かす
かかつ	学科
かかと	かかと
かかふ	株価
かかみ	鏡（かがみ）
かかむ	かがむ
かかり	係り:係（かかり）
かかる	かかる:かかる［病気に〜］:掛かる:掛かる［五時間〜・数年〜］:掛かる［費用が〜］
かかん	眼科
かきく	企画:規格:閣議
かきけ	激化:過激
かきす	効かす:聞かす
かきせ	稼ぎ
かきつ	学期:楽器:活気
かきて	手書き:書き手
かきな	気長
かきね	気兼ね
かきは	はがき
かきみ	上期（かみき）:磨き
かきよ	許可
かきり	限り
かきる	気軽:限る
かきれ	瓦礫（がれき）
かきわ	乾き:渇き
かきん	寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:祈願:課金:謹賀:金貨
かくく	区画
かくこ	互角:覚悟:語学:過酷
かくさ	差額:格差
かくし	各自:四角:死角:自覚:視覚:資格
かくす	隠す
かくせ	稼ぐ
かくそ	加速:家族
かくた	多額
かくち	各地:知覚:近く
かくつ	九月
かくと	角度
かくな	金具
かくは	破格
かくひ	学費:比較
かくふ	不覚［〜にも］:各部:学部
かくほ	確保
かくみ	味覚:磨く
かくも	もがく:科目:課目
かくり	隔離
かくろ	録画
かくわ	乾く:渇く
かくん	区間:玩具
かけし	仕掛け
かけた	欠けた
かけつ	結果
かけて	出掛（か）け［〜際］
かけひ	日陰
かけみ	見掛け
かけら	かけら
かける	か（賭）ける:掛ける:掛ける［手間暇〜］:欠ける:賭（か）ける
かけれ	汚（けが）れ
かけん	けんか:下限:加減:原価
かこす	焦がす
かこた	小型:小形・小型
かこつ	五月:国家:括弧:確固
かこと	どこか
かこほ	過保護
かこま	細か
かこみ	囲み
かこむ	囲む
かこら	小柄
かこん	互換:看護:過言（かごん）:頑固
かささ	逆さ
かさす	かざす:さがす（探・捜）:さすが:捜す:探す
かさた	固さ:定か:硬さ:高さ
かさつ	作家:雑貨
かさな	さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:長さ:魚（さかな）
かさね	重ね
かさは	酒場
かさふ	深さ
かさま	まさか
かさむ	かさむ
かさや	酒屋
かさゆ	かゆさ
かさり	飾り
かさる	下がる:飾る
かさん	加算:参加:盛ん:監査:酸化
かしし	しかし
かしす	透かし:静か
かした	仕方:確か
かしち	しがち
かしつ	加湿:四月:実家:果実:活字:画質:過失
かしと	都市化
かしに	直（じか）に
かしの	カジノ
かしひ	東（ひがし）:耳鼻科
かしむ	昔
かしも	しかも:もしか
かしや	貸家
かしゆ	果樹:歌手
かしよ	初夏（しょか）:箇所
かしら	からし:白髪（しらが）:頭（かしら）
かしる	かじる:しかる
かしれ	彼氏
かしわ	和菓子
かしん	干支:幹事:感じ:時間:漢字:監視:進化:過信
かすす	すかす［腹を〜］
かすせ	せかす
かすた	姿
かすて	手数（てかず）
かすと	どかす:溶かす
かすな	流す:流す［ニュースを〜］
かすに	逃がす
かすぬ	抜かす:脱がす
かすね	寝かす
かすの	逃す
かすは	はがす
かすほ	ぼかす
かすま	任す:負かす
かすみ	住みか
かすむ	かすむ
かすら	ガラス:図柄:枯らす
かすわ	わずか:沸かす
かすん	図鑑
かせつ	仮設:仮説
かせな	背中
かせは	博士（はかせ）
かせわ	為替
かせん	河川
かそひ	ひそか
かそん	簡素
かたち	形（かたち）
かたな	かなた:カナダ:田中
かたね	高値
かたは	裸
かたみ	味方:味方・身方:見方:高み
かため	めだか:固め:高め
かたゆ	浴衣（ゆかた）:豊か
かたら	だから:体（からだ）:宝
かたり	語り
かたる	語る
かたれ	だれか:枯れた
かたん	加担:単価
かちは	近場
かちま	間近
かちみ	身近
かちめ	勝ち目
かちら	力（ちから）
かちん	完治
かつつ	ガッツ
かつて	かつて:勝手
かつと	かっと:カット:特価:特化
かつに	二月:日課
かつね	加熱
かつは	二十日（はつか）:発芽
かつひ	月日（がっぴ）
かつふ	カップ:二日（ふつか）:物価:部活
かつま	真っ赤
かつみ	つかみ:三日（みっか）:過密
かつむ	つかむ
かつも	貨物
かつよ	四日（よっか）
かつら	落下
かつる	つかる（漬・浸）:つ（浸）かる:浸（つ）かる
かつれ	劣化:疲れ
かつん	がつん［〜と打ちのめす］
かてに	苦手
かてね	かねて
かてみ	手紙
かてや	やがて
かてら	手柄
かてる	手軽
かてわ	若手
かてん	天下:家電:添加:点火:転嫁:電化
かとの	のどか
かとれ	どれか
かとん	感度
かとー	カード:ガード
かなに	何（なに）か
かなの	七日（なのか）
かなは	半ば
かなひ	中日（なかび）
かなふ	不仲
かなま	仲間
かなみ	中身:中身・中味
かなめ	眺め:長め
かなよ	夜中（よなか）
かなり	かなり
かなれ	流れ
かなん	何（なん）か
かにほ	外に
かにみ	苦み
かにり	仮に
かにわ	にわか
かにん	認可
かねめ	眼鏡（めがね）
かねる	兼ねる
かねん	可燃:年賀
かはり	はかり（計・量・測）:ばかり［…と言わん〜］:ばかり［した〜］:測り:計り
かはる	はかる（図・謀・計）:はかる（計・量・測）:はかる（計・量）:測る:計る:量る
かはれ	枯れ葉
かはん	かばん:寒波
かはー	カバー
かひふ	皮膚科
かひみ	ひがみ
かひむ	ひがむ
かひり	光（ひかり）
かひる	光る
かひん	完備:悲観:悲願:美顔:過敏
かふみ	深み
かふめ	深め
かふる	かぶる
かふれ	かぶれ
かふん	噴火:幹部:文化:花粉:還付
かふー	カーブ
かへわ	川辺
かへん	変化
かほん	保管
かまり	曲がり
かまる	曲がる
かまん	我慢:漫画
かみめ	女神（めがみ）
かみゆ	かゆみ:ゆがみ
かみら	辛み
かみる	身軽
かみわ	我が身
かみん	みかん:仮眠:未完:民家
かむゆ	ゆがむ
かむら	絡む
かめも	かもめ
かめら	カメラ
かめわ	わかめ
かめん	仮面:画面
かやわ	我が家（や）
かやん	やかん:夜間
かゆり	ゆかり
かよん	予感:関与:関与・干与
かられ	彼ら
からわ	河原
からん	裸眼
からー	カラー
かりる	借りる
かりわ	かわり（代・替）:代わり:分かり:変わり:替わり
かりん	管理
かるれ	枯れる
