４文字集合	可能な４文字単語
いきしひ	美意識
いきしむ	無意識
いきすて	水滴
いきすり	イギリス
いきせせ	成績
いきせた	退席
いきせつ	追跡
いきせて	適性:適正
いきせぬ	税抜き
いきせの	気のせい
いきせひ	税引き
いきせよ	制御:逝去
いきせる	累積
いきせれ	西暦
いきせん	全域:税金
いきそつ	付き添い
いきたた	頂き
いきたて	敵対
いきため	ため息
いきたよ	巨体
いきたん	代金:近代:退勤
いきちん	いんちき
いきつと	一時（いっとき）
いきつま	毎月（まいつき）
いきつよ	一挙
いきつん	均一
いきてふ	不定期
いきてれ	適齢
いきとひ	一息
いきとま	今時
いきにわ	にぎわい
いきのも	生き物
いきはん	ばい菌
いきひめ	ひいき目
いきふん	雰囲気
いきへん	平均
いきむめ	無記名
いきもや	焼き芋
いきやろ	焼き色
いきよる	魚類
いきろん	金色（きんいろ）:銀色（ぎんいろ）
いくけこ	警告
いくけそ	継続:計測
いくけに	鶏肉
いくけや	契約
いくこさ	国際:小細工
いくこて	定刻
いくこな	国内
いくこへ	米国
いくこみ	食い込み
いくこめ	国名
いくさせ	作成:作製:制作:政策:製作
いくさそ	催促
いくさた	在宅:対策
いくさは	白菜
いくさふ	不細工
いくさむ	無作為
いくさめ	名作
いくさも	モザイク:木材:材木
いくさる	サイクル
いくさん	索引
いくしほ	保育士
いくしむ	虫食い
いくしよ	移植:衣食
いくすそ	推測
いくすて	ディスク
いくすり	胃薬
いくすん	スイング
いくせそ	属性
いくせた	贅沢
いくせと	特性:特製
いくせに	肉声
いくせふ	制服:複製
いくせや	製薬:誓約
いくせよ	性欲:抑制
いくせわ	惑星
いくそて	低速:測定
いくそは	配属
いくたつ	退屈
いくたと	特大
いくたに	肉体
いくたは	宅配
いくたふ	大福
いくたり	大陸
いくちと	一読:糸口
いくちり	入（い）り口
いくちん	一軍
いくつな	償い
いくつは	一泊:発育
いくつふ	一服
いくてと	特定
いくては	ハイテク
いくとは	特売
いくとふ	不得意
いくとめ	匿名
いくとれ	特例
いくなふ	内服
いくなわ	枠内
いくにる	肉類
いくのみ	飲み食い
いくのも	食い物
いくはほ	敗北
いくはま	白米
いくはや	早食い
いくふろ	胃袋
いくへほ	北米
いくみれ	組み入れ
いくめわ	迷惑
いくめん	面食い
いくやん	役員
いくより	威力
いくらら	落雷
いけけん	原型:原形:経験:軽減
いけさつ	採血:歳月:決済:警察
いけさん	健在:再現:現在:計算:財源
いけした	しいたけ
いけしや	傾斜
いけしん	消印:神経
いけせつ	清潔:設計
いけせん	制限:減税:罫線
いけそん	尊敬
いけたつ	対決
いけため	ため池
いけたん	体験:現代
いけちつ	位置付け
いけつて	決定:決定［法］
いけつま	毎月（まいげつ）
いけつら	来月
いけつれ	系列
いけつん	一件:一見（いっけん）:欠員
いけてん	低減:典型:提言:検定:限定
いけなん	圏内
いけにん	芸人
いけはん	半径:拝見
いけひん	景品
いけふり	経理部
いけふん	文系
いけへん	変形
いけめん	名言:明言:賢明
いけれん	連携
いけろわ	色分け
いけんん	原因
いここち	居心地
いこささ	いざこざ
いこさん	混在
いこすみ	吸い込み
いこせみ	税込み
いこたな	こないだ
いこたみ	醍醐味（だいごみ）
いこたん	大根
いこつろ	いつごろ
いこてれ	てこ入れ
いことひ	恋人
いこのり	居残り
いこはよ	横ばい
いこまろ	今ごろ
いこるー	イコール
いささん	採算:散財:財産
いさしつ	実在:実際:材質:祭日
いさしや	謝罪
いさしゆ	主催:主菜:取材
いさしよ	所在:最初
いさしれ	差し入れ
いさしん	じいさん:人材:人災:再診:最新:震災
いさすつ	推察
いさせん	最善:洗剤:清算:潜在:生産:精算:賛成:酸性
いさそん	存在
いさたん	最短:退散
いさたー	サイダー
いさちひ	被災地
いさつは	再発
いさつま	歳末
いさつん	印刷
いさてん	デザイン:天才:天災:採点:暫定
いさなん	災難
いさにん	兄さん
いさはん	万歳:三倍:犯罪:裁判
いさふん	分際
いさへん	再編:返済
いさまん	三昧:三枚:満載:漫才
いさめん	名産
いされん	サイレン:連載
いさわわ	災い
いししゆ	主治医
いしすん	推進:水深:浸水
いしせつ	性質
いしせゆ	清酒
いしせよ	女性（じょせい）
いしせん	人生:成人:申請:精神
いしたち	自治体
いしたつ	体質:実体:実態:退室
いしたと	大都市
いしたな	台なし
いしたま	魂（たましい）
いしたや	代謝:退社
いしたゆ	主体:主題
いしたよ	初代:対処:所帯:書体:退所
いしたれ	出し入れ
いしたん	人体:対人:耐震:身体:進退
いしつな	室内
いしつは	失敗
いしつへ	平日
いしつめ	実名
いしつゆ	一種:一種［〜の］
いしつよ	一緒
いしつれ	失礼:実例
いしつん	追伸
いしてや	停車
いしてん	進呈:遺伝子
いしとま	毎年（まいとし）
いしなま	まじない
いしなや	社内:車内
いしなよ	内緒
いしなん	内心
いしはや	廃車:敗者:歯医者
いしはよ	居場所:排除
いしはら	支払い
いしはん	心配:配信
いしへや	弊社
いしまん	新米
いしむる	虫類
いしむん	事務員
いしめや	社名
いしめよ	名所:書名:署名
いしめろ	白い目
いしめん	人名:人命:名人:迷信
いしめー	イメージ
いしやら	来社
いしやれ	謝礼:謝礼［〜金］
いしやん	社員
いしゆる	種類
いしゆん	順位:飲酒
いしよる	書類
いしらん	信頼
いしりん	新入り
いしるん	人類:親類
いしれん	心霊
いしろろ	色白
いしんん	人員
いすすは	スパイス
いすせつ	節水
いすせん	推薦:水洗
いすたつ	脱水
いすたら	いたずら
いすたる	スタイル
いすちつ	スイッチ
いすつは	抜粋
いすつほ	水没
いすては	バス停
いすとら	イラスト:スライド
いすとー	スイート
いすなま	マイナス
いすのも	吸い物
いすはは	バイパス
いすはん	炊飯
いすふら	プライス
いすふん	噴水:水分
いすへん	スペイン
いすまる	スマイル
いすまん	満水
いすみろ	水色
いすみん	睡眠
いせせつ	節制
いせせん	先制:先生:前世（ぜんせい）:生前
いせたつ	接待:絶対:達成
いせたん	先代:全体:対戦:生誕:男性
いせつつ	一説
いせつて	設定
いせつは	発声:発生
いせつふ	生物（せいぶつ）
いせつへ	性別
いせつめ	説明
いせつり	成立:税率
いせつれ	劣勢:整列
いせつん	一戦:一線
いせてん	前提:晴天:選定:青天
いせとん	整頓
いせなん	内線
いせねん	青年
いせはん	先輩:全敗:反省:敗戦:配線
いせひん	品性:製品
いせふん	成分
いせへん	せんべい:全米
いせめん	免税
いせもん	正門
いせれん	前例
いせろん	正論
いせんん	全員
いそふろ	不ぞろい
いたたつ	脱退
いたたま	ただ今
いたたん	単体:団体:対談
いたちつ	ついたち
いたちら	いら立ち
いたちり	立ち入り
いたちん	賃貸
いたつつ	逸脱
いたつて	手伝い:撤退
いたつね	耐熱
いたつは	配達
いたつふ	大仏:物体
いたつり	対立:立体
いたつん	一端
いたてん	断定
いたとる	タイトル
いたなま	まな板
いたなん	難題
いたにん	忍耐
いたねん	年代
いたはろ	肌色
いたはん	反対:大半
いたふみ	踏み台
いたへん	変態:大変
いたほん	本体:本題
いたまー	タイマー
いためら	ためらい
いためん	対面:明太（めんたい）
いたもん	問題
いたやる	ダイヤル
いたらー	ライター
いたれん	冷暖
いたわん	台湾
いちちに	一日（いちにち）
いちつふ	不一致
いちつり	一律
いちつれ	一列
いちとめ	知名度
いちにま	毎日
いちにめ	命日
いちねん	一年
いちはん	一番
いちまん	一万:万一
いちむや	チャイム
いちめよ	著名
いちめん	一面
いちやろ	茶色
いちらん	一覧
いちれん	一連
いつつと	追突
いつてて	徹底
いつてに	日程
いつとふ	フィット
いつなん	捺印
いつねへ	平熱
いつのま	いつの間（ま）
いつはは	発売
いつはめ	発明
いつはり	倍率
いつはれ	配列・排列
いつはん	一般
いつふめ	名物
いつへみ	密閉
いつへめ	別名（べつめい）
いつへん	一変:一片
いつほん	一本
いつやろ	色つや
いつゆり	梅雨入り
いつりわ	偽り
いててん	停電
いてなん	店内
いてなー	ディナー
いてにん	認定
いてねん	定年:定年・停年
いてはり	出入（ではい）り
いてはん	判定:売店:定番:転売
いてひよ	予定日
いてへん	底辺:閉店
いてほー	ボディー
いてめん	名店
いてらん	来店
いてりん	インテリ
いてれー	レディー
いてんん	店員
いととま	戸惑い
いとなみ	営み
いとひり	飛び入り
いとふら	ドライブ:フライト:プライド
いとへん	イベント
いとほわ	ホワイト
いとほん	ポイント
いとめよ	酔い止め
いとりれ	取り入れ
いとりろ	彩り
いなにろ	何色（なにいろ）
いなねん	年内［〜立春］
いなへん	南米
いなまー	マイナー
いなみら	見習い
いなめん	内面
いにのま	二の舞
いにまめ	二枚目
いねはん	年輩:年輩・年配:年配
いねまん	毎年（まいねん）
いねむり	居眠り
いねらん	来年
いねれん	例年:年齢
いねんん	因縁（いんねん）
いのひり	日の入り
いのもり	物入り
いのもれ	入れ物:物入れ
いははん	販売
いはふん	ハイフン:分配:配分
いはへん	米飯
いはまん	毎晩:満杯
いはみら	未払い
いはめん	判明
いはもる	モバイル
いはより	配慮
いはらる	ライバル:来春（らいはる）
いはれん	凡例:連敗
いはわー	ワイパー
いひめん	品名
いひらん	来賓
いふほん	不本意
いふまる	振る舞い
いふみる	身震い
いふめよ	不名誉
いふめん	文明
いふるん	分類
いふれん	インフレ:例文
いへめん	平面
いへれん	返礼
いほめん	本命
いほよろ	ほろ酔い
いほらん	本来
いまんん	満員
いめもん	名門
いめるん	麺類
いめれん	冷麺:連名
いももろ	桃色
いよるわ	悪酔い
ううおそ	相応
ううおと	応答:王道
ううおよ	応用
ううくこ	空港:航空
ううくす	偶数
ううくそ	空想:遭遇
ううくゆ	優遇
ううここ	孝行:皇后:高校
ううこそ	構造:総合:走行:高層
ううこつ	交通:通行
ううこと	公道:動向:口頭:合同:同行（どうこう）:投稿:登校:統合:行動:高騰
ううこの	効能
ううこふ	風向
ううこほ	合法:工法:広報:後方:攻防:方向:暴行
ううこゆ	交友:友好:有効
ううこよ	公用:効用:紅葉（こうよう）
ううこん	好運:幸運:幸運・好運:運航:運行
ううすそ	総数
ううすと	同数
ううすゆ	融通
ううそそ	創造:想像
ううそと	相当:贈答:逃走:騒動
ううそほ	包装:双方:放送:暴走
ううそも	妄想
ううそゆ	郵送
ううそん	運送
ううちゆ	宇宙
ううつほ	通報
ううつよ	腰痛:通用
ううとと	同等
ううとふ	同封:封筒
ううとほ	冒頭:報道:逃亡
ううとゆ	誘導
ううとよ	動揺:東洋
ううとろ	労働
ううとん	運動
ううふほ	暴風
ううふよ	洋風
ううほほ	方法
ううほよ	要望
ううほろ	朗報
ううより	雨量
ううよん	運用
うえおん	応援
うえきみ	右上
うえきゆ	有益
うえこた	歌声
うえこん	公園:公演:講演
うえした	上下（うえした）
うえしと	年上
うえすと	ウエスト
うえそん	演奏
うえたつ	訴え
うえちは	鉢植え
うえつゆ	優越
うえてま	腕前
うえとん	えんどう:沿道
うえのん	農園
うえほん	遠方
うえまり	前売り
うおかん	王冠
うおきて	適応
うおくこ	王国
うおくふ	往復
うおこつ	甲乙
うおこん	高温:高音
うおせつ	応接
うおそん	騒音
うおたん	横断
うおちね	お値打ち［〜品］
うおつと	凹凸（おうとつ）
うおとと	弟
うおふん	温風
うおほん	防音
うおらん	卵黄
うかきゆ	休暇
うかきよ	家業:強化
うかきわ	上書き［ファイルの〜］
うかくこ	合格:工学:高額
うかくそ	総額
うかくつ	通学
うかくと	格闘
うかくほ	方角:邦楽
うかくよ	洋楽
うかくん	空間
うかこつ	学校:格好
うかこほ	放課後
うかこり	合理化
うかこん	交換:好感:観光
うかしゆ	果汁
うかしよ	しょうが:洋菓子:消化:自家用:過剰
うかそつ	総括
うかそん	かんぞう:乾燥:感想:肝臓
うかたほ	片方
うかたゆ	夕方
うかたら	裏方
うかたり	売り方
うかちと	地下道
うかちゆ	中華:家中
うかちよ	課長:超過
うかちわ	内側
うかつと	活動
うかつよ	活用
うかつん	痛感
うかとん	カウント:同感:感動:投函:関東
うかにゆ	入荷:加入
うかのふ	不可能
うかひよ	火曜日:評価
うかふん	完封
うかほん	防寒:願望
うかみわ	海側
うかゆん	勧誘:夕刊
うからわ	裏側
うかろん	老眼
うききて	利き腕
うききゆ	球技
うききよ	企業:協議:競技:行儀:起業
うきくせ	空席
うきくよ	苦境
うきくろ	気苦労
うきけこ	攻撃
うきけそ	激増
うきけつ	激痛:激痛・劇痛
うきけひ	引き受け
うきこし	公式
うきこせ	功績
うきこて	適合
うきこひ	飛行機
うきこみ	身動き
うきこゆ	呼吸:救護
うきこよ	凝固:故郷
うきこん	抗菌:近郊:銀行
うきさよ	ギョウザ:作業
うきしす	数式
うきしそ	掃除機
うきしほ	方式
うきしゆ	休止:周期:急死:支給:時給:祝儀:自給:至急
うきしよ	上記:事業:始業:教師:様式:正気:気象:洋式:蒸気:行事:試供:起床
うきすり	薄切り
うきすろ	キロ数
うきせと	同席
うきせほ	宝石
うきそつ	うそつき
うきそん	ぞうきん:送金
うきたよ	妥協:強打
うきちむ	内向き
うきちゆ	中期:地球:窮地
うきちよ	記帳:長期
うきつむ	うつむき
うきつん	通勤
うきてみ	右腕
うきてよ	適用
うきとよ	同居:度胸:強度:郷土
うきとり	売り時
うきとん	均等
うきにゆ	記入
うきひよ	病気:表記
うきふゆ	普及:給付
うきふよ	不器用:不況:恐怖
うきほゆ	補給
うきほよ	補強:防御
うきほり	浮き彫り
うきみよ	興味
うきむゆ	無休
うきむよ	業務
うきむわ	上向き（うわむき）
うきやゆ	野球
うきゆゆ	給油
うきゆよ	教諭:給与
うきゆり	きゅうり:流儀
うきゆれ	売れ行き
うきゆわ	和牛
うきゆん	金融
うきよよ	許容
うきより	技量
うきよん	金曜
うきらり	裏切り
うきりれ	売り切れ
うきろん	勤労
うきんん	金運
うくくは	空白
うくくふ	空腹
うくここ	広告
うくこさ	工作
うくこそ	後続:拘束:高速:高速［〜を走る］
うくこち	構築
うくこと	国道:講読:購読
うくこふ	幸福:複合
うくこほ	国宝:報告
うくこも	項目
うくこら	行楽
うくころ	御苦労
うくさそ	創作
うくしつ	空室
うくしよ	苦情:苦笑
うくしん	くじ運
うくすふ	複数
うくせん	偶然
うくそそ	相続
うくそと	即答:独走
うくその	即納
うくそふ	服装:風速
うくそほ	法則:続報:速報
うくそも	木造
うくそよ	浴槽
うくそろ	蝋燭（ろうそく）
うくちよ	口調
うくちら	裏口
うくつふ	腹痛（ふくつう）
うくつや	通訳
うくとほ	東北
うくとよ	徳用・得用
