３文字集合	可能な３文字単語
いかこ	ごかい:介護:囲い:誤解
いかさ	境（さかい）:火災
いかし	司会:外資:市外:市街:次回:歯科医:視界:開始:開示
いかす	すいか
いかせ	世界:成果:青果
いかそ	疎外
いかた	互い:他界:対価:課題
いかち	誓い:違い
いかつ	いつか:つかい（使・遣）:一家:五日（いつか）:使い:追加
いかて	仮定:低下:定価:家庭:課程:買い手:過程
いかと	ガイド:都会
いかな	内科:田舎（いなか）
いかに	二階
いかね	買値:願い
いかは	売価:破壊
いかひ	会費:回避:被害
いかふ	不快:外部:部外
いかへ	貨幣
いかむ	六日（むいか）:向かい:無害:皆無
いかめ	仮名:名菓:銘菓
いかや	外野
いかゆ	愉快
いかよ	通い
いかり	いかり:利害:怒（いか）り:理解
いかる	いるか
いかれ	加齢
いかろ	カイロ:回路
いかわ	会話:和解
いかん	因果
いきき	行（い）き来
いきく	区域
いきけ	景気
いきさ	機材:記載
いきし	意識
いきせ	世紀:帰省:既製:正義:正規:犠牲:移籍:規制:遺跡
いきそ	急ぎ
いきた	待機:期待:気体:議題
いきち	地域
いきつ	一気:追記
いきて	定期:定義:規定
いきな	機内
いきは	廃棄
いきひ	いびき:ひいき
いきへ	兵器:平気
いきめ	名義:明記:記名
いきら	嫌い:嫌い［〜がある］:来期
いきれ	冷気:礼儀
いきろ	黄色（きいろ）
いきん	議員:起因
いくこ	極意:異国
いくさ	細工
いくし	飼育
いくす	すくい:クイズ:救い
いくそ	遺族
いくた	大工:委託
いくつ	いくつ
いくと	幾度（いくど）:得意
いくは	バイク
いくふ	衣服
いくほ	保育
いくま	マイク
いくや	医薬
いくよ	意欲
いくら	いくら:イクラ:位（くらい）
いくん	インク
いけこ	固形:敬語
いけさ	下剤
いけし	掲示
いけす	図形
いけち	地形（ちけい）
いけつ	決意
いけと	時計:毛糸:軽度
いけは	気配
いけひ	経費:美形:警備
いけふ	父兄（ふけい）
いけや	夜景:嫌気（いやけ）
いけゆ	経由
いけり	理系:経理
いけろ	経路:経路・径路:色気
いけん	意見
いこさ	在庫:最後
いこせ	個性:正誤:生後
いこた	個体:固体
いこち	いちご
いこて	固定
いこと	いとこ
いこぬ	子犬:小犬・子犬
いこは	背後
いこへ	語弊
いこま	迷子（まいご）
いこめ	濃いめ
いこん	コイン
いさし	資材
いさす	サイズ:座椅子
いさそ	素材:誘（さそ）い
いさた	多彩:多才:最多:痛さ
いさつ	殺意
いさて	査定
いさと	サイト:サイト［ウェブ〜］:サイド
いさひ	被災
いさふ	不在:夫妻:細部:負債:財布
いさへ	閉鎖
いさむ	債務:財務
いさや	野菜
いさん	サイン:遺産
いしす	炊事:自炊:随時
いしせ	制止:姿勢:政治:生死（せいし）:静止
いした	事態:大事（だいじ）:時代:次第:私大:自体:辞退:退治
いしち	一時（いちじ）
いして	停止:定時:指定:提示
いしな	市内
いしは	廃止:支配:芝居
いしへ	紙幣
いしま	姉妹（しまい）:毎時
いしめ	いじめ:使命:名刺:名詞:指名:明治:氏名
いしや	いやし:医者
いしゆ	首位
いしる	類似
いしれ	事例:仕入れ:指令:辞令
いしわ	いわし
いしん	印紙:寺院:死因
いすた	大豆
いすの	ノイズ
いすは	スパイ
いすま	住まい:睡魔:麻酔
いすみ	泉（いずみ）
いすら	ライス
いすり	推理
いする	居留守
いすれ	いずれ
いせせ	是正
いせた	世代:世帯
いせち	生地:知性:聖地
いせて	手製
いせと	制度:生徒:精度
いせに	二世
いせは	制覇:派生
いせひ	整備:美声
いせふ	不正:政府:西部:風情
いせほ	補正
いせや	野性
いせゆ	油性
いせよ	余生
いせら	来世
いせり	整理:理性
いせん	以前:善意:繊維
いそつ	そいつ
いそへ	平素
いそろ	そろい
いそん	依存（いそん）:依存（いぞん）
いたた	代打
いたち	地帯:大地:遅滞
いたつ	タイツ
いたて	痛手
いたと	土台:態度
いたに	荷台
いたひ	対比:肥大:退避:額（ひたい）
いたふ	タイプ:舞台
いたほ	逮捕
いたみ	いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み
いたむ	タイム
いたや	タイヤ:屋台
いたよ	貸与
いたり	代理
いたる	タイル
いたわ	対話:話題
いたん	単位
いちつ	一致
いちと	一度
いちの	命（いのち）
いちは	市場（いちば）:配置
いちふ	一部
いちへ	平地
いちめ	地名
いちや	一夜（いちや）
いちり	一理
いちん	インチ
いつつ	五つ
いつて	ついで
いつと	ドイツ:一途:集い
いつね	熱意
いつひ	いびつ
いつふ	異物
いつほ	一歩
いつゆ	唯一（ゆいつ）
いてと	程度
いては	手配
いてひ	否定
いてみ	未定
いてよ	予定
いてり	出入（でい）り
いてれ	手入れ
いてん	移転:転移:遺伝
いてー	ティー
いとな	ナイト:都内
いとは	バイト
いとま	毎度
いとや	雇い
いとら	トライ:ドライ:ライト
いとり	鳥居
いとれ	トイレ
いとん	インド
いなふ	ナイフ:内部
いなん	難易
いには	二倍
いにん	任意:委任
いぬめ	縫い目
いねら	ねらい
いのり	祈り
いはふ	パイプ:配布
いはら	払い
いはわ	ハワイ
いはん	範囲:違反
いひれ	比例
いひろ	拾い
いふへ	不平
いふめ	不明
いふら	フライ:ライフ:ライブ
いふる	ふるい:部類
いふれ	無礼
いふん	部員
いへや	平野
いへわ	平和
いへん	変異:異変
いほめ	名簿
いほん	本意
いほー	ボーイ
いまみ	見舞い
いまめ	めまい
いまや	病（やまい）
いまよ	毎夜:迷い
いまり	参り
いまる	マイル
いみや	嫌み
いみら	未来
いめよ	余命:名誉
いやー	イヤー
いゆら	由来
いよん	余韻
いらわ	笑い
いらん	ライン:ライン［合格〜］
いろん	異論
いわん	ワイン
ううこ	豪雨
ううふ	風雨
ううほ	暴雨
うえき	植木（うえき）
うえま	真上
うえめ	目上
うおと	嘔吐（おうと）
うおほ	応募
うおろ	往路
うかく	架空
うかこ	下降:加工:効果:硬貨:高価
うかそ	仮想:仮装:増加:画像
うかつ	通貨:通過
うかと	動画:可動:稼働:稼働・稼動:稼動
うかの	可能:農家
うかふ	風化
うかほ	邦画:防火
うかゆ	優雅
うかよ	八日（ようか）:洋画:火曜
うかろ	廊下:老化:過労
うきく	空気
うきこ	動き:好機:後期:抗議:気候:記号
うきさ	うさぎ
うきす	奇数:薄着
うきそ	偽造:寄贈:早期:葬儀
うきつ	通気
うきと	冬期:動機:同期:機動:起動:陶器
うきな	うなぎ
うきの	技能:昨日（きのう）:機能:納期
うきほ	ほうき:希望:放棄
うきゆ	九（きゅう）:勇気:急:旧（きゅう）:牛（ぎゅう）:球（きゅう）:級
うきよ	今日（きょう）:凶:容器:容疑:強:行（ぎょう）:起用:陽気
うきわ	上着
うくこ	工具
うくそ	装具
うくつ	苦痛
うくと	道具
うくの	苦悩
うくふ	工夫
うくよ	用具
うくろ	苦労
うけと	峠
うけみ	受け身
うけも	もうけ
うここ	交互
うこさ	交差:口座:講座
うこし	事項:公私:工事:志向:思考:時効:格子:試行:講師
うこす	個数:構図
うこせ	施工（せこう）
うこそ	倉庫:相互
うこた	蛇行
うこつ	都合
うこと	鼓動
うこひ	交尾:備考:合否:飛行
うこふ	不幸:古風:工夫:後部
うこほ	候補:公募:歩行:母校:誤報
うこむ	向こう:無効
うこゆ	固有
うこよ	用語:雇用:養護
うこり	合理:小売り
うころ	老後
うさそ	捜査:操作
うさと	佐藤:作動:動作:砂糖
うさふ	封鎖
うさほ	作法
うさま	うまさ
うさゆ	左右
うさよ	作用
うさわ	うわさ
うしす	指数:数字
うしそ	掃除
うしち	仕打ち
うしつ	写し
うしと	児童:同士:同時:始動:当時:投資:指導:私道:自動
うしほ	帽子:志望:時報:死亡:脂肪:防止
うしゆ	住（じゅう）:十・拾（じゅう）:十（じゅう）:周:有志:自由:融資:週:集（しゅう）
うしよ	ようじ:上（じょう）:乗:仕様:使用:商:容姿:小（しょう）:幼児（ようじ）:情（じょう）:状:用事:用紙:症:私用:証:賞:錠
うしろ	後ろ
うすた	多数
うすち	数値
うすつ	頭痛
うすて	手数（てすう）:手薄:薄手
うすと	度数
うすの	頭脳
うすは	ハウス:端数
うすほ	坊主
うすま	マウス
うすめ	薄め
うすも	相撲
うすよ	様子
うせつ	右折
うそち	地層:装置
うそと	塗装
うそね	寝相
うそは	相場
うそひ	微増:秘蔵:装備
うそふ	送付
うそむ	総務
うそゆ	輸送
うそよ	予想:要素
うそり	理想:草履
うたと	妥当
うたほ	他方:多忙
うたよ	多用
うたろ	太郎
うたん	タウン:ダウン
うちつ	通知
うちね	値打ち
うちの	知能:農地
うちほ	地方（ちほう）:放置
うちみ	身内（みうち）
うちゆ	中（ちゅう）:注
うちよ	兆:庁:町（ちょう）:腸:長（ちょう）
うちわ	うちわ:内輪（うちわ）
うちん	うんち
うつて	打つ手
うつふ	不通:普通
うつり	映り
うつろ	通路
うつわ	器（うつわ）:通話
うてり	売り手
うてわ	上手（うわて）
うてん	雨天
うとと	糖度
うとの	濃度
うとひ	逃避
うとふ	ぶどう:東部:豆腐:頭部:風土
うとほ	歩道:途方
うとむ	無糖
うとゆ	灯油
うとよ	与党:土曜:投与:用途
うとり	道理:離島
うとろ	道路
うとわ	童話
うとん	うどん
うにゆ	乳（にゅう）
うによ	尿
うねほ	寝坊
うねり	うねり
うのふ	不能:納付
うのみ	うのみ:未納
うのり	脳裏
うはり	売り場
うひほ	悲報:褒美
うひゆ	夕日
うひよ	曜日:票:秒:美容:表（ひょう）:費用
うひろ	披露:浪費:疲労
うふふ	夫婦
うふほ	抱負
うふみ	風味
うふも	不毛:毛布
うふよ	不用:不要:扶養
うふわ	和風
うふん	不運
うへみ	海辺（うみべ）
うへゆ	夕べ
うへわ	上辺（うわべ）
うほま	魔法
うほむ	無謀
うほも	模倣
うほゆ	保有
うほよ	予報:予防:保養
うほる	ボウル
うまみ	うまみ
うまれ	生まれ
うみよ	見よう
うみら	恨み
うむよ	無用
うめら	裏目
うもよ	模様
うゆよ	余裕
うゆり	有利:理由
うゆん	運輸
うより	両:利用:料:良:量
うるー	ウール
えおか	笑顔（えがお）
えおさ	押さえ
えおし	教え
えおほ	覚え
えおま	お前
えかき	着替え
えかさ	栄（さか）え
えかし	返し
えかひ	控え
えかふ	カフェ［コーヒー］:カフェ［店］
えかま	構え
えかむ	迎え
えから	絵柄
えかり	帰り:返り
えかる	かえる
えきこ	聞こえ
えきす	エキス
えきた	唾液
えきの	えのき
えきま	気前
えきむ	無益
えきり	利益
えきん	延期:演技:縁起
えくつ	机
えくの	絵の具
えくゆ	行方（ゆくえ）
えここ	小声
えこた	答え
えこん	援護
えこー	エコー
えささ	支え
えしま	自前
えしも	絵文字
えしる	ジェル
えしん	園児:支援
えすー	エース
えそな	供え:備え
えたつ	伝え
えたと	たとえ
えたふ	二重（ふたえ）
えちん	遅延
えてま	出前:手前（てまえ）
えとり	取り柄
えとん	エンド
えなま	名前
えぬり	塗り絵
えのも	獲物
えはふ	パフェ
えはま	前歯
えはみ	見栄え
えひん	鼻炎
えふる	震え
えほん	絵本
えむん	無縁
えゆん	ゆえん［所以］
えらー	エラー
えるー	エール
おおく	多く
おおて	大手（おおて）
おおめ	多め:大目
おかか	カカオ
おかく	家屋
おかけ	お陰
おかし	お菓子
おかす	おかず:カオス:素顔
おかつ	かつお
おかと	十日（とおか）
おかな	おなか
おかね	お金:寝顔
おかま	真顔
おかり	かおり（香・薫）:香り
おかん	悪寒
おきく	記憶
おきし	お辞儀
おきて	おきて
おきね	寝起き
おきは	置き場
おきよ	泳ぎ
おきん	恩義:気温
おくた	お宅
おくち	奥地
おくと	遠く
おくに	お国
おくは	奥歯
おくら	お蔵
おくり	送り
おくれ	後れ:遅れ
おけし	塩気
おけま	おまけ
おけん	嫌悪
おこて	おでこ
おこと	男（おとこ）
おこや	親子
おこり	おごり:氷
おさつ	お札
おさと	遠さ
おさめ	おさめ（収・納）:収め:納め
おさも	重さ
おしせ	お世辞
おしと	脅し:通し
おしな	直し
おしや	おやじ
おしら	ラジオ
おしろ	下ろし
おしん	恩師
おする	お留守
おせん	汚染
おそよ	およそ
おそれ	恐れ
おたふ	お札（おふだ）
おたる	タオル
おちと	落ち度
おちは	落ち葉
おちめ	落ち目
おちや	お茶
おちん	音痴:音痴［機械〜・方向〜］
おつと	夫（おっと）
おつは	お初
おつや	おやつ
おつゆ	おつゆ
おつり	お釣り
おてと	遠出
おてひ	ビデオ
おても	表（おもて）
おてん	おでん
おとな	大人（おとな）
おとふ	フォト
おとり	おとり:トリオ:踊り:通り:通り［〜がよい・〜が悪い］
おとん	温度:音頭
おなは	お花
おなら	おなら
おなん	女（おんな）
おにも	重荷
おねん	ネオン
おのほ	炎（ほのお）
おのれ	己（おのれ）
おひる	お昼
おふろ	おふろ
おほん	お盆:保温
おみも	重み
おめり	折り目
おやや	八百屋
おらー	オーラ
おりわ	終わり
おわん	おわん
かかく	価格:化学（かがく）:科学
かかつ	学科
かかと	かかと
かかふ	株価
かかみ	鏡（かがみ）
かかり	係り:係（かかり）
かかん	眼科
かきく	企画:規格:閣議
かきけ	激化
かきせ	稼ぎ
かきつ	学期:楽器:活気
かきて	手書き:書き手
かきね	気兼ね
かきは	はがき
かきみ	上期（かみき）:磨き
かきよ	許可
かきり	限り
かきれ	瓦礫（がれき）
かきわ	乾き:渇き
かきん	寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:祈願:課金:謹賀:金貨
かくく	区画
かくこ	覚悟:語学
かくさ	差額:格差
かくし	各自:四角:死角:自覚:視覚:資格
かくそ	加速:家族
かくた	多額
かくち	各地:知覚:近く
かくつ	九月
かくと	角度
かくな	金具
かくは	破格
かくひ	学費:比較
かくふ	各部:学部
かくほ	確保
かくみ	味覚
かくも	科目:課目
かくり	隔離
かくろ	録画
かくん	区間:玩具
かけし	仕掛け
かけつ	結果
かけて	出掛（か）け［〜際］
かけひ	日陰
かけみ	見掛け
かけら	かけら
かけれ	汚（けが）れ
かけん	けんか:下限:加減:原価
かこた	小型:小形・小型
かこつ	五月:国家:括弧
かこと	どこか
かこほ	過保護
かこみ	囲み
かこら	小柄
かこん	互換:看護:過言（かごん）
かささ	逆さ
かさた	固さ:硬さ:高さ
かさつ	作家:雑貨
かさな	さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:長さ:魚（さかな）
かさね	重ね
かさは	酒場
かさふ	深さ
かさや	酒屋
かさゆ	かゆさ
かさり	飾り
かさん	加算:参加:監査:酸化
かしす	透かし
かした	仕方
かしつ	加湿:四月:実家:果実:活字:画質:過失
かしと	都市化
かしの	カジノ
かしひ	東（ひがし）:耳鼻科
かしむ	昔
かしや	貸家
かしゆ	果樹:歌手
かしよ	初夏（しょか）:箇所
かしら	からし:白髪（しらが）:頭（かしら）
かしれ	彼氏
かしわ	和菓子
かしん	干支:幹事:感じ:時間:漢字:監視:進化:過信
かすた	姿
かすて	手数（てかず）
かすみ	住みか
かすら	ガラス:図柄
かすん	図鑑
かせつ	仮設:仮説
かせな	背中
かせは	博士（はかせ）
かせわ	為替
かせん	河川
かそん	簡素
かたち	形（かたち）
かたな	かなた:カナダ:田中
かたね	高値
かたは	裸
かたみ	味方:味方・身方:見方:高み
かため	めだか:固め:高め
かたゆ	浴衣（ゆかた）
かたら	体（からだ）:宝
かたり	語り
かたれ	だれか
かたん	加担:単価
かちは	近場
かちま	間近
かちみ	身近
かちめ	勝ち目
かちら	力（ちから）
かちん	完治
かつつ	ガッツ
かつて	勝手
かつと	カット:特価:特化
かつに	二月:日課
かつね	加熱
かつは	二十日（はつか）:発芽
かつひ	月日（がっぴ）
かつふ	カップ:二日（ふつか）:物価:部活
かつみ	つかみ:三日（みっか）
かつも	貨物
かつよ	四日（よっか）
かつら	落下
かつれ	劣化:疲れ
かてに	苦手
かてね	かねて
かてみ	手紙
かてや	やがて
かてら	手柄
かてわ	若手
かてん	天下:家電:添加:点火:転嫁:電化
かとれ	どれか
かとん	感度
かとー	カード:ガード
かなに	何（なに）か
かなの	七日（なのか）
かなは	半ば
かなひ	中日（なかび）
かなふ	不仲
かなま	仲間
かなみ	中身:中身・中味
かなめ	眺め:長め
かなよ	夜中（よなか）
かなれ	流れ
かなん	何（なん）か
かにみ	苦み
かにわ	にわか
かにん	認可
かねめ	眼鏡（めがね）
かねん	可燃:年賀
かはり	はかり（計・量・測）:ばかり［した〜］:測り:計り
かはれ	枯れ葉
かはん	かばん:寒波
かはー	カバー
かひふ	皮膚科
かひみ	ひがみ
かひり	光（ひかり）
かひん	完備:悲観:悲願:美顔
かふみ	深み
かふめ	深め
かふれ	かぶれ
かふん	噴火:幹部:文化:花粉:還付
かふー	カーブ
かへわ	川辺
かへん	変化
かほん	保管
かまり	曲がり
かまん	我慢:漫画
かみめ	女神（めがみ）
かみゆ	かゆみ:ゆがみ
かみら	辛み
かみる	身軽
かみわ	我が身
かみん	みかん:仮眠:未完:民家
かめも	かもめ
かめら	カメラ
かめわ	わかめ
かめん	仮面:画面
かやわ	我が家（や）
かやん	やかん:夜間
かゆり	ゆかり
かよん	予感:関与:関与・干与
かられ	彼ら
からわ	河原
からん	裸眼
からー	カラー
かりわ	かわり（代・替）:代わり:分かり:変わり:替わり
かりん	管理
かるー	ガール
かれわ	分かれ:別れ
かれー	カレー
かわん	緩和
ききし	儀式
ききせ	奇跡:奇跡・奇蹟
ききつ	気付き
ききて	利き手:聞き手
ききみ	見聞き
ききめ	効き目:目利き
ききゆ	行（ゆ）き来
ききん	基金:近畿
きくこ	帰国
きくさ	草木（くさき）
きくそ	規則
きくた	帰宅
きくつ	キック
きくと	特技
きくは	歯茎:気迫
きくや	ギャグ:客:脚:規約:逆
きくよ	局:曲
きくり	区切り:区切り・句切り
きくろ	記録
きくわ	疑惑
きくん	キング
きけし	刺激:景色
きけた	打撃
きけつ	決議
きけと	激怒
きけは	吐き気
きけひ	悲劇
きけん	元気:危険:期限:棄権:機嫌
きけー	ケーキ
きこせ	戸籍
きこの	きのこ
きこむ	小麦
きこん	今期:既婚:根気:金庫
きさし	座敷:詐欺師
きさせ	座席
きさつ	さっき:喫茶
きさて	出先:手先
きさめ	目先
きさわ	騒ぎ
きしし	色紙（しきし）
きしす	図式
きしそ	組織:色素
きした	下着
きしち	敷地:知識
きしつ	実技:期日:気質:湿気（しっき）
きして	指摘
きしひ	ひじき
きしふ	不思議
きしや	屋敷
きしゆ	主義:機種
きしよ	初期:死去
きしり	仕切り:自力
きしれ	歴史
きしわ	和式
きしん	審議:新規:禁止:資金:近視
きすす	すずき:鈴木
きすて	出過ぎ:手すき［お〜の時に］
きすま	すき間
きすみ	水着
きすむ	無傷
きせつ	季節:気絶
きせふ	防ぎ
きせゆ	石油
きせり	離席
きせん	前期
きそん	既存（きそん）:既存（きぞん）
きたぬ	たぬき
きたは	肌着
きたり	他力
きたん	短期:短気
きたー	ギター
きちむ	キムチ
きちも	気持ち
きちん	チキン
きつつ	続き
きつて	切手
きつに	日記
きつね	きつね:寝付き:熱気
きつは	発揮
きつひ	月日（つきひ）:筆記
きつふ	切符:復帰
きつま	期末:末期
きつめ	めっき
きつよ	強気
きつり	規律:規律・紀律:起立
きつれ	亀裂
きてと	適度
きてぬ	手抜き
きてひ	手引き
きてみ	右手
きてむ	無敵
きてめ	決め手
きてわ	手際
きてん	天気:機転:起点:転機:電機:電気
きとふ	ギフト
きとも	もどき
きにひ	にきび
きにり	握り
きにん	人気:任期
きねひ	値引き
きねま	招き
きねん	年季:年期:記念
きのも	着物
きのり	乗り気
きはり	馬力（ばりき）
きはん	半期:基盤
きひひ	響き
きひよ	拒否
きひら	開（ひら）き
きひん	気品
きふむ	不向き
きふゆ	冬着
きふる	古着
きふん	ふきん:付近:付近・附近:分岐:奮起:気分
きふー	キープ
きへや	部屋着
きへん	ペンキ
きほん	募金:基本
きまま	気まま
きまり	決まり
きまれ	紛れ
きまわ	間際
きまん	満期
きみむ	見向き
きみり	切り身:見切り
きみわ	わき見:極み
きむん	勤務
きめれ	切れ目
きもん	疑問
きやる	やる気
きやん	夜勤
きより	距離
きよわ	弱気:気弱
きよん	預金
きりれ	履歴
きりわ	輪切り
きりん	臨機:金利
きるわ	悪気（わるぎ）
きろん	議論
くくり	くくり
くけら	くらげ:下落
くけわ	区分け
くここ	国語
くこし	四国:地獄:時刻:酷使
くこた	他国
くこち	告知:遅刻
くこと	孤独
くこひ	極秘
くこよ	予告
くこら	娯楽
くささ	臭さ
くさし	仕草:作詞:施策:自作:試作
くさそ	即座
くさひ	低さ
くさも	模索
くさや	昨夜
くさら	暗さ:桜:落差
くさり	探り
くさろ	黒さ
くしそ	即時:持続
くした	仕度（したく）:支度・仕度（したく）:支度（したく）:自宅
くしと	自得
くしは	白紙（はくし）:自爆
くしふ	福祉:私服:至福
くしま	字幕
くしみ	仕組み
くしも	目次
くしや	弱
くしゆ	塾:祝（しゅく）
くしよ	抑止:職:食
くしら	暮らし:鯨
くしろ	黒字
くしん	寝具
くすた	タスク
くすて	デスク
くすま	マスク
くすも	もずく
くすら	クラス:グラス
くすり	リスク:薬（くすり）
くすれ	崩れ
くせつ	節句・節供
くせね	寝癖
くせん	苦戦
くそと	土足:速度
くそふ	不足:付属:付属・附属
くそほ	補足
くそよ	予測
くそり	利息
くそん	ソング
くたほ	打撲
くたみ	たくみ:巧み
くたら	堕落
くたり	くだり（件）:下（くだ）り
くたん	タンク
くちて	出口:手口
くちひ	備蓄
くちや	着
くちよ	直（ちょく）
くつと	ドック
くつね	ネック
くつの	ノック
くつは	バック:バッグ:パック:パック［〜旅行］
くつへ	区別
くつら	ラック
くつり	つくり（作・造）:作り:理屈:造り
くつろ	ロック
くてひ	手首
くてん	句点:軍手
くとほ	土木
くとー	トーク
くにひ	皮肉
くにや	肉屋
くはひ	美白
くはや	役場
くはよ	余白
くはり	配り
くはろ	暴露
くはん	パンク
くはー	パーク
くひめ	低め
くひも	黙秘
くひや	百:飛躍
くひれ	日暮れ
くひん	ピンク
くひー	ピーク
くふふ	不服:腹部
くふほ	北部
くふみ	含み
くふら	クラブ:グラフ
くふろ	付録:付録・附録:復路:袋（ふくろ）
くふわ	和服
くふん	区分:文具
くへら	比べ
くほみ	くぼみ
くほら	僕ら
くほろ	ほくろ
くほー	ポーク
くまら	まくら
くまる	車（くるま）
くまれ	まぐれ
くまろ	まぐろ
くまー	マーク
くみむ	むくみ
くみめ	恵み
くみや	脈:薬味
くみる	ミルク
くむよ	無欲
くむら	グラム
くめや	役目
くめり	巡り
くめる	グルメ
くめん	工面
くめー	メーク
くもり	曇り
くもん	文句
くやよ	予約
くやり	略
くやわ	和訳
くより	力（りょく）
くらん	ランク
くりる	グリル
くりん	リンク:リング
くれー	グレー
くろん	ロング
くわー	ワーク
けけぬ	抜け毛
けこわ	小分け
けこん	言語:語源
けさな	情け
けさね	値下げ
けさひ	叫び
けさふ	ふざけ
けさむ	寒気（さむけ）
けさん	検査
けしつ	しつけ:湿気（しっけ）
けしめ	けじめ
けしわ	仕分け
けしん	事件:試験:資源
けすた	助け
けすと	ゲスト
けすー	ケース
けせた	背丈
けせん	世間
けたは	畑（はたけ）
けちん	現地
けつと	ゲット
けつに	煮付け
けつは	バケツ
けつひ	日付:秘訣
けつふ	不潔
けつほ	墓穴:補欠
けつま	まつげ
けつろ	結露
けてわ	手分け
けとと	届け:届［転入〜］
けとひ	人気（ひとけ）
けとほ	仏（ほとけ）
けとや	やけど
けとん	限度
けとー	ゲート
けなま	怠け
けぬめ	抜け目
けねむ	眠気
けねん	懸念
けはみ	励み
けはん	派遣:現場（げんば）
けひや	日焼け
けひよ	日よけ
けふよ	夜更け
けふん	府県
けほん	保健:保険:健保
けまゆ	まゆ毛
けみや	土産（みやげ）
けみわ	見分け
けみん	眉間
けむり	煙（けむり）
けむん	兼務:無限
けむー	ゲーム
けよん	予言
けりん	権利
ここち	心地
ここと	小言
ここね	子猫:小猫:小猫・子猫
ここの	ここの
こころ	心（こころ）
ここん	今後
こさし	小さじ
こさめ	小雨（こさめ）
こさら	小皿
こさん	誤算
こしつ	個室:固執（こしつ）:後日
こしと	今年（ことし）:仕事
こしは	はしご
こしふ	こぶし
こしみ	仕込み
こしむ	無事故
こしも	小文字（こもじ）
こしや	肥やし:車庫
こしゆ	主語
こしわ	小じわ
こしん	個人:故人
こすと	コスト
こすむ	息子
こすー	コース
こせに	小銭（こぜに）
こせね	猫背
こせん	五千:前後:午前:戦後
こその	その後
こそら	そこら
こたつ	こたつ
こたて	戸建て
こたは	たばこ
こたま	卵（たまご）
こたら	たらこ
こたん	単語:団子
こちつ	こっち
こちも	子持ち
こちら	こちら
こちー	コーチ
こつふ	コップ:小粒
こつへ	個別
こつり	孤立
こつれ	子連れ
ことね	寝床
ことは	言葉
ことひ	日ごと
ことも	子供
ことや	床屋
ことり	小鳥
ことろ	ところ:所（ところ）
ことん	コント:今度
ことー	コート:コード
こなり	名残（なごり）
こなん	何個
こにみ	煮込み
こにり	濁り
