２文字集合	可能な２文字単語
けひ	ひげ
けほ	ぼけ
けま	曲げ:負け
けむ	向け
けや	やけ［〜になる］
けゆ	湯気
けり	けり:けり［〜を付ける］:下痢
けわ	分け:訳（わけ）
けん	件:券:圏:権:減:県
ここ	ここ:ここ［〜１，２か月］:午後
こさ	濃さ:誤差:雑魚（ざこ）
こし	事後:事故:古紙:古紙・故紙:死後:私語:腰:自己:誤字
こそ	そこ:底
こた	たこ
こつ	こつ［覚える〜］
こて	後手
こと	どこ:事（こと）:床（とこ）
こな	粉（こな）
こね	コネ［コネクション］:猫
こひ	こび:語尾
こふ	五分:昆布（こぶ）
こほ	保護
こま	ごま:孫:駒（こま）
こみ	ごみ:込み［消費税〜］
こむ	ゴム:婿
こめ	米（こめ）
こや	小屋
こよ	横
こり	凝り
これ	これ
ころ	ごろ:ロゴ
こん	紺
さし	さじ:時差
さち	幸（さち）
さつ	冊:札（さつ）
さと	里（さと）
さは	さば
さひ	さび:ひざ:ビザ:ピザ
さふ	サブ
さほ	補佐
さま	様（さま）
さら	皿（さら）
さる	ざる
さわ	技（わざ）
さん	三:三・参（さん）:三（さん）:残:産
しし	四時:指示:支持:時事:私事（しじ）
しす	すし:筋（すじ）
した	だし:下（した）:自他:舌:足し
しち	七（しち）:知事:自治
しつ	実（じつ）:室（しつ）:日（じつ）:質
しと	とし（年・歳）:年（とし）:歳（とし）:都市
しな	なし:品（しな）
しに	二次:死に［生き〜］:虹:西（にし）
しぬ	主（ぬし）
しね	ねじ
しは	はし:恥:橋:端（はし）:芝
しひ	ひじ:自費
しふ	無事:自負
しほ	干し:星（ほし）
しま	増し:島（しま）
しみ	しみ
しむ	ジム:事務:無地:無視:蒸し:虫（むし）
しめ	締め:飯（めし）
しも	文字（もじ）:霜
しや	社（しゃ）:視野
しゆ	種（しゅ）:酒（しゅ）
しよ	よし:女（じょ）:暑:書（しょ）:署
しり	しり:利子
しる	汁
しれ	レジ:レジ［〜係］
しろ	白（しろ）:路地
しわ	しわ:わし:和紙
しん	心（しん）:真（しん）:芯
すそ	すそ
すち	地図
すて	素手
すな	なす:砂（すな）
すは	はず:バス:パス
すへ	すべ
すほ	ボス
すま	ます
すみ	みず:ミス:水（みず）:済み:炭:隅
すめ	メス
すゆ	ゆず
する	ずる:留守
すれ	ずれ
すろ	ロス
せつ	説
せに	偽（にせ）
せひ	是非
せみ	せみ:店（みせ）
せめ	攻め:責め
せや	やせ
せる	セル
せろ	ゼロ
せわ	世話
せん	前（ぜん）:千:戦:栓:線
そつ	卒
そて	そで
そと	外（そと）
そな	なぞ
そは	そば
そふ	祖父
そへ	へそ
そほ	祖母
そみ	みそ:溝
そよ	よそ
そら	空（そら）
そり	反り
それ	それ
そろ	ソロ
そん	損:村（そん）
たた	ただ:ただ［〜の人］
たて	立て:縦
たな	棚
たに	谷
たね	ねた:種（たね）
たは	束（たば）:畑（はた）:肌（はだ）
たひ	度（たび）:旅
たふ	ふた:ふた（蓋）:蓋（ふた）:豚（ぶた）
たへ	下手（へた）
たま	たま:玉（たま）
たむ	無駄
ため	ため:駄目
たら	たら
たれ	だれ
たわ	綿（わた）
たん	単:暖:段
ちち	父
ちつ	土（つち）
ちと	土地
ちに	日（にち）
ちの	後（のち）
ちは	八（はち）
ちふ	淵（ふち）:縁（ふち）
ちま	待ち:町（まち）:街（まち）
ちみ	地味:未知:道（みち）
ちむ	無知
ちも	もち:持ち［〜がよい］:持ち［土地〜・自分〜］
ちや	茶
ちゆ	治癒
ちよ	予知:余地:著
ちり	地理
つつ	筒
つて	つて:鉄
つと	都度
つな	ツナ:夏（なつ）
つね	常:熱
つは	ばつ［×］:初（はつ）:発:発（はつ）:罰（ばつ）
つふ	物（ぶつ）:粒（つぶ）
つへ	別
つほ	つぼ
つま	妻（つま）:末（まつ）
つみ	みつ:みつ（蜜）:罪（つみ）:蜜（みつ）
つむ	六つ
つめ	つめ:詰め
つや	つや:やつ:八つ
つゆ	梅雨（つゆ）:露（つゆ）
つり	率:釣り
つれ	列:連れ
てふ	筆（ふで）
てま	デマ:手間
てら	寺（てら）
てれ	照れ
てん	天（てん）:点
てー	デー
との	のど
とは	はと
とひ	ひと:人（ひと）:跳び
とほ	徒歩:程（ほど）
とま	的（まと）:窓
とみ	富
とめ	めど:止め
とも	もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと）
とや	宿（やど）
とら	寅（とら）
とり	取り:鳥（とり）
とる	ドル
とれ	どれ
とろ	泥
なに	何（なに）
なは	花（はな）:鼻
なへ	なべ
なま	生（なま）:生（なま）［〜の声］
なみ	並（なみ）:波:皆
なら	なら
なれ	なれ:慣れ
なわ	わな
なん	何（なん）:難
にら	にら
にわ	庭（にわ）
にん	人（にん）
ぬの	布
ぬま	沼
ぬり	塗り
ねは	ばね:羽・羽根（はね）:羽（はね）
ねふ	ふね（船・舟）:舟（ふね）:船（ふね）
ねほ	骨（ほね）
ねま	まね:マネ
ねむ	旨（むね）:胸
ねや	屋根
ねん	年（ねん）
のひ	のび（伸・延）:伸び
のへ	延べ
のみ	のみ:飲み
のも	物（もの）:者（もの）
のり	のり:乗り
のー	ノー
はは	パパ:幅:母
はま	浜
はむ	ハム
はめ	羽目
はら	ばら:腹
はり	張り:針（はり）
はる	春
はれ	はれ［〜が引く］:晴れ
はん	パン:半:晩:班:番
はー	バー
ひひ	ひび:日日（ひび）
ひふ	不備:皮膚
ひへ	へび
ひま	暇（ひま）:麻痺
ひみ	美味
ひも	ひも
ひゆ	指
ひよ	予備
ひる	ひる:ビル:昼
ひれ	ひれ
ひん	ピン:便（びん）:品（ひん）:瓶（びん）
ふほ	父母（ふぼ）
ふみ	ふみ（文・書）
ふゆ	冬
ふよ	付与
ふら	ラフ:ラブ
ふり	ぶり:不利:振り:降り
ふれ	触れ
ふろ	ふろ:プロ
ふん	分（ふん）:分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）
へや	部屋
へり	ヘリ
へる	ベル
へん	ペン:便:弁:編:編・篇:辺（へん）
ほら	ほら［〜吹き］
ほん	本（ほん）:盆
まま	まま:まま［気の向く〜］:ママ
まめ	まめ:豆
まや	山（やま）
まゆ	まゆ
まる	まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる）
まん	万
みみ	耳
みよ	読み:読み［〜が外れる］
みり	ミリ
みる	みる
むら	村（むら）
むり	無理
むれ	群れ
めも	メモ
めや	やめ
めゆ	夢
めよ	嫁
めん	綿（めん）:面（めん）:麺
もも	もも:桃
もや	もや
もり	森:盛（も）り
もれ	漏れ
もん	門（もん）
やゆ	揶揄（やゆ）
ゆれ	揺れ
より	より
よる	夜（よる）
らん	欄
りわ	割（わり）
るわ	悪（わる）
れわ	割れ
わん	わん（椀・碗）:碗（わん）
