５文字集合	可能な５文字単語
あたちぶる	ぶち当たる
あたっつり	釣り合った
あたっまや	誤った
あたつやり	八つ当たり
あたてめら	改めて
あたとひり	人当たり
あたにひる	日に当たる
あたのまり	目（ま）の当たり
あたふりれ	ありふれた
あたまらる	改まる
あためらる	改める
あたられわ	現れた
あだてらる	荒立てる
あだてるわ	泡立てる
あちにみゅ	ミニチュア
あってまや	誤って
あつとひめ	人集め
あてなにる	当てになる
あてにまる	手に余る
あてのもわ	慌て者
あてはまる	当てはまる
あてはめる	当てはめる
あてらるれ	当てられる
あてりるわ	割り当てる
あでふるれ	あふれ出る
あとどもり	後戻り
あとなにる	後になる
あどまやり	雨宿り
あにまめる	目に余る
あにまゅる	マニュアル
あのはりる	張りのある
あのひるん	品（ひん）のある
あのままり	ありのまま
あふりるれ	ありふれる
あぷみむれ	プレミアム
あまみやる	見誤る
あみゆより	歩み寄り
あみゆよる	歩み寄る
あらるれわ	現れる:表れる
いいいかん	委員会
いいいがち	言い違い
いいいくに	言いにくい
いいうちわ	内祝い
いいえかし	言い返し
いいえかす	言い返す
いいえかる	言い換える
いいえせふ	不衛生
いいえたつ	言い伝え
いいおしと	いとおしい
いいおしな	言い直し
いいおすな	言い直す
いいおもれ	思い入れ
いいおるわ	言い終わる
いいかがり	言い掛かり
いいかげん	いい加減:いい加減［〜くたびれた］
いいかこっ	かっこいい
いいかじん	いい感じ
いいかせち	世界一
いいかだと	大都会
いいがきち	行（い）き違い
いいがくち	食い違い
いいがしそ	忙（いそが）しい
いいがちな	違いない:違いない［…に〜］
いいがちに	一概に
いいがちれ	入れ違い
いいがちろ	色違い
いいがなふ	ふがいない
いいがのれ	言い逃れ
いいきだら	大嫌い
いいきちも	いい気持ち
いいきとに	いい時に
いいきぶん	いい気分
いいぎさよ	潔い
いいぎする	言い過ぎる
いいくてな	なくていい
いいぐせた	具体性
いいけびん	警備員
いいこすの	言い残す
いいことろ	いいところ
いいさしせ	再生紙
いいさしま	勇ましい
いいしたま	痛ましい
いいしだめ	代名詞
いいしまわ	言い回し
いいしめれ	名刺入れ
いいしゃら	依頼者
いいしやら	嫌らしい
いいすする	推移する
いいすらる	依頼する
いいせぞろ	勢ぞろい
いいせっに	一斉に
いいちはや	いち早い
いいとはら	ハイライト
いいななめ	否めない
いいにらん	依頼人
いうえかよ	栄養価
いうえきゅ	永久
いうえきょ	影響
いうえそよ	栄養素
いうおはら	追い払う
いうかきょ	協会
いうかこひ	非公開
いうかしゅ	回収:改修:集会
いうかしょ	商会:快勝:照会:紹介:解消
いうかする	迂回する
いうかせと	正当化
いうかせの	可能性
いうかそわ	かわいそう
いうかちち	近いうち
いうかちょ	会長:快調:町会
いうかてよ	家庭用
いうかにゅ	介入:入会
いうかふみ	未開封
いうかょり	了解:改良
いうがきち	行（い）き違う
いうがくち	食い違う
いうがけよ	受けがよい
いうがする	うがいする
いうがそよ	予想外
いうがちれ	入れ違う
いうきくょ	教育
いうきけゅ	休憩
いうきこて	好意的
いうきさゅ	救済
いうきさょ	最強
いうきすゅ	給水
いうきすー	ウイスキー
いうきせゅ	急性:旧姓:請求
いうきせょ	強制:盛況:矯正
いうきたゅ	耐久
いうきつゅ	追及:追求:追究
いうきてゅ	定休
いうきてょ	協定:提供
いうきめゅ	救命:究明
いうきめょ	共鳴
いうきょり	領域
いうきょん	教員
いうくしつ	美しい
いうぐすら	薄暗い
いうけしゅ	集計
いうけしょ	小計:敬称:継承:軽傷:軽症
いうけしよ	形容詞
いうけちゅ	中継
いうけょり	軽量
いうけるれ	受け入れる
いうこさち	最高値
いうこさひ	交際費
いうこしつ	更衣室
いうこしば	香ばしい
いうこする	移行する
いうこぞれ	冷蔵庫
いうことれ	冷凍庫
いうこはん	広範囲
いうこふへ	不公平
いうこむん	公務員
いうごする	合意する
いうごせり	合理性
いうさしゅ	採集:最終
いうさしょ	最小:最少:詳細
いうさちゅ	仲裁:最中（さいちゅう）
いうさちょ	最長
いうさょり	最良
いうさより	再利用
いうしすょ	推奨
いうしせゅ	修正:習性
いうしたぼ	体脂肪
いうしたょ	大笑:大賞:対照:対称:対象:招待:正体
いうしちゅ	週一
いうしはょ	勝敗
いうしまゅ	毎週
いうしめょ	名称:照明:証明
いうしもれ	申し入れ
いうしゅら	来週
いうしょら	将来
いうしょん	勝因:印象
いうすそる	相違する
いうすただ	大多数
いうすちゅ	水中
いうすどる	同意する:異動する:移動する
いうすびよ	水曜日
いうすほる	包囲する
いうすゅり	水流
いうすよる	用意する
いうせたよ	多様性
いうせちょ	成長:調整
いうせょり	声量
いうぞみら	未来像
いうたちょ	体調
いうたとん	担当医
いうたょり	大量
いうちてょ	低調
いうちども	もう一度
いうちなょ	町内
いうちふゅ	不注意
いうちめょ	町名
いうちゅり	一流
いうちょれ	朝礼
いうてひょ	定評
いうてょり	料亭
いうとどめ	透明度
いうとなん	何という
いうとばる	奪い取る
いうとふめ	不透明
いうにゅん	入院
いうのよん	運のよい
いうひめょ	表明
いうびよん	美容院
いうめょり	明瞭
いうょりん	飲料
いえおかす	追い返す
いえかがん	映画館
いえかきり	行（い）き帰り
いえかみん	民営化
いえかるれ	入れ替える
いえがたた	堪え難い:耐え難い・堪え難い
いえがちは	配置換え
いえきこひ	えこひいき
いえきさと	エキサイト
いえくちょ	直営
いえくにも	燃えにくい
いえくほん	保育園
いえげつな	えげつない
いえごらわ	笑い声
いえさすず	Ｓサイズ
いえさずむ	Ｍサイズ
いえさずる	Ｌサイズ
いえすもや	燃えやすい
いえたなま	絶え間ない
いえばまら	前払い
いおおがき	気が多い
いおおぎそ	大急ぎ
いおおらわ	大笑い
いおかくふ	奥深（おくふか）い
いおかくぶ	奥深（おくぶか）い
いおかける	追い掛ける
いおかしら	塩辛い
いおかせっ	おせっかい
いおがきも	気が重い
いおがたに	お互いに
いおがにも	荷が重い
いおがらわ	笑い顔
いおきけど	置き時計
いおきつも	思い付き
いおきどり	憤り
いおきどる	憤る
いおきにり	お気に入り
いおきもや	思いきや
いおきもり	思い切り
いおきもる	思い切る
いおくつも	思い付く
いおくらり	お蔵入り
いおけどん	温度計
いおこみも	思い込み
いおこむも	思い込む
いおさじん	おじいさん
いおさにん	お兄さん
いおさやん	温野菜
いおしそろ	恐ろしい:恐ろしい［〜勢い］
いおしたと	年老いた
いおしとな	おとなしい
いおしとる	年老いる
いおしどな	同い年
いおしもる	思い知る
いおしもろ	おもしろい
いおすだも	思い出す
いおすむら	オムライス
いおするれ	お礼する
いおそるれ	恐れ入る
いおたちつ	落ち着いた
いおたつも	思い立つ
いおだつて	お手伝い
いおつめる	追い詰める
いおとどほ	程遠い
いおなばよ	及ばない［…には〜］
いおふらん	オフライン
いおもやり	思いやり
いおもやる	思いやる
いおらんん	オンライン
いかかせっ	活性化
いかかせん	世界観
いかかぜむ	向かい風
いかかたつ	使い方
いかかづね	金遣い
いかかふん	不快感
いかかりん	係員
いかがきく	規格外
いかがたや	輝いた
いかがちん	勘違い
いかがなよ	仲がよい
いかがはん	繁華街
いかがよん	勘がよい
いかがるわ	かわいがる
いかききて	機械的
いかきくょ	開局
いかきせて	世界的
いかきたん	期待感
いかきつり	使い切り
いかきつる	使い切る
いかきてて	家庭的
いかきてと	都会的
いかきては	破壊的
いかぎしつ	会議室
いかぎせん	正義感
いかぎなり	限りない
いかくけし	四角形
いかくけむ	無計画
いかくさび	かび臭い
いかくしゃ	解釈
いかくする	威嚇する
いかくせふ	不正確
いかくなふ	内閣府
いかくふめ	不明確
いかけする	経過する
いかけつみ	未解決
いかけつる	買い付ける
いかけつわ	使い分け
いかけとる	問い掛ける
いかけむん	無関係
いかこする	解雇する
いかこつみ	使い込み
いかこつむ	使い込む:使い込む［長年〜んだ包丁］
いかごする	介護する:誤解する
いかさたね	最高値
いかしする	開始する
いかしずは	恥ずかしい
いかしずむ	難（むずか）しい:難（むずか）しい［〜顔］
いかしせつ	私生活
いかしぜん	自然界
いかしたた	致し方
いかしたな	仕方ない
いかしつな	懐かしい
いかしつむ	難（むつか）しい:難（むつか）しい［〜顔］
いかしども	もどかしい
いかしばら	ばからしい
いかしまや	やかましい
いかしめる	買い占める
いかじする	開示する
いかじたん	時間帯
いかじてん	展示会
いかすぜる	課税する
いかすたる	退化する
いかすつて	使い捨て
いかすつる	追加する
いかすてる	仮定する:低下する
いかすはる	破壊する
いかすひる	回避する
いかすめる	するめいか:加盟する
いかすりる	理解する
いかするわ	会話する:和解する
いかせぜん	全世界
いかせたの	背の高い
いかせっら	落花生
いかせつひ	生活費
いかせどん	完成度
いかせねん	可燃性
いかせみん	未完成
いかぜらん	以前から
いかたばみ	ばかみたい
いかためる	買いためる
いかだてに	二階建て
いかちつみ	使い道
いかちどほ	程近い
いかつのも	使い物［〜にならない］
いかつはみ	未開発
いかつふよ	二日酔い
いかななわ	かなわない
いかなまり	仲間入り
いかなまわ	構わない
いかならわ	分からない:分からない［〜やつ］
いかのもわ	若い者
いかやらわ	やわらかい（柔・軟）:柔らかい:軟らかい
いかりるれ	借り入れる
いかりれわ	入れ替わり
いかるれわ	入れ替わる
いがききち	聞き違い
いがきくて	医学的
いがきちゆ	行（ゆ）き違い
いがきつよ	気が強い
いがきなり	切りがない
いがきはや	気が早い
いがきめる	気がめいる
いがきよわ	気が弱い
いがくさる	食い下がる
いがけたち	けた違い
いがけちの	命懸け
いがことな	長いこと
いがこねろ	黄金色（こがねいろ）
いがさしわ	騒がしい
いがしせん	紫外線
いがしなは	放し飼い
いがしなろ	ないがしろ
いがすちれ	擦れ違い
いがすなま	済まないが
いがすなる	長居する
いがせやら	嫌がらせ
いがそなほ	細長い:長細い
いがちまみ	見間違い
いがちまん	万が一
いがつなみ	罪（つみ）がない
いがてはや	手が早い
いがとまめ	まとめ買い
いがにほろ	ほろ苦い
いがにらわ	苦笑い
いがまるわ	間が悪い
いききくに	聞きにくい
いききして	意識的
いききすら	好き嫌い
いききする	行（い）き来する
いききたの	気の利いた
いききちて	地域的
いききづら	聞きづらい
いききてて	定期的
いききるれ	聞き入れる
いきぎすた	行（い）き過ぎた
いきぎする	行（い）き過ぎる
いきくさと	得意先
いきくさな	きな臭い
いきくたゃ	退却
いきくてよ	意欲的
いきくめょ	名曲
いきくゃら	来客
いきくゃれ	冷却
いきぐたて	具体的
いきけさん	計算機
いきけせん	危険性
いきけてん	定期券
いきけばん	券売機
いきこころ	心意気
いきこせて	個性的
いきこのる	生き残る
いきごとれ	きれい事
いきさする	再起する:記載する
いきさつん	印刷機
いきさばら	先払い
いきしする	意識する
いきしせて	指定席
いきしてび	手厳しい
いきしなに	気にしない
いきじちて	一時的
いきじちん	一時金
いきすせる	帰省する:規制する
いきすたる	待機する:期待する
いきすつる	追記する
いきすてる	規定する
いきすはる	廃棄する
いきすはん	炊飯器
いきすひる	ひいきする
いきすめる	明記する:記名する
いきずたつ	傷付いた
いきせてや	野性的
いきせてり	理性的:生理的
いきせでん	静電気
いきせばら	せき払い
いきせひん	既製品
いきたっに	気に入った
いきたっひ	筆記体
いきたるわ	行（い）き渡る
いきちつべ	地域別
いきちてめ	致命的
いきちへん	平均値
いきつはぶ	廃棄物
いきつばら	月払い
いきづまり	行（い）き詰まり
いきづまる	息詰まる:行（い）き詰まる
いきてびん	定期便
いきでのよ	できのよい
いきどまり	行（い）き止まり
いきどまる	行（い）き止まる
いきなもら	もらい泣き
いきみるわ	気味悪い
いぎくする	食い過ぎる
いぎこちな	ぎこちない
いくくすつ	食い尽くす
いくぐさた	具体策
いくけしょ	軽食
いくげこさ	焦げ臭い
いくこられ	これくらい
いくさする	細工する
いくさだて	…てください
いくさてれ	照れ臭い
いくさふる	古臭い
いくさりる	リサイクル
いくしする	飼育する
いくしたま	たくましい
いくしたゃ	貸借
いくしたょ	退職
いくしてょ	定職:定食
いくしなょ	内職
いくしにら	憎らしい
いくしはゅ	祝杯
いくしはょ	配色
いくしほょ	保育所
いくしまょ	毎食
いくしょん	職員:飲食
いくすすだ	救い出す
いくすたる	委託する
いくすだり	薬代
いくすちょ	垂直
いくすっと	ストイック
いくすとら	ストライク
いくすにみ	住みにくい
いくせのひ	背の低い
いくせょり	勢力
いくそられ	それくらい
いくただて	…ていただく
いくたっつ	くっついた
いくたつに	板に付く
いくたにべ	食べにくい
いくたょり	体力
いくだとれ	ダイレクト
いくだなら	くだらない
いくちつに	位置に着く
いくちてゃ	定着
いくちはや	いち早く
いくってる	行って来る
いくつてゆ	付いて行く
いくつてる	付いて来る
いくてとふ	不特定
いくでもら	いくらでも
いくとめる	食い止める
いくどられ	どれくらい
いくにやり	やりにくい
いくひやん	医薬品
いくょりん	引力
いぐさなま	生臭い
いぐしねる	寝苦しい
いぐしみる	見苦しい
いぐすなれ	優れない［体調が〜・天候が〜］
いぐたみん	タイミング
いぐちはり	入（はい）り口
いぐつまみ	つまみ食い
いぐはらろ	腹黒い
いぐふらん	フライング
いぐやりん	イヤリング
いけけみん	未経験
いけさなな	情けない
いけしする	軽視する
いけしつど	湿度計
いけしひょ	諸経費
いけしむん	無神経
いけじする	掲示する
いけすつる	決意する
いけすびる	警備する
いけすゆる	経由する
いけするん	意見する
いけせてん	世間体（せけんてい）
いけせまん	いけません
いけそっな	素っ気ない
いけただる	頂ける
いけちづや	一夜漬け
いけちづる	位置付ける
いけっやん	一軒家
いけつづる	居続ける
いけなぬめ	抜け目ない
いけなはわ	訳はない
いけぽまん	万歩計
いげさつら	再来月
いげさなり	さりげない
いげせむん	無制限
いげななに	何気ない
いげなるれ	投げ入れる
いここちよ	心地よい
いここよろ	快い
いこざひん	在庫品
いこしすば	すばしこい
いこしのま	好ましい
いこしほら	誇らしい
いこしむょ	しょい込む
いこしやや	ややこしい
いこすてる	固定する
いこたっみ	込み入った
いこたばん	太鼓判
いこためん	明太子
いこっても	持って来い
いこつてび	尾てい骨
いこのもれ	小物入れ
いこはみら	払い込み
いこはむら	払い込む
いこはむり	入り込む
いごすのも	ものすごい
いごたはん	反対語
いごとなら	習い事
いごとらわ	笑い事
いさしふわ	ふさわしい
いさしるれ	差し入れる
いさじすま	すさまじい
いさすせる	精査する
いさすそだ	誘い出す
いさすねや	最安値
いさすひる	被災する
いさすへる	閉鎖する
いさするん	サインする
いさずにみ	ミニサイズ
いさせちん	生産地
いさたばみ	板挟み
いさだはむ	肌寒い
いさつまも	さつま芋
いさなまや	生野菜
いさねらん	再来年
いさねれん	年齢差
いざしまん	漫才師
いざすせる	正座する
いしじせん	自制心
いしじたる	類似した
いしすせる	制止する:静止する
いしすてる	停止する:指定する
いしすはる	廃止する:支配する
いしすばら	すばらしい:すばらしい［〜く広い庭］
いしすめる	指名する
いしずなり	いなりずし
いしずめら	珍しい
いしせたぬ	世帯主
いしせてん	停止線
いしせなわ	せわしない
いしせゅん	青春
いしぜたん	自然体
いしぞのま	望ましい
いしたちっ	一致した
いしたつゅ	退出
いしたのも	頼もしい
いしだなら	だらしない
いしだもん	問題視
いしつてゅ	提出
いしつのよ	質のよい
いしつゃわ	ワイシャツ
いしてなは	果てしない
いしとぬや	雇い主
いしどらん	信頼度
いしなまや	悩ましい
いしにゃる	イニシャル
いしばらる	ライバル視
いしゅらん	来春（らいしゅん）
いしよるれ	酔いしれる
いしろわん	白ワイン
いじすする	炊事する:自炊する
いじすせる	自制する
いじすたる	辞退する:退治する
いじすてる	提示する
いじすめる	明示する
いじするる	類似する
いじするん	印字する
いじせつふ	不誠実
いじそたれ	それ自体
いじちもん	一文字
いじつまむ	むつまじい
いじなにる	意地になる
いじまりる	入り交じる
いすすりる	推理する
いすずふる	付随する
いすせぜる	是正する
いすせはる	派生する
いすせびる	整備する
いすせほる	補正する
いすせらん	ライセンス
いすせりる	整理する
いすそるん	依存（いそん）する
いすぞるん	依存（いぞん）する
いすただと	問いただす
いすたばん	スタンバイ
いすたひる	対比する
いすたほる	逮捕する
いすたよる	貸与する
いすたるわ	対話する
いすだらわ	笑い出す
いすだりる	代理する
いすちっる	一致する
いすちはる	配置する
いすてはる	手配する
いすてひる	否定する
いすてよる	予定する
いすてるん	移転する:転移する
いすでりる	出入（でい）りする
いすでるん	遺伝する
いすとらる	トライする
いすにばる	二倍する
いすにるん	委任する
いすはびる	配備する
いすはふる	腐敗する:配付する:配布する
いすはるん	違反する
いすひへる	疲弊する
いすひるれ	比例する
いすやれわ	ワイヤレス
いすゆらる	由来する
いずたたま	たたずまい
いずへめん	平面図
いせたちも	世帯持ち
いせつふり	不成立
いせにねん	二年生
いせねみん	未成年
いたとなま	またとない
いたどみめ	痛み止め
いたなまら	たまらない
いたなより	頼りない
いたにはん	反対に
いたのめも	いため物
いたびりる	入り浸る
いたふむる	フルタイム
いたむりー	タイムリー
いだてりん	代理店
いだにりん	代理人
いだほるん	本塁打
いちとのり	命取り
いちにほん	日本一（にほんいち）
いってなな	なってない
いっととれ	トイレット
いつでまも	いつまでも
いつとひま	今一つ
いつとめる	問い詰める
いつなまら	つまらない
いつなまん	つまんない
いつにのま	いつの間に
いつにゆる	梅雨（つゆ）に入（い）る
いてにはる	手に入る
いてにるれ	手に入れる
いてべるれ	低レベル
いでなはひ	比ではない
いとどなに	二度とない
いとのひよ	人のよい
いとみめん	認め印
いとりるれ	取り入れる
いどねらん	来年度
いどみりろ	緑色（みどりいろ）
いななにも	何もない
いなにやる	嫌になる
いなぬまる	生ぬるい
いにはめる	目に入る
いにはゆる	湯に入る
いのひよん	品（ひん）のよい
いのももら	もらい物
いのよりわ	割（わり）のよい
いはばひろ	幅広い
いはぴれん	反比例
いはべるれ	ハイレベル
いぱふらん	フライパン
うううふぼ	暴風雨
ううおきゅ	応急
ううおしゅ	欧州
ううおしょ	王将
ううおちゅ	中央
ううきくこ	航空機
ううきこの	高機能
ううきこゅ	休校:急行:高級
ううきこょ	公共
ううきそゅ	早急（そうきゅう）
ううきそょ	競争:競走
ううきつょ	共通
ううきとゅ	投球:等級
ううきとょ	東京
ううきふょ	強風
ううきゅゆ	有給
ううきゅよ	休養:急用:要求
ううきゅろ	老朽
ううきゅん	運休
ううきゆょ	共有
ううきょよ	共用:教養
ううきょん	強運
ううくちゅ	空中
ううくちょ	空調
ううこごつ	好都合
ううこしゅ	公衆:口臭:講習
ううこしょ	交渉
ううこじと	登校時
ううこちょ	兆候・徴候:好調:校長
ううこつひ	交通費
ううことぶ	後頭部
ううこにゅ	購入
ううこひょ	公表:好評
ううこみょ	巧妙
ううこゅり	交流:流行
ううこょり	良好:香料
ううごひほ	非合法
ううしすょ	少数
ううしそゅ	総集
ううしそょ	尚早
ううしそれ	うれしそう
ううしつょ	通称
ううしとょ	消灯
ううしなみ	見失う
ううしのゅ	収納
ううしふゅ	風習
ううしほゅ	報酬
ううしもょ	消耗
ううしゅゆ	優秀
ううしゅろ	就労
ううしゆょ	優勝
ううしょよ	商用:幼少
ううすょり	数量
ううそちょ	早朝
ううそにゅ	挿入
ううそのよ	うそのよう［〜に晴れ上がる］
ううそょり	送料
ううちつょ	通帳
ううちとょ	登頂
ううちふょ	風潮
ううちほょ	重宝
ううつゅり	流通（りゅうつう）
ううとにゅ	投入:豆乳
ううとにょ	糖尿
ううとひょ	投票
ううにのゅ	納入
ううにふゅ	封入
ううほょり	両方:療法
ううゅより	流用
ううゆょり	優良:有料
ううょより	容量:用量:療養:要領
うえかさの	坂の上
うえかすち	打ち返す
うえがしら	裏返し
うえがすら	裏返す
うえがらる	裏返る
うえきしゅ	収益
うえきしょ	液晶
うえきびよ	美容液
うえきゅん	救援
うえきょん	共演
うえくのも	雲の上
うえけこた	受け答え
うえこしん	甲子園
うえしねょ	省エネ
うえしひょ	冷え性
うえしまろ	前後ろ
うえしょん	炎症
うえたっる	訴える:訴える［心情に〜］:訴える［苦痛を〜］
うえたるろ	うろたえる
うえだひり	左上
うえちょん	延長
うえにゅん	入園
うえひろん	披露宴
うおおじそ	大掃除
うおこふや	親不孝
うおさとん	お父さん
うおさぼん	お坊さん
うおすとる	嘔吐（おうと）する
うおすぼる	応募する
うおちゅん	御中（おんちゅう）
うおてもら	表裏（おもてうら）:裏表（うらおもて）
うおでとめ	おめでとう［〜ございます・〜ございました］
うおままも	思うまま
うおょりん	音量
うかきこて	効果的
うかきしょ	消化器
うかきすつ	書き写す
うかきょん	共感:環境
うかぎくと	格闘技
うかくごふ	不合格
うかくしゅ	収穫:隔週
うかくしょ	昇格:確証
うかくちょ	拡張:聴覚
うかけねも	金もうけ
うかこする	加工する:降下する
うかこせっ	背格好（せかっこう）
うかこちん	観光地
うかこひん	加工品
うかしそな	悲しそう
うかしむる	カルシウム
うかしゅん	習慣:観衆:週刊:週間
うかしょん	干渉:感傷:観賞:鑑賞
うかじすん	漢数字
うかじつよ	実用化
うかじてろ	辛うじて
うかすそで	そうですか
うかすそる	仮装する
うかすぞる	増加する
うかすちま	打ち負かす
うかすつる	通過する
