４文字集合	可能な４文字単語
いしなむ	空しい
いしなゃ	社内:車内
いしなょ	内緒
いしなん	内心
いしはゃ	廃車:敗者:歯医者
いしはら	支払い
いしはん	配信
いしぱん	心配
いしぶま	まぶしい
いしへゃ	弊社
いしまん	新米
いしむる	虫類
いしめゃ	社名
いしめょ	名所:書名:署名
いしめろ	白い目
いしめん	迷信
いしゃら	来社
いしゃれ	謝礼:謝礼［〜金］
いしゃん	社員
いしゅる	種類
いしゅん	飲酒
いしょる	書類
いしよろ	よろしい
いしらん	信頼
いしりり	りりしい
いしりん	新入り
いしるれ	仕入れる
いしるん	親類
いしれん	心霊
いじする	維持する
いじせつ	誠実
いじせん	人生:成人
いじたち	自治体
いじたん	人体:対人
いじちに	一時（いちじ）に
いじつへ	平日
いじつめ	実名
いじつれ	実例
いじなま	まじない
いじむん	事務員
いじめる	いじめる
いじめん	人名:人命:名人
いじるわ	意地悪
いじるん	人類
いじろろ	色白
いじんん	人員
いすすぱ	スパイス
いすせっ	節水
いすせる	制する
いすせん	推薦:水洗
いすたや	たやすい
いすたる	スタイル:対する
いすだみ	見いだす
いすちっ	スイッチ
いすちる	位置する
いすつぼ	水没
いすつや	費やす
いすてば	バス停
いすとら	イラスト
いすとる	吸い取る:意図する
いすとー	スイート
いすどら	スライド
いすどる	鋭い
いすなま	マイナス:済まない
いすのも	吸い物
いすはん	炊飯
いすばや	素早い
いすふん	噴水
いすぶん	水分
いすぷら	プライス
いすぺん	スペイン
いすまる	スマイル
いすまん	満水
いすみや	見やすい
いすみよ	住みよい
いすみる	意味する
いすみん	睡眠
いするわ	居座る
いずたら	いたずら
いずみろ	水色
いずもれ	いずれも
いせせっ	節制
いせせん	先制:先生:生鮮
いせぜん	前世（ぜんせい）:生前
いせたっ	接待:達成
いせたつ	大切
いせたん	対戦:生誕
いせだん	先代:男性
いせっつ	一説
いせって	設定
いせっは	発声:発生
いせっれ	劣勢
いせっん	一戦:一線
いせつな	切ない
いせつぶ	生物（せいぶつ）
いせつべ	性別
いせつみ	精密
いせつめ	説明
いせつり	成立
いせつれ	整列
いせてん	晴天:選定:青天
いせとん	整頓
いせなん	内線
いせねん	青年
いせはん	反省:敗戦:配線
いせぱん	先輩
いせひん	品性:製品
いせぶん	成分
いせべん	せんべい
いせまん	慢性
いせめん	鮮明
いせもん	正門
いせろん	正論
いぜたん	全体:全体［一体〜］
いぜつり	税率
いぜてん	前提
いぜへん	平然
いぜめん	免税
いぜれん	前例
いぜんん	全員
いぞふろ	不ぞろい
いたたん	単体
いただま	ただ今
いただん	団体:大胆:対談
いたちつ	ついたち
いたちり	立ち入り
いたちる	立ち入る
いたちん	賃貸
いたって	撤退:至って
いたっま	参った
いたっり	立体
いたっん	いったん:一端
いたつね	耐熱
いたつは	配達
いたつめ	冷たい
いたつり	対立
いたでめ	めでたい
いたとる	タイトル
いたなま	まな板
いたにん	忍耐
いたねむ	眠たい
いたはん	反対:大半
いたひら	平たい:平たい［〜く言えば］
いたへん	変態:大変:平坦
いたほん	本体
いたまん	怠慢
いたまー	タイマー
いためら	ためらい
いためる	いためる:いためる（痛・傷）:いた（傷）める:傷める:傷（いた）める:痛める
いためん	対面:明太（めんたい）
いたらー	ライター
いたるわ	いたわる
いたわん	台湾
いだちら	いら立ち
いだちん	一段
いだつつ	逸脱
いだつて	手伝い
いだつら	いら立つ
いだてん	断定
いだなん	難題
いだにま	いまだに
いだねん	年代
いだはろ	肌色
いだふみ	踏み台
いだほん	本題
いだもん	問題
いだやる	ダイヤル
いだれん	冷暖
いちちに	一日（いちにち）
いちっふ	不一致
いちつり	一律
いちつれ	一列
いちどに	一度に
いちどめ	知名度
いちにま	毎日
いちにめ	命日
いちねん	一年
いちばん	一番
いちまん	一万:万一
いちむゃ	チャイム
いちめょ	著名
いちめん	一面
いちもる	用いる
いちゃろ	茶色
いちらん	一覧
いちれん	一連
いってて	徹底
いってに	日程
いつつと	追突
いつては	ついては
いつてる	ついてる
いつでに	ついでに
いつでも	いつでも
いつなん	捺印
いつねへ	平熱
いつのま	いつの間（ま）
いつはば	発売
いつはめ	発明
いつはれ	配列・排列
いつばり	倍率
いつぶめ	名物
いつべめ	別名（べつめい）
いつやろ	色つや
いつゆり	梅雨入り
いつりわ	偽り
いつるわ	偽る
いづねよ	根強い
いづみら	見づらい
いてでん	停電
いてなん	店内
いてにん	認定
いてぬる	手ぬるい
いてねん	定年:定年・停年
いてはん	判定
いてばん	売店:定番:転売
いてびよ	予定日
