３文字集合	可能な３文字単語
いさぶ	細部
いさへ	閉鎖
いさむ	債務:寒い
いさや	野菜
いさん	サイン:遺産
いざし	資材
いざす	座椅子
いざそ	素材
いざふ	不在
いざむ	財務
いしせ	制止:姿勢:生死（せいし）:静止
いしだ	次第:私大
いしつ	異質
いして	停止:強いて:指定
いしな	市内
いしは	廃止:支配
いしば	芝居
いしぶ	渋い
いしへ	紙幣
いしほ	欲しい
いしま	姉妹（しまい）
いしめ	使命:名刺:名詞:指名:氏名
いしゃ	医者
いしや	いやし
いしゅ	首位
いしれ	仕入れ:指令
いしろ	白い
いしわ	いわし
いしん	印紙:死因
いじす	炊事:自炊
いじせ	政治
いじた	事態:自体:辞退:退治
いじち	一時（いちじ）
いじて	定時:提示
いじま	毎時
いじめ	いじめ:明治
いじる	いじる:類似
いじれ	事例:辞令
いじん	寺院
いすた	致す
いすな	ナイス
いすぱ	スパイ
いすま	います:住まい:睡魔:麻酔
いすや	いやす:やすい:安い
いすら	ライス
いすり	推理
いする	居留守
いずの	ノイズ
いずま	まずい
いずみ	泉（いずみ）
いずる	ずるい
いずれ	いずれ
いせぜ	是正
いせた	世帯
いせだ	世代
いせち	生地:知性:聖地
いせて	手製
いせと	生徒
いせど	制度:精度
いせに	二世
いせは	制覇:派生
いせび	整備:美声
いせふ	不正:政府
いせぶ	西部
いせほ	補正
いせま	狭い
いせや	野性
いせゆ	油性
いせよ	余生
いせら	来世
いせり	整理:理性
いせん	繊維
いぜふ	風情
いぜん	以前:依然:善意
いそっ	いっそ
いそつ	そいつ
いそへ	平素
いそほ	細い
いそろ	そろい
いそん	依存（いそん）
いぞん	依存（いぞん）
いただ	多大
いたち	地帯:遅滞
いたつ	タイツ
いたで	痛手
いたど	態度
いたひ	対比:退避:額（ひたい）
いたぶ	舞台
いたぷ	タイプ
いたほ	逮捕
いたみ	いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み
いたむ	いたむ（痛・傷・悼）:いたむ（痛・傷）:いた（傷）む:タイム:傷む:傷（いた）む:痛む
いたや	タイヤ:屋台
いたよ	貸与
いたら	平ら
いたる	タイル:至る
いたわ	対話
いたん	単位
いだち	大地
いだに	荷台
いだの	大の［〜大人（おとな）］:大の［〜苦手］
いだひ	肥大
いだま	いまだ
いだり	代理
いだる	だるい
いだわ	話題
いちっ	一致
いちど	一度
いちの	命（いのち）
いちは	配置
いちば	市場（いちば）
いちぶ	一部
いちへ	平地
いちめ	地名
いちや	一夜（いちや）
いちり	一理
いちん	インチ
いっと	一途
いつつ	五つ
いつで	ついで:次いで
いつど	ドイツ:集い
いつに	ついに
いつね	熱意
いつび	いびつ
いつぶ	異物
いつも	いつも
いつゆ	唯一（ゆいつ）
いつよ	強い:強い［酒が〜］
いつら	つらい
いてど	程度
いては	手配
いてひ	否定
いてみ	未定
いてよ	予定
いてる	…ている
いてれ	手入れ
いてん	移転:転移
いでり	出入（でい）り
いでん	遺伝
いとな	ナイト:都内
いとば	バイト
いとふ	太い:太い［声が〜］
いとや	雇い
いとら	トライ:ライト
いとり	鳥居
いとれ	トイレ
いどひ	ひどい
いどま	毎度
いどむ	挑む
いどら	ドライ
いどわ	ワイド
いどん	インド
いなふ	ナイフ
いなぶ	内部
いなん	難易
いにば	二倍
いにぶ	鈍い
いにま	今に
いにん	任意:委任
いぬめ	縫い目
いぬら	要らぬ
いぬる	ぬるい
いねむ	眠い
いねら	ねらい
いねる	寝入る
いのり	祈り
いのる	祈る
いのれ	例の［〜店］
いのろ	のろい
いはふ	配布
いはや	はやい（早・速）:早い:速い:速い［スピードが〜］
いはら	払い
いはる	入（はい）る
いはわ	ハワイ
いはん	範囲:違反
いばや	やばい
いばる	威張る
いばわ	言わば
いひれ	比例
いひろ	広い:拾い
いふへ	不平
いふめ	不明
いふら	フライ:ライフ
いふる	ふるい:古い
いぶら	ライブ
いぶる	部類
いぶれ	無礼
いぶん	部員
いへや	平野
いへわ	平和
いへん	変異:異変
いほん	本意
いぼめ	名簿
いまみ	見舞い
いまめ	めまい
いまや	今や:病（やまい）
いまよ	毎夜:迷い
いまり	参り
いまる	まるい（丸・円）:マイル:丸い:参る
いみむ	無意味
いみや	嫌み
いみら	未来
いみる	見入る
いめよ	余命:名誉
いもろ	もろい
いやー	イヤー
いゆら	由来
いゆる	緩い
いよわ	弱い
いよん	余韻
いらわ	笑い
いらん	ライン:ライン［合格〜］
いるれ	入れる:入れる［数に〜］:入れる［茶を〜］
いるわ	悪い
いろん	異論
いわん	ワイン
ううご	豪雨
ううた	歌う
ううば	奪う
ううふ	風雨
ううぼ	暴雨
うえき	植木（うえき）
うえま	真上
うえめ	目上
うえる	植える:飢える
うおお	覆う
うおき	気負う
うおせ	背負う
うおそ	襲う
うおと	嘔吐（おうと）
うおに	におう
うおぼ	応募
うおも	思う
うおろ	往路
うかく	架空
うかこ	下降:加工:効果:囲う:硬貨:高価
うかご	豪華
うかす	浮かす
うかそ	そうか:仮想:仮装
うかぞ	増加
うかち	誓う
うかつ	うかつ:つかう（使・遣）:使う:通貨:通過:遣う
うかど	どうか:可動:稼働:稼働・稼動:稼動
うかな	かなう:かなう［条件に〜］:かなう［願いが〜］
うかの	可能:農家
うかば	かばう
うかふ	風化
うかぶ	浮かぶ
うかぼ	防火
うかま	構う:構う［構わないでください］
うかむ	向かう
うかよ	八日（ようか）:火曜:通う
うかる	受かる
うかろ	廊下:老化:過労
うがち	違う
うがね	願う
うがほ	邦画
うがゆ	優雅
うがよ	洋画
うきく	空気
うきこ	好機:後期:気候
うきご	動き:記号
うきす	奇数
うきそ	早期:競う
うきぞ	寄贈
うきつ	通気
うきと	冬期:陶器
うきど	動機:同期:機動:起動
うきの	昨日（きのう）:機能:納期
うきほ	ほうき:放棄
うきぼ	希望
うきゅ	九（きゅう）:急:旧（きゅう）:球（きゅう）:級
うきゆ	勇気
うきょ	今日（きょう）:凶:強
うきよ	器用:容器:起用:陽気
うきら	嫌う
うきわ	浮気
うぎこ	抗議
うぎさ	うさぎ
うぎす	薄着
うぎそ	葬儀
うぎな	うなぎ
うぎの	技能
うぎよ	容疑
うぎわ	上着
うくご	動く
うくす	すくう:救う
うくつ	苦痛
うくの	苦悩
うくふ	工夫
うくめ	うめく
うくる	狂う
うくろ	苦労
うぐこ	工具
うぐそ	装具
うぐぬ	ぬぐう
うぐよ	用具
うけみ	受け身
うけも	もうけ
うける	受ける:受ける［あとを〜］:受ける［大衆に〜］:請ける
うげと	峠
うこご	交互
うこさ	交差
うこざ	口座:講座
うこし	公私:志向:思考:格子:試行:講師
うこじ	事項:工事:時効
うこす	個数
うこず	構図
うこせ	施工（せこう）
うこそ	倉庫
うこだ	蛇行
うこど	鼓動
うこひ	飛行
うこび	交尾:備考
うこふ	不幸:古風:工夫
うこぶ	後部
うこほ	候補:歩行
うこぼ	公募:母校
うこむ	向こう:無効
うこゆ	固有
うこよ	雇用
うこり	小売り
うごそ	相互
うごつ	都合
うごひ	合否
うごほ	誤報
うごよ	用語:養護
うごり	合理
うごろ	老後
うさそ	捜査:操作:誘う
うさと	佐藤:砂糖
うさど	作動:動作
うさふ	封鎖
うさほ	作法
うさま	うまさ
うさゆ	左右
うさよ	作用
うさわ	うわさ
うしす	指数
うした	慕う
うしち	仕打ち
うしつ	写し
うしと	投資
うしど	同士:始動:指導:私道
うしぼ	帽子:志望:死亡:脂肪:防止
うしま	しまう
うしゅ	周:週:集（しゅう）
うしゆ	有志:融資
うしょ	商:小（しょう）:少（しょう）:症:証:賞
うしよ	仕様:使用:容姿:用紙:私用
うしろ	後ろ
うじす	数字
うじそ	掃除
うじと	当時
うじほ	時報
うじゆ	自由
うじよ	ようじ:幼児（ようじ）:用事
うすた	多数
うすち	数値
うすつ	写す:映す:移す
うすて	手数（てすう）:手薄
うすで	薄手
うすど	度数
うすは	ハウス:端数
うすま	マウス
うすむ	無数
うすめ	薄め
うすも	申す:相撲
うすよ	様子
うずつ	頭痛
うずの	頭脳
うせつ	右折
うせど	どうせ
うそち	地層:装置
うそと	塗装
うそば	相場
うそび	装備
うそふ	送付
うそむ	総務
うそゆ	輸送
うそよ	よそう:予想:要素
うそり	理想
うそろ	そろう
うぞね	寝相
うぞひ	秘蔵
うぞり	草履
うたほ	他方
うたぼ	多忙
うたよ	多様:多用
うたろ	太郎
うたん	タウン
うだと	妥当
うだん	ダウン
うちつ	通知
うちね	値打ち
うちの	知能:農地
うちほ	地方（ちほう）:放置
うちみ	身内（みうち）
うちゅ	中（ちゅう）:注
うちょ	兆:庁:町（ちょう）:腸:長（ちょう）
うちわ	うちわ:内輪（うちわ）
うちん	うんち
うつて	打つ手
うつど	集う
うつふ	不通:普通
うつり	映り
うつる	写る:映る:移る:移る［においが〜］
うつろ	通路
うつわ	器（うつわ）:通話
うてり	売り手
うてわ	上手（うわて）
うてん	雨天
うとど	糖度
うとひ	逃避
うとふ	不当:豆腐
うとぶ	東部:頭部
うとほ	途方
うとむ	無糖
うとや	雇う
うとゆ	灯油
うとよ	与党:投与:用途
うとり	離島
うどの	濃度
うどふ	風土
うどほ	歩道
うどま	惑う
うども	どうも
うどよ	土曜
うどり	道理
うどろ	道路
うどわ	童話
うどん	うどん
うなに	担う［運命を〜］
うなる	うなる
うにゅ	乳（にゅう）
うにょ	尿
うねぼ	寝坊
うねら	ねらう
うねり	うねり
うねる	うねる
うのふ	不能:納付
うのみ	うのみ:未納
うのり	脳裏
うはら	払う
うばり	売り場
うひほ	悲報
うひゆ	夕日
うひょ	票:表（ひょう）
うひよ	費用
うひろ	披露:拾う:浪費:疲労
うびほ	褒美
うびよ	曜日:美容
うふふ	夫婦
うふほ	抱負:豊富
うふみ	風味
うふも	不毛:毛布
うふゆ	富裕
うふよ	不用:不要:扶養
うふわ	和風
うふん	不運
うべみ	海辺（うみべ）
うべゆ	夕べ
うべわ	上辺（うわべ）
うほま	魔法
うほも	模倣
うほゆ	保有
うほよ	予報:保養
うぼむ	無謀
うぼよ	予防
うぼる	ボウル
うまみ	うまみ:見舞う
うまよ	迷う
うまる	埋まる
うまれ	生まれ
うみょ	妙［〜だ］
うみよ	見よう
うみら	恨み
うむよ	無用
うめら	裏目
うめる	埋める
うもよ	模様
うもら	もらう
うゆよ	余裕
うゆり	有利:理由
うゆん	運輸
うょり	両:料:良:量
うより	利用
うらわ	笑う
うるれ	売れる
うるー	ウール
えおが	笑顔（えがお）
えおさ	押さえ
えおし	教え
えおぼ	覚え
えおま	お前
えおる	終える
えかさ	栄（さか）え
えかし	返し
えかす	かえす:かえす（帰・返）:帰す:返す
えかひ	控え
えかま	構え
えかむ	迎え
えかり	帰り:返り
えかる	かえる:かえる（代・換・替・変）:かえる（代・替）:かえる（帰・返）:代える:変える:帰る:替える:返る
えがき	着替え
えがく	描く
えがら	絵柄
えきこ	聞こえ
えきす	エキス
えきだ	唾液
えきの	えのき
えきま	気前
えきむ	無益
えきり	利益
えきる	消える
えきん	延期
えぎん	演技:縁起
えくつ	机
えくゆ	行方（ゆくえ）
えくら	えらく
えぐの	絵の具
えこご	小声
えこた	答え:肥えた
えこる	肥える:超える:越える
えこー	エコー
えごん	援護
えささ	支え
えさた	さえた
えさる	さえる:さえる［頭が〜］
えしん	支援
えじま	自前
えじも	絵文字
えじん	園児
えすー	エース
えずた	絶えず
えそな	供え:備え
えそる	添える
えたつ	伝え
えたと	たとえ
えたひ	冷えた
えたふ	二重（ふたえ）
えたる	たえる（耐・堪）:堪える:絶える:耐える
えちっ	エッチ
えちん	遅延
えてま	手前（てまえ）
えでま	出前
えとり	取り柄
えどん	エンド
えなま	名前
えにゆ	故（ゆえ）に
えにる	煮える
えぬり	塗り絵
えのも	獲物
えはる	映える:生える［草木が〜・毛が〜・角が〜・歯が〜］
えばま	前歯
えばみ	見栄え
えひる	冷える
えびん	鼻炎
えふる	ふえる（増・殖）:増える:震え
えぶら	選ぶ
えほる	ほえる
えほん	絵本
えみる	見える
えむん	無縁
えもる	燃える
えゆん	ゆえん［所以］
えらー	エラー
えるー	エール
おおく	多く
おおて	大手（おおて）
おおめ	多め:大目
おかか	カカオ
おかく	家屋
おかげ	お陰
おかし	お菓子
おかす	おかす（犯・侵）:カオス
おかず	おかず
おかつ	かつお
おかと	十日（とおか）
おかな	おなか
おかね	お金
おかり	かおり（香・薫）:香り
おかる	かおる（香・薫）:香る
おかろ	おろか［…は〜］
おかん	悪寒
おがす	素顔
おがね	寝顔
おがま	真顔
おがむ	拝む
おきく	記憶
おきて	おきて
おきね	寝起き
おきば	置き場
おきる	起きる
おきん	気温
おぎよ	泳ぎ
おぎん	恩義
おくた	お宅
おくち	奥地
おくて	…ておく
おくと	遠く
おくに	お国
おくば	奥歯
おくら	お蔵
おくり	送り
おくる	贈る:送る:送る［月日を〜］
おくれ	おくれ:後れ:遅れ
おぐよ	泳ぐ
おけし	塩気
おけま	おまけ
おけん	嫌悪
おこす	おこす:おこす（起・興）:起こす
おこで	おでこ
おこと	男（おとこ）
おこや	親子
おこり	氷
おこる	おこる（起・興）:凍る:怒（おこ）る:起こる
おごり	おごり
おごる	おごる
おさつ	お札
おさと	遠さ
おさめ	おさめ（収・納）:収め:納め
おさも	重さ
おして	押して
おしと	通し
おしど	脅し
おしな	直し
おしむ	惜しむ
おしろ	下ろし
おしん	恩師
おじせ	お世辞
おじな	同じ:同じ［〜…するなら］
おじや	おやじ
おじら	ラジオ
おすた	倒す
おすと	落とす:落とす［化粧を〜］:落とす［汚れを〜］:通す
おすな	なおす（直・治）:治す:直す:素直
おする	お留守
おすろ	おろす（下・降）:下ろす:下ろす［三枚に〜］:降ろす
おせん	汚染
おそよ	およそ
おそれ	恐れ
おたる	タオル
おだふ	お札（おふだ）
おちど	落ち度
おちば	落ち葉
おちめ	落ち目
おちゃ	お茶
おちる	落ちる:落ちる［色が〜］
おちん	音痴:音痴［機械〜・方向〜］
おって	追って
おっと	夫（おっと）
おつは	お初
おつや	おやつ
おつゆ	おつゆ
おつり	お釣り
おても	表（おもて）
おでと	遠出
おでん	おでん
おとな	大人（おとな）
おとり	おとり:トリオ:通り:通り［〜がよい・〜が悪い］
おとる	劣る:通る:通る［声が〜］
おどり	踊り
おどる	踊る
おどん	温度:音頭
おなは	お花
おなも	主な
おなら	おなら
おなる	なおる（直・治）:治る:直る
おなん	女（おんな）
おにも	主に:重荷
おねん	ネオン
おのほ	炎（ほのお）
おのれ	己（おのれ）
おはる	羽織る
おひる	お昼
おびよ	及び
おびる	帯びる［哀愁を〜］
おふろ	おふろ
おぶよ	及ぶ
おほん	保温
おぼん	お盆
おみも	重み
おめり	折り目
おやや	八百屋
おらー	オーラ
おりる	おりる（下・降）:下りる:降りる
おりわ	終わり
おるれ	折れる
おるわ	終わる
おるー	オール
おわん	おわん
かかく	価格
かかす	欠かす
かかと	かかと
かかぶ	株価
かかり	係り:係（かかり）
かかる	かかる:かかる［病気に〜］:掛かる:掛かる［五時間〜・数年〜］:掛かる［費用が〜］
かがく	化学（かがく）:科学
かがみ	鏡（かがみ）
かがむ	かがむ
かがん	眼科
かきく	企画:規格
かきげ	激化:過激
かきす	効かす:聞かす
かきっ	活気
かきて	書き手
かきみ	上期（かみき）
かきょ	許可
かきわ	乾き:渇き
かきん	寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨
かぎく	閣議
かぎせ	稼ぎ
かぎり	限り
かぎる	限る
かくく	区画
かくこ	過酷
かくご	互角:覚悟
かくさ	格差
かくし	四角:死角:視覚:資格
かくじ	各自:自覚
かくす	隠す
かくそ	加速
かくぞ	家族
かくち	各地:知覚:近く
かくど	角度
かくは	破格
かくひ	比較
かくふ	不覚［〜にも］
かくぶ	各部
かくほ	確保
かくみ	味覚
かくも	科目:課目
かくり	隔離
かくわ	乾く:渇く
かくん	区間
かぐせ	稼ぐ
かぐな	金具
かけし	仕掛け
かけた	欠けた
かけっ	結果
かけで	出掛（か）け［〜際］
かけみ	見掛け
かけら	かけら
かける	か（賭）ける:掛ける:掛ける［手間暇〜］:欠ける:賭（か）ける
かけん	けんか
かげひ	日陰
かげん	下限:加減:原価
かこっ	国家:括弧:確固
かこど	どこか
かこま	細か
かこみ	囲み
かこむ	囲む
かごほ	過保護
かごん	互換:看護:過言（かごん）
かささ	逆さ
かさた	固さ:硬さ:高さ
かさだ	定か
かさっ	作家
かさな	さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:魚（さかな）
かさね	重ね
かさば	酒場
かさふ	深さ
かさま	まさか
かさむ	かさむ
かさや	酒屋
かさゆ	かゆさ
かさん	加算:参加:盛ん:監査:酸化
かざす	かざす
かざり	飾り
かざる	飾る
かしし	しかし
かしす	透かし
かしず	静か
かした	仕方:確か
かしつ	加湿:過失
かしと	都市化
かしむ	昔
かしも	しかも:もしか
かしや	貸家
かしゅ	歌手
かしょ	初夏（しょか）:箇所
かしら	からし:頭（かしら）
かしる	しかる
かしれ	彼氏
かしん	干支:監視:進化:過信
かじつ	果実:活字
かじに	直（じか）に
かじの	カジノ
かじる	かじる
かじん	幹事:感じ:時間:漢字
かすす	すかす［腹を〜］
かすせ	せかす
かすと	溶かす
かすど	どかす
かすぬ	抜かす
かすね	寝かす
かすぼ	ぼかす
かすま	任す:負かす
かすみ	住みか
かすむ	かすむ
かすら	枯らす
かすわ	沸かす
かずて	手数（てかず）
かずわ	わずか
かずん	図鑑
かせつ	仮設:仮説
かせな	背中
かせは	博士（はかせ）
かせわ	為替
かせん	河川
かそひ	ひそか
かそん	簡素
かたち	形（かたち）
かたな	かなた:田中
かたね	高値
かたみ	味方:味方・身方:見方:高み
かため	固め:高め
かたゆ	浴衣（ゆかた）:豊か
かたら	宝
かたり	語り
かたる	語る
かたれ	枯れた
かたん	加担:単価
かだな	カナダ
かだは	裸
かだめ	めだか
かだら	だから:体（からだ）
かだれ	だれか
かちば	近場
かちめ	勝ち目
かちら	力（ちから）
かちん	完治
かぢま	間近
かぢみ	身近
かって	勝手
かっと	かっと:カット:特価:特化
かっに	日課
かっま	真っ赤
かっみ	三日（みっか）
かっよ	四日（よっか）
かっら	落下
かっれ	劣化
かつて	かつて
かつね	加熱
かつは	二十日（はつか）
かつふ	二日（ふつか）
かつぶ	部活
かつみ	つかみ:過密
かつむ	つかむ
かつも	貨物
かつる	つかる（漬・浸）:つ（浸）かる:浸（つ）かる
かつれ	疲れ
かてね	かねて
かてわ	若手
かてん	天下:添加:点火:転嫁
かでん	家電:電化
かどの	のどか
かどれ	どれか
かどん	感度
かなに	何（なに）か
かなの	七日（なのか）
かなば	半ば
かなび	中日（なかび）
かなふ	不仲
かなま	仲間
かなみ	中身:中身・中味
かなよ	夜中（よなか）
かなり	かなり
かなん	何（なん）か
かにほ	外に
かにり	仮に
かにわ	にわか
かにん	認可
かねる	兼ねる
かねん	可燃
かはり	はかり（計・量・測）:測り:計り
かはる	はかる（図・謀・計）:はかる（計・量・測）:はかる（計・量）:測る:計る:量る
かはれ	枯れ葉
かばり	ばかり［…と言わん〜］:ばかり［した〜］
かばん	かばん
かぱん	寒波
かひふ	皮膚科
かひり	光（ひかり）
かひる	光る
かひん	悲観
かびん	完備:過敏
かふみ	深み
かふめ	深め
かふん	噴火:花粉
かぶる	かぶる
かぶれ	かぶれ
かぶん	幹部:文化
かぷん	還付
かへん	変化
かべわ	川辺
かほん	保管
かみゆ	かゆみ
かみら	辛み
かみん	みかん:仮眠:未完:民家
かむら	絡む
かめも	かもめ
かめら	カメラ
かめわ	わかめ
かめん	仮面
かやん	やかん:夜間
かゆり	ゆかり
かよん	予感:関与:関与・干与
かられ	彼ら
からわ	河原
からー	カラー
かりる	借りる
かりわ	かわり（代・替）:代わり:分かり:変わり:替わり
かりん	管理
かるれ	枯れる
かるわ	かわる（代・換・替・変）:かわる（代・替）:代わる:分かる:変わる:替わる
かれわ	分かれ:別れ
