２文字集合	可能な２文字単語
かぐ	かぐ:家具
かけ	か（賭）け:欠け:賭（か）け
かげ	外科:影:陰（かげ）
かこ	過去
かご	かご
かさ	かさ:傘:坂
かし	しか:歌詞:歯科:菓子:貸し
かじ	家事:時価:直（じか）
かす	貸す:貸す［手を〜］
かず	数（かず）
かぜ	風邪（かぜ）:風（かぜ）
かそ	過疎
かた	型（かた）:形（かた）:方（かた）:肩
かち	価値:勝ち:地下
かつ	カツ:且つ:勝つ:活
かて	糧
かど	角（かど）:過度
かな	中（なか）:仮名:仲
かに	かに
かね	かね:金（かね）
かば	ばか
かひ	可否
かび	かび
かふ	不可:付加:負荷
かぶ	かぶ:株:部下
かべ	壁（かべ）
かほ	外（ほか）
かみ	上（かみ）:神（かみ）:紙（かみ）:髪
かむ	かむ［鼻を〜］
かめ	かめ
かも	かも:かも［〜になる］
かゆ	床（ゆか）
かよ	余暇
から	殻（から）:殻［〜を破る・〜に閉じこもる］:空（から）
かり	仮:借り:狩り
かる	刈る
かれ	彼（かれ）
かわ	かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革
かん	勘（かん）:完:寒:感:缶:観:館（かん）
かー	カー
がき	飢餓
がく	学:額（がく）
がけ	けが
がす	ガス
がそ	画素
がむ	ガム
がめ	メガ
がら	柄（がら）
がわ	側（がわ）
がん	ガン:癌:眼（がん）
きき	危機:器機:機器:機器・器機:聞き
きく	きく（利・効）:きく（聞・聴）:利く:効く:聞く:聴く:菊
きぐ	危惧:器具
きさ	先（さき）:左記
きし	四季:岸:式
きじ	時期:次期:生地:記事
きす	キス:好き:隙（すき）
きず	傷（きず）
きせ	せき:席
きそ	基礎
きた	北（きた）:滝
きち	吉:基地
きつ	付き:月（つき）
きて	敵（てき）:滴（てき）
きで	出来（でき）
きと	とき:時（とき）
きな	泣き
きぬ	抜き:絹
きは	破棄
きひ	匹（ひき）:引き
きび	匹（びき）
きぴ	匹（ぴき）
きふ	寄付:寄付・寄附
きぶ	武器
きべ	べき
きぼ	規模
きま	巻き:巻（まき）:薪（まき）
きみ	君（きみ）:黄身
きむ	むき［〜になる］:向き:無期
きめ	決め
きも	肝（きも）
きや	焼き
きゆ	ゆき:行（ゆ）き:雪（ゆき）
きよ	予期
きり	切り:切り［〜がない］:切り［〜をつける］:力（りき）:霧
きる	切る:着る
きれ	切れ
きろ	キロ:帰路
きわ	わき:ワキ:際（きわ）
きん	禁:菌:金（きん）
きー	キー
ぎく	くぎ
ぎさ	詐欺
ぎす	杉
ぎつ	次（つぎ）
ぎね	ねぎ
ぎふ	義父
ぎみ	右（みぎ）
ぎむ	義務:麦
ぎも	模擬
ぎり	義理
ぎん	銀（ぎん）
くこ	国（こく）:酷
くご	ごく
くさ	さく（割・裂）:割く:咲く:柵:策:草（くさ）:裂く
くし	くし:くし（串）:串（くし）:敷く:駆使
くじ	くじ:軸
くす	すく［腹が〜］:好く:空（す）く
くず	くず:くず（屑）:屑（くず）
くせ	癖（くせ）
くそ	くそ:即
くぞ	族（ぞく）
くた	炊く
くち	口:地区
くつ	付く:着く:突く:靴
くと	得（とく）:徳:解く
くど	毒
くな	泣く:鳴く
くに	国（くに）:肉
くぬ	抜く:抜く［指輪を〜］
くは	は（穿）く［ズボンを〜］:吐く:履く［くつを〜］:穿（は）く［ズボンを〜］
くひ	ひ（退）く:引く:引く［図面を〜］:引く［辞書を〜］:弾く
くび	首
くふ	ふく:副:吹く:服:福:複
くほ	北（ほく）
くぼ	僕（ぼく）
くま	ま（撒）く［水を〜］:ま（蒔）く:巻く:幕:撒（ま）く:撒（ま）く［水を〜］:膜
くみ	組:組み
くむ	む（剥）く:剥（む）く:向く:汲（く）む:組む
くも	くも:木（もく）:雲（くも）
くや	やく［焼きもちを〜］:役（やく）:焼く:約:訳
くゆ	行（ゆ）く:行（ゆ）く［その線で〜］:逝く
くよ	よく:欲:翌
くら	くら（倉・蔵）:楽（らく）
くり	くり:陸（りく）
くる	来（く）る
くれ	暮れ
くろ	くろ:六（ろく）:黒（くろ）
くわ	わく:枠:沸く
ぐす	すぐ
ぐた	タグ
ぐち	愚痴
ぐつ	つ（注）ぐ:次ぐ:継ぐ:継ぐ［跡目を〜・家督を〜］
ぐぬ	脱ぐ
ぐん	郡（ぐん）
けさ	けさ:さけ:今朝（けさ）:酒（さけ）
けす	消す
けた	丈（たけ）
けち	けち
けつ	付け:欠:決
けど	けど
けぬ	抜け
けぼ	ぼけ
けま	負け
けむ	向け
けや	やけ［〜になる］
けり	けり:けり［〜を付ける］
ける	ける
けわ	分け:訳（わけ）
けん	件:券:圏:権:県
げこ	焦げ
げさ	下げ
げつ	月（げつ）
げな	投げ
げに	逃げ
げは	はげ
げひ	ひげ
げま	曲げ
げゆ	湯気
げり	下痢
げん	減
ここ	ここ:ここ［〜１，２か月］
こさ	濃さ
こざ	雑魚（ざこ）
こし	古紙:古紙・故紙:腰
こじ	事故:自己
こす	超す:越す
こそ	そこ:底
こた	たこ
こつ	こつ［覚える〜］
こと	事（こと）:床（とこ）
こど	どこ
こな	粉（こな）
こね	コネ［コネクション］:猫
この	この
こは	箱:箱（はこ）
こび	こび
こぶ	昆布（こぶ）
こま	駒（こま）
こみ	込み［消費税〜］
こむ	婿:込む［手が〜］:込む［電車が〜］
こめ	米（こめ）
こや	小屋
こよ	横
こり	凝り
こる	凝る［肩が〜］
これ	これ
こん	紺
ごさ	誤差
ごし	死後:私語
ごて	後手
ごほ	保護
ごま	ごま:孫
ごみ	ごみ
ごむ	ゴム
ごろ	ごろ:ロゴ
さじ	さじ:時差
さす	差す:差す［目薬を〜］:指す:挿す
さぞ	さぞ
さち	幸（さち）
さつ	冊:札（さつ）
さて	さて
さと	里（さと）
さば	さば
さび	さび
さぶ	サブ
さほ	補佐
さま	様（さま）
さら	皿（さら）
さる	さる:去る
さん	三:三・参（さん）:三（さん）:産
ざつ	雑
ざひ	ひざ
ざら	ざら
ざる	ざる
ざわ	技（わざ）
ざん	残
しじ	四時:指示:支持:私事（しじ）
しす	すし
した	下（した）:舌:足し
しだ	だし
しち	七（しち）
しつ	室（しつ）:質
しと	とし（年・歳）:年（とし）:歳（とし）:都市
しな	なし:品（しな）
しに	死に［生き〜］:西（にし）
しぬ	主（ぬし）:死ぬ
しは	はし:橋:端（はし）
しば	芝
しほ	干し:星（ほし）
しま	まし［ないより〜］:増し:島（しま）
しみ	しみ
しむ	無視:蒸し:虫（むし）
しめ	締め:締め［〆］:飯（めし）
しも	もし:霜
しゃ	社（しゃ）
しや	視野
しゅ	種（しゅ）:酒（しゅ）
しょ	暑:書（しょ）:署
しよ	よし
しり	しり:利子
しる	汁:知る
しろ	白（しろ）
しわ	しわ:わし:和紙
しん	心（しん）:真（しん）:芯
じす	筋（すじ）
じた	自他
じち	知事:自治
じつ	実（じつ）:日（じつ）
じに	二次:虹
じね	ねじ
じは	恥
じひ	ひじ:自費
じふ	自負
じみ	地味
じむ	ジム:事務:無地
じも	文字（もじ）
じれ	レジ:レジ［〜係］
じろ	路地
すそ	すそ
すた	足す
すだ	出す:出す［本を〜］:出す［船を〜］
すで	素手
すな	なす:成す:砂（すな）
すば	バス
すぱ	パス
すべ	すべ
すほ	干す
すぼ	ボス
すま	ます:増す
すみ	ミス:済み:炭:隅
すむ	住む:済む:蒸す
すめ	メス
する	する:する［〜ことに］:する［こわい顔を〜・青い目を〜］:する［ベルトを〜・おむつを〜］:する［五年〜・しばらく〜］:する［係を〜］:する［声が〜］:する［百円〜］:擦る:留守
すろ	ロス
ずち	地図
ずは	はず
ずま	まず
ずみ	みず:水（みず）
ずゆ	ゆず
ずる	ずる
ずれ	ずれ
せつ	切:説
せに	偽（にせ）
せみ	せみ:店（みせ）
せめ	攻め:責め
せや	やせ
せる	セル
せわ	世話
せん	千:戦:栓:線
ぜな	なぜ
ぜひ	是非
ぜろ	ゼロ
ぜん	前（ぜん）
そつ	卒
そで	そで
そと	外（そと）
その	その
そば	そば
そふ	祖父
そへ	へそ
そぼ	祖母
そみ	みそ
そよ	よそ
そら	そら:空（そら）
そり	反り
そる	反る
それ	それ
そろ	ソロ
そん	損:村（そん）
ぞな	なぞ
ぞみ	溝
ただ	ただ:ただ［〜の人］
たつ	たつ（断・絶）:た（経）つ:建つ:断つ:立つ:立つ［旅に〜］:経（た）つ:絶つ
たて	立て:縦
たな	棚
たに	谷
たね	ねた:種（たね）
たは	畑（はた）
たば	束（たば）
たび	度（たび）:旅
たふ	ふた:ふた（蓋）:タフ:蓋（ふた）
たぶ	豚（ぶた）
たへ	下手（へた）
たま	たま:また:玉（たま）
ため	ため
たら	たら
たる	足る
たわ	綿（わた）
たん	単
だは	肌（はだ）
だま	まだ
だむ	無駄
だめ	駄目
だれ	だれ
だん	暖:段
ちち	父
ちつ	土（つち）
ちと	土地
ちに	日（にち）
ちの	後（のち）
ちは	八（はち）
ちふ	淵（ふち）:縁（ふち）
ちま	待ち:町（まち）:街（まち）
ちみ	地味:未知:道（みち）
ちむ	無知
ちも	もち:持ち［〜がよい］:持ち［土地〜・自分〜］
ちゃ	茶
ちゆ	治癒
ちょ	著
ちよ	予知:余地
ちり	地理
ちる	散る
つつ	筒
つて	つて:鉄
つど	都度
つな	ツナ:夏（なつ）
つね	常:熱
つは	初（はつ）:発:発（はつ）
つば	ばつ［×］:罰（ばつ）
つぶ	物（ぶつ）:粒（つぶ）
つべ	別
つぼ	つぼ
つま	妻（つま）:待つ:末（まつ）
つみ	みつ:みつ（蜜）:密:罪（つみ）:罪（つみ）［〜な人だ］:蜜（みつ）
つむ	六つ:摘む:積む
つめ	つめ:詰め
つも	持つ
つや	つや:やつ:八つ
つゆ	梅雨（つゆ）:露（つゆ）
つり	率:釣り
つる	つる［ランプを〜］:つる［足が〜］:釣る:釣る［言葉で〜］
つれ	列:連れ
てま	手間
てら	寺（てら）
てる	照る
てれ	照れ
てん	天（てん）:点
では	では
でふ	筆（ふで）
でま	デマ
でも	でも
でる	出る
とは	はと
とひ	ひと:人（ひと）
とび	跳び
とふ	ふと
とぶ	飛ぶ
とほ	徒歩
とま	的（まと）
とみ	富
とめ	止め
とも	もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと）
とら	寅（とら）
とり	取り:鳥（とり）
とる	とる（取・捕・採）:取る:取る［帽子を〜］:取る［悪く〜・良く〜］:取る［新聞を〜・そばを〜］:採る:撮る
どの	どの:どの［〜…も］:のど
どほ	程（ほど）
どま	窓
どめ	めど
どや	宿（やど）
どる	ドル
どれ	どれ
どろ	泥
なに	なに:何（なに）
なは	花（はな）:鼻
なべ	なべ
なま	生（なま）:生（なま）［〜の声］
なみ	並（なみ）:波:皆
なら	なら
なる	なる:なる［…に〜・…ことに〜］:なる［…に〜］:成る:鳴る
なれ	なれ:慣れ
なわ	わな
なん	何（なん）:難
にら	にら
にる	似る:煮る
にわ	庭（にわ）
にん	人（にん）
ぬの	布
ぬま	沼
ぬり	塗り
ぬる	塗る
ねは	羽・羽根（はね）:羽（はね）
ねば	ばね
ねふ	ふね（船・舟）:舟（ふね）:船（ふね）
ねほ	骨（ほね）
ねま	まね:マネ
ねむ	旨（むね）:胸
ねや	屋根
ねる	寝る:練る
ねん	年（ねん）
のび	のび（伸・延）:伸び
のべ	延べ
のみ	のみ:飲み
のむ	のむ［要求を〜］:飲む
のも	物（もの）:者（もの）
のり	のり:乗り
のる	乗る:乗る［手に〜・口に〜・口車に〜・おだてに〜］:載る
のー	ノー
はは	はは:母
はば	幅
はま	浜
はむ	ハム
はめ	羽目
はや	早（はや）
はら	腹
はり	張り:針（はり）
はる	張る:張る［腹が〜］:春
はれ	はれ［〜が引く］:晴れ
はん	半:班
ばら	ばら
ばん	晩:番
ぱん	パン
ひび	ひび:日日（ひび）
ひふ	皮膚
ひま	暇（ひま）:麻痺
ひも	ひも
ひる	ひる:昼
ひれ	ひれ
ひん	品（ひん）
びふ	不備
びへ	へび
びみ	美味
びゆ	指
びよ	予備
びる	ビル
びん	便（びん）:瓶（びん）
ぴん	ピン
ふぼ	父母（ふぼ）
ふみ	ふみ（文・書）
ふむ	踏む
ふゆ	冬
ふよ	付与
ふら	ラフ
ふり	不利:振り:降り
ふる	フル:振る:振る［ふりがなを〜］:降る
ふれ	触れ
ふろ	ふろ
ふん	分（ふん）
ぶよ	呼ぶ:呼ぶ［助けを〜］:呼ぶ［大声で〜］:呼ぶ［客を〜］
ぶら	ラブ
ぶり	ぶり
ぶん	分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）
ぷろ	プロ
へや	部屋
へり	ヘリ
へる	減る:減る［腹が〜］
へん	変［〜だ］:編:編・篇:辺（へん）
べる	ベル
べん	便:弁
ぺん	ペン
ほぼ	ほぼ
ほら	ほら:ほら［〜吹き］
ほる	掘る
ほん	本（ほん）
ぼん	盆
まま	まま:まま［気の向く〜］:ママ
まめ	まめ:豆
まや	山（やま）
まゆ	まゆ
まる	まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる）
まれ	まれ
まん	万
みみ	耳
みよ	読み:読み［〜が外れる］
みり	ミリ
みる	みる:みる（見・診）:みる［…と〜］:見る:見る［新聞を〜］:診る
むも	もむ:もむ［肩を〜］
むや	やむ:病む
むよ	読む:読む［数を〜］:読む［相手の心を〜］
むら	村（むら）
むり	無理
むれ	群れ
めも	メモ
めや	やめ
めゆ	ゆめ:夢
めよ	嫁
めん	綿（めん）:面（めん）:麺
もも	もも:桃
もや	もや
もり	森:盛（も）り
もる	盛（も）る
もれ	漏れ
もん	門（もん）
やや	やや
やゆ	揶揄（やゆ）
やる	やる:やる［一杯〜］:やる［向こうへ〜］
ゆれ	揺れ
より	より
よる	よる:よ（拠）る:夜（よる）:寄る
らん	欄
りわ	割（わり）
るわ	割る:割る［酒を〜］:悪（わる）
れわ	割れ
わん	わん（椀・碗）:碗（わん）
