１文字	待ち候補文字の数	待ち候補文字	成立する２文字集合	成立する２文字単語
と	24	あ い う お き く こ さ し そ ち は ひ び ふ ぶ ほ ま み め も ら り る	あと いと うと おと きと くと こと さと しと そと ちと とは とひ とび とふ とぶ とほ とま とみ とめ とも とら とり とる	あと:後（あと）:跡 問い:意図:糸（いと）:糸（いと）［絃］ 党:問う:当:当［〜ホテル・〜の本人］:投:棟（とう）:等（とう）:糖 音（おと） とき:時（とき） 得（とく）:徳:解く 事（こと）:床（とこ） 里（さと） とし（年・歳）:年（とし）:歳（とし）:都市 外（そと） 土地 はと ひと:人（ひと） 跳び ふと 飛ぶ 徒歩 的（まと） 富 止め もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと） 寅（とら） 取り:鳥（とり） とる（取・捕・採）:取る:取る［帽子を〜］:取る［悪く〜・良く〜］:取る［新聞を〜・そばを〜］:採る:撮る
な	25	あ い え お か き く げ こ し す ぜ ぞ た つ に は べ ま み ら る れ わ ん	あな いな えな おな かな きな くな げな こな しな すな ぜな ぞな たな つな なに なは なべ なま なみ なら なる なれ なわ なん	なあ:アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］ ない:内（ない） 苗 なお 中（なか）:仮名:仲 泣き 泣く:鳴く 投げ 粉（こな） なし:品（しな） なす:成す:砂（すな） なぜ なぞ 棚 ツナ:夏（なつ） なに:何（なに） 花（はな）:鼻 なべ 生（なま）:生（なま）［〜の声］ 並（なみ）:波:皆 なら なる:なる［…に〜・…ことに〜］:なる［…に〜］:成る:鳴る なれ:慣れ わな 何（なん）:難
え	26	い う え か き こ ご さ す だ ち っ な ね は ひ び へ ま み む ゆ り る ろ ん	いえ うえ ええ えか えき えこ えご えさ えす えだ えち えっ えな えね えは えひ えび えへ えま えみ えむ えゆ えり える えろ えん	いえ:家（いえ） 上（うえ）:上（うえ）［食べた〜にまだ食べる］ ええ かえ（代・替・換）:代え:換え:替え 液:駅 声 エゴ えさ（餌）:餌（えさ） 末（すえ） 枝 知恵 えっ 苗 ねえ 栄え 冷え えび へえ 前（まえ） 笑み:見え:見得（みえ） エム 故（ゆえ） 襟 える:得（え）る エロ 円:宴:縁（えん）
さ	26	あ い え か き ぎ く け げ こ ご じ す ぞ ち つ て と ば び ぶ ほ ま ら る ん	あさ いさ えさ かさ きさ ぎさ くさ けさ げさ こさ ごさ さじ さす さぞ さち さつ さて さと さば さび さぶ さほ さま さら さる さん	さあ:朝 才:際（さい） えさ（餌）:餌（えさ） かさ:傘:坂 先（さき）:左記 詐欺 さく（割・裂）:割く:咲く:柵:策:草（くさ）:裂く けさ:さけ:今朝（けさ）:酒（さけ） 下げ 濃さ 誤差 さじ:時差 差す:差す［目薬を〜］:指す:挿す さぞ 幸（さち） 冊:札（さつ） さて 里（さと） さば さび サブ 補佐 様（さま） 皿（さら） さる:去る 三:三・参（さん）:三（さん）:産
む	26	う え か が き ぎ く け こ ご し じ す だ ち つ ね の は ふ も や よ ら り れ	うむ えむ かむ がむ きむ ぎむ くむ けむ こむ ごむ しむ じむ すむ だむ ちむ つむ ねむ のむ はむ ふむ むも むや むよ むら むり むれ	うむ（生・産）:有無（うむ）:生む:生む［傑作を〜］:産む エム かむ［鼻を〜］ ガム むき［〜になる］:向き:無期 義務:麦 む（剥）く:剥（む）く:向く:汲（く）む:組む 向け 婿:込む［手が〜］:込む［電車が〜］ ゴム 無視:蒸し:虫（むし） ジム:事務:無地 住む:済む:蒸す 無駄 無知 六つ:摘む:積む 旨（むね）:胸 のむ［要求を〜］:飲む ハム 踏む もむ:もむ［肩を〜］ やむ:病む 読む:読む［数を〜］:読む［相手の心を〜］ 村（むら） 無理 群れ
ふ	27	い う お か き ぎ く じ そ た ち で と ね ひ び ぼ み む ゆ よ ら り る れ ろ ん	いふ うふ おふ かふ きふ ぎふ くふ じふ そふ たふ ちふ でふ とふ ねふ ひふ びふ ふぼ ふみ ふむ ふゆ ふよ ふら ふり ふる ふれ ふろ ふん	不意 封:風（ふう） オフ 不可:付加:負荷 寄付:寄付・寄附 義父 ふく:副:吹く:服:福:複 自負 祖父 ふた:ふた（蓋）:タフ:蓋（ふた） 淵（ふち）:縁（ふち） 筆（ふで） ふと ふね（船・舟）:舟（ふね）:船（ふね） 皮膚 不備 父母（ふぼ） ふみ（文・書） 踏む 冬 付与 ラフ 不利:振り:降り フル:振る:振る［ふりがなを〜］:降る 触れ ふろ 分（ふん）
み	27	い う え か き ぎ く こ ご し じ す ず せ そ ぞ ち つ と な の び ふ み よ り る	いみ うみ えみ かみ きみ ぎみ くみ こみ ごみ しみ じみ すみ ずみ せみ そみ ぞみ ちみ つみ とみ なみ のみ びみ ふみ みみ みよ みり みる	意味 うみ:うみ（生・産）:海（うみ）:生み:産み 笑み:見え:見得（みえ） 上（かみ）:神（かみ）:紙（かみ）:髪 君（きみ）:黄身 右（みぎ） 組:組み 込み［消費税〜］ ごみ しみ 地味 ミス:済み:炭:隅 みず:水（みず） せみ:店（みせ） みそ 溝 地味:未知:道（みち） みつ:みつ（蜜）:密:罪（つみ）:罪（つみ）［〜な人だ］:蜜（みつ） 富 並（なみ）:波:皆 のみ:飲み 美味 ふみ（文・書） 耳 読み:読み［〜が外れる］ ミリ みる:みる（見・診）:みる［…と〜］:見る:見る［新聞を〜］:診る
り	28	あ い う え お か き ぎ く け げ こ し そ ち つ と ぬ の は ふ ぶ へ み む も よ わ	あり いり うり えり おり かり きり ぎり くり けり げり こり しり そり ちり つり とり ぬり のり はり ふり ぶり へり みり むり もり より りわ	あり 入り 売り 襟 折り 仮:借り:狩り 切り:切り［〜がない］:切り［〜をつける］:力（りき）:霧 義理 くり:陸（りく） けり:けり［〜を付ける］ 下痢 凝り しり:利子 反り 地理 率:釣り 取り:鳥（とり） 塗り のり:乗り 張り:針（はり） 不利:振り:降り ぶり ヘリ ミリ 無理 森:盛（も）り より 割（わり）
た	29	い う か き く ぐ け こ し じ す だ つ て な に ね は ば び ふ ぶ へ ま め ら る わ ん	いた うた かた きた くた ぐた けた こた した じた すた ただ たつ たて たな たに たね たは たば たび たふ たぶ たへ たま ため たら たる たわ たん	タイ:体（たい）:対（たい）:対（たい）［三〜二］:板（いた） 歌（うた） 型（かた）:形（かた）:方（かた）:肩 北（きた）:滝 炊く タグ 丈（たけ） たこ 下（した）:舌:足し 自他 足す ただ:ただ［〜の人］ たつ（断・絶）:た（経）つ:建つ:断つ:立つ:立つ［旅に〜］:経（た）つ:絶つ 立て:縦 棚 谷 ねた:種（たね） 畑（はた） 束（たば） 度（たび）:旅 ふた:ふた（蓋）:タフ:蓋（ふた） 豚（ぶた） 下手（へた） たま:また:玉（たま） ため たら 足る 綿（わた） 単
は	29	あ い え き く げ こ し じ ず た だ ち つ で と な ね は ば ま む め や ら り る れ ん	あは いは えは きは くは げは こは しは じは ずは たは だは ちは つは では とは なは ねは はは はば はま はむ はめ はや はら はり はる はれ はん	はあ はい:ハイ:杯（はい）:灰:肺 栄え 破棄 は（穿）く［ズボンを〜］:吐く:履く［くつを〜］:穿（は）く［ズボンを〜］ はげ 箱:箱（はこ） はし:橋:端（はし） 恥 はず 畑（はた） 肌（はだ） 八（はち） 初（はつ）:発:発（はつ） では はと 花（はな）:鼻 羽・羽根（はね）:羽（はね） はは:母 幅 浜 ハム 羽目 早（はや） 腹 張り:針（はり） 張る:張る［腹が〜］:春 はれ［〜が引く］:晴れ 半:班
ち	30	い う え お か き く ぐ け さ し じ ず ち つ と に の は ふ ま み む も ゃ ゆ ょ よ り る	いち うち えち おち かち きち くち ぐち けち さち しち じち ずち ちち ちつ ちと ちに ちの ちは ちふ ちま ちみ ちむ ちも ちゃ ちゆ ちょ ちよ ちり ちる	一:一・壱（いち）:一（いち）:位置:地位:壱（いち） うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち 知恵 落ち 価値:勝ち:地下 吉:基地 口:地区 愚痴 けち 幸（さち） 七（しち） 知事:自治 地図 父 土（つち） 土地 日（にち） 後（のち） 八（はち） 淵（ふち）:縁（ふち） 待ち:町（まち）:街（まち） 地味:未知:道（みち） 無知 もち:持ち［〜がよい］:持ち［土地〜・自分〜］ 茶 治癒 著 予知:余地 地理 散る
す	32	あ い う え お か が き ぎ く ぐ け こ さ し じ そ た だ で な ば ぱ べ ほ ぼ ま み む め る ろ	あす いす うす えす おす かす がす きす ぎす くす ぐす けす こす さす しす じす すそ すた すだ すで すな すば すぱ すべ すほ すぼ すま すみ すむ すめ する すろ	明日（あす） 椅子（いす）:水（すい） 吸う:数（すう） 末（すえ） 押す:押す［判を〜］:推す:雄（おす） 貸す:貸す［手を〜］ ガス キス:好き:隙（すき） 杉 すく［腹が〜］:好く:空（す）く すぐ 消す 超す:越す 差す:差す［目薬を〜］:指す:挿す すし 筋（すじ） すそ 足す 出す:出す［本を〜］:出す［船を〜］ 素手 なす:成す:砂（すな） バス パス すべ 干す ボス ます:増す ミス:済み:炭:隅 住む:済む:蒸す メス する:する［〜ことに］:する［こわい顔を〜・青い目を〜］:する［ベルトを〜・おむつを〜］:する［五年〜・しばらく〜］:する［係を〜］:する［声が〜］:する［百円〜］:擦る:留守 ロス
こ	33	い う え か く げ こ さ ざ し じ す そ た つ と ど な ね の は び ぶ ま み む め や よ り る れ ん	いこ うこ えこ かこ くこ げこ ここ こさ こざ こし こじ こす こそ こた こつ こと こど こな こね この こは こび こぶ こま こみ こむ こめ こや こよ こり こる これ こん	こい:恋:故意:濃い:濃い［ひげが〜］ 行（こう） 声 過去 国（こく）:酷 焦げ ここ:ここ［〜１，２か月］ 濃さ 雑魚（ざこ） 古紙:古紙・故紙:腰 事故:自己 超す:越す そこ:底 たこ こつ［覚える〜］ 事（こと）:床（とこ） どこ 粉（こな） コネ［コネクション］:猫 この 箱:箱（はこ） こび 昆布（こぶ） 駒（こま） 込み［消費税〜］ 婿:込む［手が〜］:込む［電車が〜］ 米（こめ） 小屋 横 凝り 凝る［肩が〜］ これ 紺
ま	34	あ い う え き く け げ こ ご さ し す ず た だ ち つ て で と ど な ぬ ね は ひ ま め や ゆ る れ ん	あま いま うま えま きま くま けま げま こま ごま さま しま すま ずま たま だま ちま つま てま でま とま どま なま ぬま ねま はま ひま まま まめ まや まゆ まる まれ まん	まあ 今（いま）:今（いま）［〜しばらく］:居間:枚（まい） 舞う:馬 前（まえ） 巻き:巻（まき）:薪（まき） ま（撒）く［水を〜］:ま（蒔）く:巻く:幕:撒（ま）く:撒（ま）く［水を〜］:膜 負け 曲げ 駒（こま） ごま:孫 様（さま） まし［ないより〜］:増し:島（しま） ます:増す まず たま:また:玉（たま） まだ 待ち:町（まち）:街（まち） 妻（つま）:待つ:末（まつ） 手間 デマ 的（まと） 窓 生（なま）:生（なま）［〜の声］ 沼 まね:マネ 浜 暇（ひま）:麻痺 まま:まま［気の向く〜］:ママ まめ:豆 山（やま） まゆ まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる） まれ 万
あ	37	あ い う お か き く け げ ご さ ざ し じ す せ っ つ て と ど な に ね の は へ ぺ ま め や ら り る れ わ ん	ああ あい あう あお あか あき あく あけ あげ あご あさ あざ あし あじ あす あせ あっ あつ あて あと あど あな あに あね あの あは あへ あぺ あま あめ あや あら あり ある あれ あわ あん	ああ 愛 あう（会・遭）:会う:合う:遭う［ひどい目に〜］ 青 赤 あき（空・明）:秋:空き:飽き あく:あく（明・開）:あく（空・明）:あく（空・明）［間が〜］:悪（あく）:空く:空く［間が〜］:開く ケア:明け 上げ:揚げ あご さあ:朝 あざ:字（あざ） あし:脚（あし）:足（あし） あじ:味（あじ） 明日（あす） 汗 あっ 圧 当て あと:後（あと）:跡 ドア なあ:アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］ 兄 姉 あの:あの［〜ね］ はあ ヘア ペア まあ あめ:雨（あめ） やあ 粗（あら） あり ある:ある（在・有）:在る:有る あれ:レア:荒れ 泡 あん:案
し	37	あ い う お か き く こ ご じ す た だ ち つ と な に ぬ は ば ほ ま み む め も ゃ や ゅ ょ よ り る ろ わ ん	あし いし うし おし かし きし くし こし ごし しじ しす した しだ しち しつ しと しな しに しぬ しは しば しほ しま しみ しむ しめ しも しゃ しや しゅ しょ しよ しり しる しろ しわ しん	あし:脚（あし）:足（あし） 医師:意志:意思:石（いし） 牛 塩（しお）:押し しか:歌詞:歯科:菓子:貸し 四季:岸:式 くし:くし（串）:串（くし）:敷く:駆使 古紙:古紙・故紙:腰 死後:私語 四時:指示:支持:私事（しじ） すし 下（した）:舌:足し だし 七（しち） 室（しつ）:質 とし（年・歳）:年（とし）:歳（とし）:都市 なし:品（しな） 死に［生き〜］:西（にし） 主（ぬし）:死ぬ はし:橋:端（はし） 芝 干し:星（ほし） まし［ないより〜］:増し:島（しま） しみ 無視:蒸し:虫（むし） 締め:締め［〆］:飯（めし） もし:霜 社（しゃ） 視野 種（しゅ）:酒（しゅ） 暑:書（しょ）:署 よし しり:利子 汁:知る 白（しろ） しわ:わし:和紙 心（しん）:真（しん）:芯
