成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
あに	兄	4	い し ま め	あいに あしに あにま あにめ	似合い シニア マニア アニメ
あね	姉	1	げ	あげね	値上げ
あぺ	ペア	1	す	あすぺ	スペア
あめ	あめ:雨（あめ）	4	さ つ て に	あさめ あつめ あてめ あにめ	浅め 厚め 目当て アニメ
あら	粗（あら）	4	い し ち ぶ	あいら あしら あちら あぶら	洗い あらし あちら あぶら（油・脂）:油（あぶら）:脂（あぶら）
あり	あり	9	え お か が く さ せ た ま	あえり あおり あかり あがり あくり あさり あせり あたり あまり	エリア あおり ありか:明かり 上がり クリア あさり 焦（あせ）り 当たり:辺り 余り
あれ	あれ:レア:荒れ	1	ち	あちれ	荒れ地
あわ	泡	1	せ	あせわ	あわせ
あん	あん:案	10	え か き ぎ こ し じ だ ち ふ	あえん あかん あきん あぎん あこん あしん あじん あだん あちん あふん	亜鉛 安価 暗記 議案 あんこ 思案 暗示 安打 治安 不安
いえ	家（いえ）	6	が ご し じ す り	いえが いえご いえし いえじ いえす いえり	映画 英語:護衛 市営 英字 イエス 営利
いお	老い	8	お で に め も る れ ん	いおお いおで いおに いおめ いおも いおる いおれ いおん	覆い おいで におい 汚名 思い オイル お礼 イオン
いか	いか:以下:会:医科:回:貝:買い:階:飼い	39	う か が き ぎ く け げ こ ご さ し じ す せ た だ ち っ つ て と な に ね は ば ひ ふ へ む め ゆ よ り る れ ろ わ	いうか いかか いかが いかき いかぎ いかく いかけ いかげ いかこ いかご いかさ いかし いかじ いかす いかせ いかた いかだ いかち いかっ いかつ いかて いかと いかな いかに いかね いかは いかば いかひ いかふ いかへ いかむ いかめ いかゆ いかよ いかり いかる いかれ いかろ いかわ	迂回 開花 外貨:絵画 機会:機械 会議:議会 各位 家計:経過 外科医 囲い ごかい:介護:誤解 境（さかい）:火災 司会:歯科医:視界:開始 次回:開示 すいか 世界:成果:青果 他界:対価 課題 誓い 一家 いつか:つかい（使・遣）:五日（いつか）:使い:追加 仮定:低下:定価:家庭:課程:買い手:過程 都会 内科:田舎（いなか） 二階 買値 破壊 売価 会費:回避 不快 貨幣 六日（むいか）:向かい:皆無 仮名:名菓:銘菓 愉快 通い いかり:怒（いか）り:理解 いるか 加齢 カイロ:回路 会話:和解
いが	外（がい）:害:街（がい）	17	い う え か く し そ た ち ど ね ひ ぶ む や り ん	いいが いうが いえが いかが いがく いがし いがそ いがた いがち いがど いがね いがひ いがぶ いがむ いがや いがり いがん	以外 うがい 映画 外貨:絵画 医学 外資:市外:市街 疎外 互い 違い ガイド 願い 被害 外部:部外 無害 外野 利害 因果
いき	息（いき）:意気:生き:行（い）き	24	あ か き く け さ ざ し せ た ち っ つ て な は ひ び へ め ら れ ろ ん	あいき いかき いきき いきく いきけ いきさ いきざ いきし いきせ いきた いきち いきっ いきつ いきて いきな いきは いきひ いきび いきへ いきめ いきら いきれ いきろ いきん	気合い 機会:機械 行（い）き来 区域 景気 記載 機材 意識 世紀:帰省:既製:正規:移籍:規制:遺跡 待機:期待:気体 地域 一気 追記 定期:規定 機内 廃棄 ひいき いびき 兵器:平気 明記:記名 嫌い:嫌い［〜がある］:来期 冷気 黄色（きいろ） 起因
いぎ	意義:異議	8	か せ そ だ て め れ ん	いかぎ いぎせ いぎそ いぎだ いぎて いぎめ いぎれ いぎん	会議:議会 正義:犠牲 急ぎ 議題 定義 名義 礼儀 議員
いく	悔い	24	あ か が き こ ご さ し す ず ぞ た だ つ と ど ば ふ ほ ま や よ ら ん	あいく いかく いがく いきく いくこ いくご いくさ いくし いくす いくず いくぞ いくた いくだ いくつ いくと いくど いくば いくふ いくほ いくま いくや いくよ いくら いくん	悪意 各位 医学 区域 異国 極意 細工 飼育 すくい:救い クイズ 遺族 委託 大工 いくつ 得意 幾度（いくど） バイク 衣服 保育 マイク 医薬 意欲 いくら:イクラ:位（くらい） インク
いけ	形（けい）:池:系:計（けい）	20	い か き こ ご じ ず ち つ と ど は ひ び ふ や ゆ り ろ ん	いいけ いかけ いきけ いけこ いけご いけじ いけず いけち いけつ いけと いけど いけは いけひ いけび いけふ いけや いけゆ いけり いけろ いけん	敬意:経緯 家計:経過 景気 固形 敬語 掲示 図形 地形（ちけい） 決意 時計:毛糸 軽度 気配 経費 美形:警備 父兄（ふけい） 夜景:嫌気（いやけ） 経由 理系:経理 経路:経路・径路:色気 意見
いげ	芸	2	か ざ	いかげ いげざ	外科医 下剤
いこ	こい:恋:故意	13	い う か く け ざ せ た て と ぬ め ん	いいこ いうこ いかこ いくこ いけこ いこざ いこせ いこた いこて いこと いこぬ いこめ いこん	いい子 以降:好意:意向:移行:行為 囲い 異国 固形 在庫 個性 個体:固体 固定 いとこ 子犬:小犬・子犬 濃いめ コイン
いご	以後	11	う え か く け さ せ ち は へ ま	いうご いえご いかご いくご いけご いごさ いごせ いごち いごは いごへ いごま	合意 英語:護衛 ごかい:介護:誤解 極意 敬語 最後 正誤:生後 いちご 背後 語弊 迷子（まいご）
いさ	才:際（さい）	18	か き く ご ず そ た つ て と ど ひ ふ ぶ へ む や ん	いかさ いきさ いくさ いごさ いさず いさそ いさた いさつ いさて いさと いさど いさひ いさふ いさぶ いさへ いさむ いさや いさん	境（さかい）:火災 記載 細工 最後 サイズ 誘（さそ）い 多彩:多才:最多:痛さ 殺意 査定 サイト:サイト［ウェブ〜］ サイド 被災 夫妻:負債:財布 細部 閉鎖 債務 野菜 サイン:遺産
いざ	材:罪（ざい）:財	8	き げ こ し す そ ふ む	いきざ いげざ いこざ いざし いざす いざそ いざふ いざむ	機材 下剤 在庫 資材 座椅子 素材 不在 財務
いし	医師:意志:意思:石（いし）	22	あ え か が き く ざ せ だ て な は ば へ ま め ゃ や ゅ れ わ ん	あいし いえし いかし いがし いきし いくし いざし いしせ いしだ いして いしな いしは いしば いしへ いしま いしめ いしゃ いしや いしゅ いしれ いしわ いしん	試合 市営 司会:歯科医:視界:開始 外資:市外:市街 意識 飼育 資材 制止:姿勢:生死（せいし）:静止 次第:私大 停止:指定 市内 廃止:支配 芝居 紙幣 姉妹（しまい） 使命:名刺:名詞:指名:氏名 医者 いやし 首位 仕入れ:指令 いわし 印紙:死因
いじ	意地:維持	16	あ え か け す ず せ た だ ち て ま め る れ ん	あいじ いえじ いかじ いけじ いじす いじず いじせ いじた いじだ いじち いじて いじま いじめ いじる いじれ いじん	自愛 英字 次回:開示 掲示 炊事:自炊 随時 政治 事態:自体:辞退:退治 大事（だいじ）:時代 一時（いちじ） 定時:提示 毎時 いじめ:明治 類似 事例:辞令 寺院
いす	椅子（いす）:水（すい）	12	あ い え か く ざ じ ぱ ま ら り る	あいす いいす いえす いかす いくす いざす いじす いすぱ いすま いすら いすり いする	アイス 推移:水位 イエス すいか すくい:救い 座椅子 炊事:自炊 スパイ 住まい:睡魔:麻酔 ライス 推理 居留守
いせ	制:姓:性（せい）:正（せい）:生（せい）:背（せい）［〜が高い］:製:静	27	い か き ぎ こ ご し じ ぜ た だ ち て と ど に は び ふ ぶ ほ や ゆ よ ら り ん	いいせ いかせ いきせ いぎせ いこせ いごせ いしせ いじせ いせぜ いせた いせだ いせち いせて いせと いせど いせに いせは いせび いせふ いせぶ いせほ いせや いせゆ いせよ いせら いせり いせん	威勢:異性:誠意 世界:成果:青果 世紀:帰省:既製:正規:移籍:規制:遺跡 正義:犠牲 個性 正誤:生後 制止:姿勢:生死（せいし）:静止 政治 是正 世帯 世代 生地:知性:聖地 手製 生徒 制度:精度 二世 制覇:派生 整備:美声 不正:政府 西部 補正 野性 油性 余生 来世 整理:理性 繊維
いぜ	税	3	せ ふ ん	いせぜ いぜふ いぜん	是正 風情 以前:善意
いた	タイ:体（たい）:対（たい）:板（いた）	25	あ い か が き く こ さ じ せ ち つ で ど ひ ぶ ぷ ほ み む や よ る わ ん	あいた いいた いかた いがた いきた いくた いこた いさた いじた いせた いたち いたつ いたで いたど いたひ いたぶ いたぷ いたほ いたみ いたむ いたや いたよ いたる いたわ いたん	価（あたい）:値（あたい） 体位 他界:対価 互い 待機:期待:気体 委託 個体:固体 多彩:多才:最多:痛さ 事態:自体:辞退:退治 世帯 地帯:遅滞 タイツ 痛手 態度 対比:退避:額（ひたい） 舞台 タイプ 逮捕 いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み タイム タイヤ:屋台 貸与 タイル 対話 単位
いだ	代（だい）:台（だい）:大（だい）:題	15	あ か ぎ く し じ ず せ だ ち ど に ひ り わ	あいだ いかだ いぎだ いくだ いしだ いじだ いずだ いせだ いだだ いだち いだど いだに いだひ いだり いだわ	間（あいだ） 課題 議題 大工 次第:私大 大事（だいじ）:時代 大豆 世代 代打 大地 土台 荷台 肥大 代理 話題
いち	一:一・壱（いち）:一（いち）:位置:地位:壱（いち）	21	い か が き け ご じ せ た だ っ ど の は ば ぶ へ め や り ん	いいち いかち いがち いきち いけち いごち いじち いせち いたち いだち いちっ いちど いちの いちは いちば いちぶ いちへ いちめ いちや いちり いちん	一位 誓い 違い 地域 地形（ちけい） いちご 一時（いちじ） 生地:知性:聖地 地帯:遅滞 大地 一致 一度 命（いのち） 配置 市場（いちば） 一部 平地 地名 一夜（いちや） 一理 インチ
いつ	いつ:対（つい）	15	あ か き く け さ そ た つ で ど ね び ぶ ゆ	あいつ いかつ いきつ いくつ いけつ いさつ いそつ いたつ いつつ いつで いつど いつね いつび いつぶ いつゆ	あいつ:威圧 いつか:つかい（使・遣）:五日（いつか）:使い:追加 追記 いくつ 決意 殺意 そいつ タイツ 五つ ついで ドイツ:集い 熱意 いびつ 異物 唯一（ゆいつ）
いと	問い:意図:糸（いと）:糸（いと）［絃］	13	か く け こ さ せ っ な ば や ら り れ	いかと いくと いけと いこと いさと いせと いっと いとな いとば いとや いとら いとり いとれ	都会 得意 時計:毛糸 いとこ サイト:サイト［ウェブ〜］ 生徒 一途 ナイト:都内 バイト 雇い トライ:ライト 鳥居 トイレ
いな	内（ない）	8	い か き し と ふ ぶ ん	いいな いかな いきな いしな いとな いなふ いなぶ いなん	以内 内科:田舎（いなか） 機内 市内 ナイト:都内 ナイフ 内部 難易
いぬ	犬	2	こ め	いこぬ いぬめ	子犬:小犬・子犬 縫い目
いね	稲	5	い か が つ ら	いいね いかね いがね いつね いねら	言い値 買値 願い 熱意 ねらい
いは	はい:杯（はい）:灰:肺	12	か き け ご し せ ち て ふ ら わ ん	いかは いきは いけは いごは いしは いせは いちは いては いはふ いはら いはわ いはん	破壊 廃棄 気配 背後 廃止:支配 制覇:派生 配置 手配 配布 払い ハワイ 範囲:違反
いば	倍:杯（ばい）	8	あ う か く し ち と に	あいば いうば いかば いくば いしば いちば いとば いにば	場合 梅雨（ばいう） 売価 バイク 芝居 市場（いちば） バイト 二倍
いふ	不意	13	か く け さ ざ せ ぜ な は へ め ら る	いかふ いくふ いけふ いさふ いざふ いせふ いぜふ いなふ いはふ いふへ いふめ いふら いふる	不快 衣服 父兄（ふけい） 夫妻:負債:財布 不在 不正:政府 風情 ナイフ 配布 不平 不明 フライ:ライフ ふるい
いぶ	イブ:部位	12	あ が さ せ た ち つ な ら る れ ん	あいぶ いがぶ いさぶ いせぶ いたぶ いちぶ いつぶ いなぶ いぶら いぶる いぶれ いぶん	歩合 外部:部外 細部 西部 舞台 一部 異物 内部 ライブ 部類 無礼 部員
いへ	塀（へい）	11	か き ご さ し そ ち ふ や わ ん	いかへ いきへ いごへ いさへ いしへ いそへ いちへ いふへ いへや いへわ いへん	貨幣 兵器:平気 語弊 閉鎖 紙幣 平素 平地 不平 平野 平和 変異:異変
いま	今（いま）:居間:枚（まい）	13	あ く ご し じ す ど み め や よ り る	あいま いくま いごま いしま いじま いすま いどま いまみ いまめ いまや いまよ いまり いまる	合間 マイク 迷子（まいご） 姉妹（しまい） 毎時 住まい:睡魔:麻酔 毎度 見舞い めまい 病（やまい） 毎夜:迷い 参り マイル
いみ	意味	6	ず た て ま や ら	いずみ いたみ いてみ いまみ いみや いみら	泉（いずみ） いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み 未定 見舞い 嫌み 未来
いめ	名（めい）:命（めい）	13	お か き ぎ こ し じ ち ぬ ふ ぼ ま よ	いおめ いかめ いきめ いぎめ いこめ いしめ いじめ いちめ いぬめ いふめ いぼめ いまめ いめよ	汚名 仮名:名菓:銘菓 明記:記名 名義 濃いめ 使命:名刺:名詞:指名:氏名 いじめ:明治 地名 縫い目 不明 名簿 めまい 余命:名誉
いも	いも:芋	1	お	いおも	思い
いよ	酔い	9	う か く せ た て ま め ん	いうよ いかよ いくよ いせよ いたよ いてよ いまよ いめよ いよん	用意 通い 意欲 余生 貸与 予定 毎夜:迷い 余命:名誉 余韻
いり	入り	12	え か が け す せ だ ち で と の ま	いえり いかり いがり いけり いすり いせり いだり いちり いでり いとり いのり いまり	営利 いかり:怒（いか）り:理解 利害 理系:経理 推理 整理:理性 代理 一理 出入（でい）り 鳥居 祈り 参り
いる	類（るい）	9	い お か じ す た ふ ぶ ま	いいる いおる いかる いじる いする いたる いふる いぶる いまる	衣類 オイル いるか 類似 居留守 タイル ふるい 部類 マイル
いれ	例:入れ:冷:礼	12	い お か き ぎ し じ ず て と ひ ぶ	いいれ いおれ いかれ いきれ いぎれ いしれ いじれ いずれ いてれ いとれ いひれ いぶれ	異例 お礼 加齢 冷気 礼儀 仕入れ:指令 事例:辞令 いずれ 手入れ トイレ 比例 無礼
いろ	色（いろ）	6	か き け そ ひ ん	いかろ いきろ いけろ いそろ いひろ いろん	カイロ:回路 黄色（きいろ） 経路:経路・径路:色気 そろい 拾い 異論
いわ	岩（いわ）	9	い か し た だ は へ ら ん	いいわ いかわ いしわ いたわ いだわ いはわ いへわ いらわ いわん	祝い 会話:和解 いわし 対話 話題 ハワイ 平和 笑い ワイン
いん	イン:印（いん）:院	30	い お が き ぎ く け こ さ し じ せ ぜ そ ぞ た ち て で ど な に は ぶ へ ほ よ ら ろ わ	いいん いおん いがん いきん いぎん いくん いけん いこん いさん いしん いじん いせん いぜん いそん いぞん いたん いちん いてん いでん いどん いなん いにん いはん いぶん いへん いほん いよん いらん いろん いわん	医院:委員 イオン 因果 起因 議員 インク 意見 コイン サイン:遺産 印紙:死因 寺院 繊維 以前:善意 依存（いそん） 依存（いぞん） 単位 インチ 移転:転移 遺伝 インド 難易 任意:委任 範囲:違反 部員 変異:異変 本意 余韻 ライン:ライン［合格〜］ 異論 ワイン
うえ	上（うえ）	3	き ま め	うえき うえま うえめ	植木（うえき） 真上 目上
うお	王:魚（うお）	3	と ぼ ろ	うおと うおぼ うおろ	嘔吐（おうと） 応募 往路
うき	右記:雨季:雨期・雨季	17	え く こ ご す そ ぞ つ と ど の ほ ぼ ゅ ゆ ょ よ	うえき うきく うきこ うきご うきす うきそ うきぞ うきつ うきと うきど うきの うきほ うきぼ うきゅ うきゆ うきょ うきよ	植木（うえき） 空気 好機:後期:気候 動き:記号 奇数 早期 寄贈 通気 冬期:陶器 動機:同期:機動:起動 昨日（きのう）:機能:納期 ほうき:放棄 希望 九（きゅう）:急:旧（きゅう）:球（きゅう）:級 勇気 今日（きょう）:凶:強 容器:起用:陽気
うけ	受け	2	み も	うけみ うけも	受け身 もうけ
うこ	行（こう）	26	い か き ぎ ぐ ご さ ざ し じ す ず せ そ だ ど ひ び ふ ぶ ほ ぼ む ゆ よ り	いうこ うかこ うきこ うぎこ うぐこ うこご うこさ うこざ うこし うこじ うこす うこず うこせ うこそ うこだ うこど うこひ うこび うこふ うこぶ うこほ うこぼ うこむ うこゆ うこよ うこり	以降:好意:意向:移行:行為 下降:加工:効果:硬貨:高価 好機:後期:気候 抗議 工具 交互 交差 口座:講座 公私:志向:思考:格子:試行:講師 事項:工事:時効 個数 構図 施工（せこう） 倉庫 蛇行 鼓動 飛行 交尾:備考 不幸:古風:工夫 後部 候補:歩行 公募:母校 向こう:無効 固有 雇用 小売り
うご	号	11	い う き こ そ つ ひ ほ よ り ろ	いうご ううご うきご うこご うごそ うごつ うごひ うごほ うごよ うごり うごろ	合意 豪雨 動き:記号 交互 相互 都合 合否 誤報 用語:養護 合理 老後
うし	牛	12	こ す ち つ と ど ぼ ゅ ゆ ょ よ ろ	うこし うしす うしち うしつ うしと うしど うしぼ うしゅ うしゆ うしょ うしよ うしろ	公私:志向:思考:格子:試行:講師 指数 仕打ち 写し 投資 同士:始動:指導:私道 帽子:志望:死亡:脂肪:防止 周:週:集（しゅう） 有志:融資 商:小（しょう）:症:証:賞 仕様:使用:容姿:用紙:私用 後ろ
うす	数（すう）	15	き ぎ こ し じ た ち て で ど は ま め も よ	うきす うぎす うこす うしす うじす うすた うすち うすて うすで うすど うすは うすま うすめ うすも うすよ	奇数 薄着 個数 指数 数字 多数 数値 手数（てすう）:手薄 薄手 度数 ハウス:端数 マウス 薄め 相撲 様子
うそ	うそ:うそ［…しなければ〜だ］:層	18	い か き ぎ ぐ こ ご さ じ ち と ば び ふ む ゆ よ り	いうそ うかそ うきそ うぎそ うぐそ うこそ うごそ うさそ うじそ うそち うそと うそば うそび うそふ うそむ うそゆ うそよ うそり	相違:総意 仮想:仮装 早期 葬儀 装具 倉庫 相互 捜査:操作 掃除 地層:装置 塗装 相場 装備 送付 総務 輸送 予想:要素 理想
うぞ	像:増（ぞう）:象	8	か が き ぎ ね ひ び り	うかぞ うがぞ うきぞ うぎぞ うぞね うぞひ うぞび うぞり	増加 画像 寄贈 偽造 寝相 秘蔵 微増 草履
うた	歌（うた）	6	す ほ ぼ よ ろ ん	うすた うたほ うたぼ うたよ うたろ うたん	多数 他方 多忙 多用 太郎 タウン
うち	うち（中）:うち（内・中）:うち（家）:中（うち）:内（うち）:家（うち）:打ち	12	し す そ つ ね の ほ み ゅ ょ わ ん	うしち うすち うそち うちつ うちね うちの うちほ うちみ うちゅ うちょ うちわ うちん	仕打ち 数値 地層:装置 通知 値打ち 知能:農地 地方（ちほう）:放置 身内（みうち） 中（ちゅう）:注 兆:庁:町（ちょう）:腸:長（ちょう） うちわ:内輪（うちわ） うんち
うつ	痛（つう）:通（つう）:鬱（うつ）	13	か き く ご し ず せ ち て ふ り ろ わ	うかつ うきつ うくつ うごつ うしつ うずつ うせつ うちつ うつて うつふ うつり うつろ うつわ	通貨:通過 通気 苦痛 都合 写し 頭痛 右折 通知 打つ手 不通:普通 映り 通路 器（うつわ）:通話
うで	腕	1	す	うすで	薄手
うと	党:当:投:棟（とう）:等（とう）:糖	18	あ お き げ さ し じ そ だ ど ひ ふ ぶ ほ む ゆ よ り	あうと うおと うきと うげと うさと うしと うじと うそと うだと うとど うとひ うとふ うとぶ うとほ うとむ うとゆ うとよ うとり	アウト 嘔吐（おうと） 冬期:陶器 峠 佐藤:砂糖 投資 当時 塗装 妥当 糖度 逃避 豆腐 東部:頭部 途方 無糖 灯油 与党:投与:用途 離島
うど	同（どう）:胴:道（どう）:銅（どう）	20	い か が き ぐ こ さ し じ す と の ふ ぶ ほ よ り ろ わ ん	いうど うかど うがど うきど うぐど うこど うさど うしど うじど うすど うとど うどの うどふ うどぶ うどほ うどよ うどり うどろ うどわ うどん	同意:異動:移動 可動:稼働:稼働・稼動:稼動 動画 動機:同期:機動:起動 道具 鼓動 作動:動作 同士:始動:指導:私道 児童:同時:自動 度数 糖度 濃度 風土 ぶどう 歩道 土曜 道理 道路 童話 うどん
うに	うに	2	ゅ ょ	うにゅ うにょ	乳（にゅう） 尿
うの	脳	10	か き ぎ く ず ち ど ふ み り	うかの うきの うぎの うくの うずの うちの うどの うのふ うのみ うのり	可能:農家 昨日（きのう）:機能:納期 技能 苦悩 頭脳 知能:農地 濃度 不能:納付 うのみ:未納 脳裏
うふ	封:風（ふう）	17	う か く こ さ そ つ と ど の ふ ほ み も よ わ ん	ううふ うかふ うくふ うこふ うさふ うそふ うつふ うとふ うどふ うのふ うふふ うふほ うふみ うふも うふよ うふわ うふん	風雨 風化 工夫 不幸:古風:工夫 封鎖 送付 不通:普通 豆腐 風土 不能:納付 夫婦 抱負 風味 不毛:毛布 不用:不要:扶養 和風 不運
うほ	方（ほう）:法（ほう）	18	い が き こ ご さ じ た ち と ど ひ び ふ ま も ゆ よ	いうほ うがほ うきほ うこほ うごほ うさほ うじほ うたほ うちほ うとほ うどほ うひほ うびほ うふほ うほま うほも うほゆ うほよ	方位:違法 邦画 ほうき:放棄 候補:歩行 誤報 作法 時報 他方 地方（ちほう）:放置 途方 歩道 悲報 褒美 抱負 魔法 模倣 保有 予報:保養
うぼ	棒	12	う お か き こ し ず た ね む よ る	ううぼ うおぼ うかぼ うきぼ うこぼ うしぼ うずぼ うたぼ うねぼ うぼむ うぼよ うぼる	暴雨 応募 防火 希望 公募:母校 帽子:志望:死亡:脂肪:防止 坊主 多忙 寝坊 無謀 予防 ボウル
うま	馬	6	え さ す ほ み れ	うえま うさま うすま うほま うまみ うまれ	真上 うまさ マウス 魔法 うまみ 生まれ
うみ	うみ:うみ（生・産）:海（うみ）:生み:産み	8	け ち の ふ べ ま よ ら	うけみ うちみ うのみ うふみ うべみ うまみ うみよ うみら	受け身 身内（みうち） うのみ:未納 風味 海辺（うみべ） うまみ 見よう 恨み
うむ	有無（うむ）	5	こ そ と ぼ よ	うこむ うそむ うとむ うぼむ うむよ	向こう:無効 総務 無糖 無謀 無用
うめ	梅	3	え す ら	うえめ うすめ うめら	目上 薄め 裏目
うも	毛（もう）	5	け す ふ ほ よ	うけも うすも うふも うほも うもよ	もうけ 相撲 不毛:毛布 模倣 模様
うゆ	優:夕:有（ゆう）	15	い が き こ さ し じ そ と ひ べ ほ よ り ん	いうゆ うがゆ うきゆ うこゆ うさゆ うしゆ うじゆ うそゆ うとゆ うひゆ うべゆ うほゆ うゆよ うゆり うゆん	優位 優雅 勇気 固有 左右 有志:融資 自由 輸送 灯油 夕日 夕べ 保有 余裕 有利:理由 運輸
うよ	曜:様（よう）:用:要	26	い か が き ぎ ぐ こ ご さ し じ す そ た と ど ひ び ふ ほ ぼ み む も ゆ り	いうよ うかよ うがよ うきよ うぎよ うぐよ うこよ うごよ うさよ うしよ うじよ うすよ うそよ うたよ うとよ うどよ うひよ うびよ うふよ うほよ うぼよ うみよ うむよ うもよ うゆよ うより	用意 八日（ようか）:火曜 洋画 容器:起用:陽気 容疑 用具 雇用 用語:養護 作用 仕様:使用:容姿:用紙:私用 ようじ:幼児（ようじ）:用事 様子 予想:要素 多用 与党:投与:用途 土曜 費用 曜日:美容 不用:不要:扶養 予報:保養 予防 見よう 無用 模様 余裕 利用
うら	裏	3	い み め	いうら うみら うめら	雷雨 恨み 裏目
うり	売り	14	こ ご そ ぞ つ て と ど ね の ば ゆ ょ よ	うこり うごり うそり うぞり うつり うてり うとり うどり うねり うのり うばり うゆり うょり うより	小売り 合理 理想 草履 映り 売り手 離島 道理 うねり 脳裏 売り場 有利:理由 両:料:良:量 利用
うろ	労	9	お か く ご し た つ ど ひ	うおろ うかろ うくろ うごろ うしろ うたろ うつろ うどろ うひろ	往路 廊下:老化:過労 苦労 老後 後ろ 太郎 通路 道路 披露:浪費:疲労
うん	運	7	た だ ち て ど ふ ゆ	うたん うだん うちん うてん うどん うふん うゆん	タウン ダウン うんち 雨天 うどん 不運 運輸
えか	かえ（代・替・換）:代え:換え:替え	7	さ し ひ ま む り る	えかさ えかし えかひ えかま えかむ えかり えかる	栄（さか）え 返し 控え 構え 迎え 帰り:返り かえる
えき	液:駅	10	う が こ す だ の ま む り ん	うえき えがき えきこ えきす えきだ えきの えきま えきむ えきり えきん	植木（うえき） 着替え 聞こえ エキス 唾液 えのき 気前 無益 利益 延期
えこ	声	4	き ご た ー	えきこ えこご えこた えこー	聞こえ 小声 答え エコー
えご	エゴ	3	い こ ん	いえご えこご えごん	英語:護衛 小声 援護
えさ	えさ（餌）:餌（えさ）	3	お か さ	えおさ えかさ えささ	押さえ 栄（さか）え 支え
えす	末（すえ）	3	い き ー	いえす えきす えすー	イエス エキス エース
えだ	枝	1	き	えきだ	唾液
えち	知恵	1	ん	えちん	遅延
えな	苗	2	そ ま	えそな えなま	供え:備え 名前
えひ	冷え	1	か	えかひ	控え
えび	えび	1	ん	えびん	鼻炎
えま	前（まえ）	10	あ う お か き じ て で な ば	あえま うえま えおま えかま えきま えじま えてま えでま えなま えばま	甘え 真上 お前 構え 気前 自前 手前（てまえ） 出前 名前 前歯
えみ	笑み:見え:見得（みえ）	1	ば	えばみ	見栄え
えむ	エム	3	か き ん	えかむ えきむ えむん	迎え 無益 無縁
えゆ	故（ゆえ）	2	く ん	えくゆ えゆん	行方（ゆくえ） ゆえん［所以］
えり	襟	6	あ い か き と ぬ	あえり いえり えかり えきり えとり えぬり	エリア 営利 帰り:返り 利益 取り柄 塗り絵
