５文字集合	可能な５文字単語
あたちばり	罰当たり
あたつやり	八つ当たり
あたとひり	人当たり
あちにみゅ	ミニチュア
あつとひめ	人集め
あてのもわ	慌て者
あとどもり	後戻り
あどまやり	雨宿り
あにまゅる	マニュアル
あのままり	ありのまま
あぷみむれ	プレミアム
あみゆより	歩み寄り
いいいかん	委員会
いいいがち	言い違い
いいうちわ	内祝い
いいえかし	言い返し
いいえせふ	不衛生
いいえたつ	言い伝え
いいおしな	言い直し
いいおもれ	思い入れ
いいかがり	言い掛かり
いいかせち	世界一
いいかだと	大都会
いいがきち	行（い）き違い
いいがくち	食い違い
いいがちれ	入れ違い
いいがちろ	色違い
いいがのれ	言い逃れ
いいぐせた	具体性
いいけびん	警備員
いいさしせ	再生紙
いいしだめ	代名詞
いいしまわ	言い回し
いいしめれ	名刺入れ
いいしゃら	依頼者
いいせぞろ	勢ぞろい
いいとはら	ハイライト
いいにらん	依頼人
いうえかよ	栄養価
いうえきゅ	永久
いうえきょ	影響
いうえそよ	栄養素
いうかきょ	協会
いうかこひ	非公開
いうかしゅ	回収:改修:集会
いうかしょ	商会:快勝:照会:紹介:解消
いうかせと	正当化
いうかせの	可能性
いうかちょ	会長:快調:町会
いうかてよ	家庭用
いうかにゅ	介入:入会
いうかふみ	未開封
いうかょり	了解:改良
いうがそよ	予想外
いうきくょ	教育
いうきけゅ	休憩
いうきさゅ	救済
いうきさょ	最強
いうきすゅ	給水
いうきすー	ウイスキー
いうきせゅ	急性:旧姓:請求
いうきせょ	強制:盛況:矯正
いうきたゅ	耐久
いうきつゅ	追及:追求:追究
いうきてゅ	定休
いうきてょ	協定:提供
いうきめゅ	救命:究明
いうきめょ	共鳴
いうきょり	領域
いうきょん	教員
いうけしゅ	集計
いうけしょ	小計:敬称:継承:軽傷:軽症
いうけしよ	形容詞
いうけちゅ	中継
いうけょり	軽量
いうこさち	最高値
いうこさひ	交際費
いうこしつ	更衣室
いうこぞれ	冷蔵庫
いうことれ	冷凍庫
いうこはん	広範囲
いうこふへ	不公平
いうこむん	公務員
いうごせり	合理性
いうさしゅ	採集:最終
いうさしょ	最小:最少:詳細
いうさちゅ	仲裁:最中（さいちゅう）
いうさちょ	最長
いうさより	再利用
いうしすょ	推奨
いうしせゅ	修正:習性
いうしたぼ	体脂肪
いうしたょ	大笑:大賞:対照:対称:対象:招待:正体
いうしちゅ	週一
いうしはょ	勝敗
いうしまゅ	毎週
いうしめょ	名称:照明:証明
いうしもれ	申し入れ
いうしゅら	来週
いうしょら	将来
いうしょん	勝因:印象
いうすただ	大多数
いうすちゅ	水中
いうすびよ	水曜日
いうすゅり	水流
いうせたよ	多様性
いうせちょ	成長:調整
いうせょり	声量
いうぞみら	未来像
いうたちょ	体調
いうたとん	担当医
いうたょり	大量
いうちてょ	低調
いうちなょ	町内
いうちふゅ	不注意
いうちめょ	町名
いうちゅり	一流
いうちょれ	朝礼
いうてひょ	定評
いうてょり	料亭
いうとどめ	透明度
いうとふめ	不透明
いうにゅん	入院
いうひめょ	表明
いうびよん	美容院
いうょりん	飲料
いえかがん	映画館
いえかきり	行（い）き帰り
いえかみん	民営化
いえがちは	配置換え
いえきこひ	えこひいき
いえきさと	エキサイト
いえくちょ	直営
いえくほん	保育園
いえごらわ	笑い声
いえさすず	Ｓサイズ
いえさずむ	Ｍサイズ
いえさずる	Ｌサイズ
いえばまら	前払い
いおおぎそ	大急ぎ
いおおらわ	大笑い
いおかせっ	おせっかい
いおがらわ	笑い顔
いおきけど	置き時計
いおきつも	思い付き
いおきどり	憤り
いおきにり	お気に入り
いおきもり	思い切り
いおくらり	お蔵入り
いおけどん	温度計
いおこみも	思い込み
いおさじん	おじいさん
いおさにん	お兄さん
いおさやん	温野菜
いおしどな	同い年
いおすむら	オムライス
いおだつて	お手伝い
いおふらん	オフライン
いおもやり	思いやり
いおらんん	オンライン
いかかせっ	活性化
いかかせん	世界観
いかかぜむ	向かい風
いかかたつ	使い方
いかかづね	金遣い
いかかふん	不快感
いかかりん	係員
いかがきく	規格外
いかがちん	勘違い
いかがはん	繁華街
いかきくょ	開局
いかきたん	期待感
いかきつり	使い切り
いかぎしつ	会議室
いかぎせん	正義感
いかくけし	四角形
いかくしゃ	解釈
いかくなふ	内閣府
いかくふめ	不明確
いかけつみ	未解決
いかけつわ	使い分け
いかけむん	無関係
いかこつみ	使い込み
いかさたね	最高値
いかしせつ	私生活
いかしぜん	自然界
いかしたた	致し方
いかじたん	時間帯
いかじてん	展示会
いかすつて	使い捨て
いかすめる	するめいか
いかせぜん	全世界
いかせっら	落花生
いかせつひ	生活費
いかせどん	完成度
いかせねん	可燃性
いかせみん	未完成
いかだてに	二階建て
いかちつみ	使い道
いかつのも	使い物［〜にならない］
いかつふよ	二日酔い
いかなまり	仲間入り
いかのもわ	若い者
いかりれわ	入れ替わり
いがききち	聞き違い
いがきちゆ	行（ゆ）き違い
いがけたち	けた違い
いがけちの	命懸け
いがことな	長いこと
いがこねろ	黄金色（こがねいろ）
いがしせん	紫外線
いがしなは	放し飼い
いがすちれ	擦れ違い
いがせやら	嫌がらせ
いがちまみ	見間違い
いがちまん	万が一
いがとまめ	まとめ買い
いがにらわ	苦笑い
いききすら	好き嫌い
いきくさと	得意先
いきくたゃ	退却
いきくめょ	名曲
いきくゃら	来客
いきくゃれ	冷却
いきけさん	計算機
いきけせん	危険性
いきけてん	定期券
いきけばん	券売機
いきこころ	心意気
いきごとれ	きれい事
いきさつん	印刷機
いきさばら	先払い
いきしせて	指定席
いきじちん	一時金
いきすはん	炊飯器
いきせでん	静電気
いきせばら	せき払い
いきせひん	既製品
いきたっひ	筆記体
いきちつべ	地域別
いきちへん	平均値
いきつはぶ	廃棄物
いきつばら	月払い
いきづまり	行（い）き詰まり
いきてびん	定期便
いきどまり	行（い）き止まり
いきなもら	もらい泣き
いくぐさた	具体策
いくけしょ	軽食
いくさりる	リサイクル
いくしたゃ	貸借
いくしたょ	退職
いくしてょ	定職:定食
いくしなょ	内職
いくしはゅ	祝杯
いくしはょ	配色
いくしほょ	保育所
いくしまょ	毎食
いくしょん	職員:飲食
いくすだり	薬代
いくすちょ	垂直
いくすとら	ストライク
いくせょり	勢力
いくたょり	体力
いくちてゃ	定着
いくひやん	医薬品
いくょりん	引力
いぐたみん	タイミング
いぐちはり	入（はい）り口
いぐつまみ	つまみ食い
いぐふらん	フライング
いぐやりん	イヤリング
いけけみん	未経験
いけしつど	湿度計
いけしひょ	諸経費
いけせてん	世間体（せけんてい）
いけちづや	一夜漬け
いけっやん	一軒家
いけぽまん	万歩計
いげさつら	再来月
いげせむん	無制限
いこざひん	在庫品
いこたばん	太鼓判
いこためん	明太子
いこつてび	尾てい骨
いこのもれ	小物入れ
いこはみら	払い込み
いごたはん	反対語
いごとなら	習い事
いごとらわ	笑い事
いさすねや	最安値
いさずにみ	ミニサイズ
いさせちん	生産地
いさたばみ	板挟み
いさつまも	さつま芋
いさなまや	生野菜
いさねらん	再来年
いさねれん	年齢差
いざしまん	漫才師
いしじせん	自制心
いしずなり	いなりずし
いしせたぬ	世帯主
いしせてん	停止線
いしせゅん	青春
いしぜたん	自然体
いしたつゅ	退出
いしだもん	問題視
いしつてゅ	提出
いしつゃわ	ワイシャツ
いしとぬや	雇い主
いしどらん	信頼度
いしにゃる	イニシャル
いしばらる	ライバル視
いしゅらん	来春（らいしゅん）
いしろわん	白ワイン
いじそたれ	それ自体
いじちもん	一文字
いすせらん	ライセンス
いすたばん	スタンバイ
いすやれわ	ワイヤレス
いずたたま	たたずまい
いずへめん	平面図
いせたちも	世帯持ち
いせつふり	不成立
いせにねん	二年生
いせねみん	未成年
いたどみめ	痛み止め
いたのめも	いため物
いたふむる	フルタイム
いだてりん	代理店
いだにりん	代理人
いだほるん	本塁打
いちとのり	命取り
いちにほん	日本一（にほんいち）
いっととれ	トイレット
いてべるれ	低レベル
いとみめん	認め印
いどねらん	来年度
いどみりろ	緑色（みどりいろ）
いのももら	もらい物
いはぴれん	反比例
いはべるれ	ハイレベル
いぱふらん	フライパン
うううふぼ	暴風雨
ううおきゅ	応急
ううおしゅ	欧州
ううおしょ	王将
ううおちゅ	中央
ううきくこ	航空機
ううきこの	高機能
ううきこゅ	休校:急行:高級
ううきこょ	公共
ううきそょ	競争:競走
ううきつょ	共通
ううきとゅ	投球:等級
ううきとょ	東京
ううきふょ	強風
ううきゅゆ	有給
ううきゅよ	休養:急用:要求
ううきゅろ	老朽
ううきゅん	運休
ううきゆょ	共有
ううきょよ	共用:教養
ううきょん	強運
ううくちゅ	空中
ううくちょ	空調
ううこごつ	好都合
ううこしゅ	公衆:口臭:講習
ううこしょ	交渉
ううこじと	登校時
ううこちょ	兆候・徴候:好調:校長
ううこつひ	交通費
ううことぶ	後頭部
ううこにゅ	購入
ううこひょ	公表:好評
ううこみょ	巧妙
ううこゅり	交流:流行
ううこょり	香料
ううごひほ	非合法
ううしすょ	少数
ううしそゅ	総集
ううしそょ	尚早
ううしつょ	通称
ううしとょ	消灯
ううしのゅ	収納
ううしふゅ	風習
ううしほゅ	報酬
ううしもょ	消耗
ううしゅろ	就労
ううしゆょ	優勝
ううしょよ	商用
ううすょり	数量
ううそちょ	早朝
ううそにゅ	挿入
ううそょり	送料
ううちつょ	通帳
ううちとょ	登頂
ううちふょ	風潮
ううちほょ	重宝
ううつゅり	流通（りゅうつう）
ううとにゅ	投入:豆乳
ううとにょ	糖尿
ううとひょ	投票
ううにのゅ	納入
ううにふゅ	封入
ううほょり	両方:療法
ううゅより	流用
ううゆょり	有料
ううょより	容量:用量:療養:要領
うえかさの	坂の上
うえがしら	裏返し
うえきしゅ	収益
うえきしょ	液晶
うえきびよ	美容液
うえきゅん	救援
うえきょん	共演
うえくのも	雲の上
うえけこた	受け答え
うえこしん	甲子園
うえしねょ	省エネ
うえしひょ	冷え性
うえしまろ	前後ろ
うえしょん	炎症
うえだひり	左上
うえちょん	延長
うえにゅん	入園
うえひろん	披露宴
うおおじそ	大掃除
うおこふや	親不孝
うおさとん	お父さん
うおさぼん	お坊さん
うおてもら	表裏（おもてうら）:裏表（うらおもて）
うおょりん	音量
うかきしょ	消化器
うかきょん	共感:環境
うかぎくと	格闘技
うかくごふ	不合格
うかくしゅ	収穫:隔週
うかくしょ	昇格:確証
うかくちょ	拡張:聴覚
うかけねも	金もうけ
うかこせっ	背格好（せかっこう）
うかこちん	観光地
うかこひん	加工品
うかしむる	カルシウム
うかしゅん	習慣:観衆:週刊:週間
うかしょん	干渉:感傷:観賞:鑑賞
うかじすん	漢数字
うかじつよ	実用化
うかすはん	過半数
うかせまん	運任せ
うかたんー	カウンター
うかちなま	仲間内
うかちゅら	中辛
うかちゅん	中間
うかちょん	朝刊
うかちより	利用価値
うかつてん	通過点
うかょりん	完了
うがこむわ	向こう側
うがしとら	とうがらし
うききしゅ	旧式
うききてょ	強敵
うききゅん	緊急
うききょん	近況
うきくそゃ	客層
うきくそゅ	休息
うきくつゅ	窮屈
うきくはょ	強迫:脅迫
うきくゃよ	客用
うきくゅら	急落
うきけゅん	研究
うきこしひ	非公式
うきこしん	好奇心
うきこねん	更年期
うきこゅん	困窮
うきごしん	信号機
うきさょん	協賛
うきしずみ	浮き沈み
うきしつょ	教室
うきしなれ	うれし泣き
うきしひょ	標識
うきしむろ	後ろ向き
うきしゅん	休診:急進:新旧:集金
うきしょり	良識
うきしょん	心境:賞金
うきじそは	掃き掃除
うきせぷん	扇風機
うきちてゅ	的中
うきちょん	緊張
うきつまれ	生まれつき
うきつょれ	強烈
うきてひょ	標的
うきてょり	適量
うきにゅん	入金
うきねゅん	年休
うきはゅん	半休
うきはょん	反響
うきびよん	金曜日
うきへゅん	急変
うきゅれん	連休
うきょりり	力量
うきょりわ	両わき
うきょりん	料金
うくこちら	行楽地
うくこにゅ	入国
うくこひょ	酷評
うくこゃり	攻略
うくこょり	効力
うくさふよ	副作用
うくざとろ	黒砂糖
うくしそゅ	収束:終息
うくしそょ	装飾
うくしつょ	食通
うくしとゅ	修得:特集:習得
うくしのゅ	濃縮
うくしふゅ	修復:復習
うくしやゅ	集約
うくしゆょ	夕食
うくしょよ	洋食:食用
うくしょら	楽勝
うくすひゃ	数百
うくずつや	頭痛薬
うくそちゃ	装着
うくそちょ	直送
うくちつょ	直通
うくちとゃ	到着
うくちとゅ	特注
うくちとょ	特徴:特長
うくちふょ	重複（ちょうふく）
うくちもゅ	注目
うくちゃよ	着用
うくてとん	句読点
うくでまり	腕まくり
うくとひふ	一工夫
うくとひろ	一苦労
うくにゅよ	入浴
うくのょり	能力
うくはひょ	漂白
うくひもょ	目標
うくびもよ	木曜日
うくふやよ	洋服屋
うくふょり	風力
うくょりろ	労力
うけこふん	不健康
うけしたわ	受け渡し
うけしちょ	帳消し
うけしつゅ	終結:集結
うけしもわ	申し訳
うけしゅん	研修
うけしょん	懸賞:検証
うけすたつ	多数決
うけちぼま	待ちぼうけ
うこさてん	交差点
うこしとの	年の功
うこしぬよ	雇用主
うこしひん	嗜好品
うこしほゃ	歩行者
うこしみも	申し込み
うこしゃよ	雇用者
うこしゅん	今週
うこしょり	凝り性
うこちゅん	昆虫
うこつねひ	光熱費
うこどもよ	子供用
うこにゅん	混入
うこのりれ	売れ残り
うごはゆん	夕御飯
うさしょん	勝算:参照:山椒（さんしょう）
うさちのみ	海の幸
うさちょん	山頂
うさつひょ	表札
うさどふん	不動産
うさどらん	皿うどん
うさゅりん	三流
うさょりん	量産
うししつょ	消失
うししふゅ	終止符
うししゃよ	使用者
うししゅん	就寝
うししょん	昇進
うしせつょ	小説
うしせゅん	先週
うしそょん	損傷
うしだめん	運試し
うしちゅん	中心
うしちょん	身長:長身
うしつとょ	衝突
うしつにゅ	入室
うしつふゃ	普通車
うしつほゅ	放出
うしつぼり	死亡率
うしつまゅ	終末:週末
うしつまる	丸写し
うしつめょ	消滅
うしつょり	勝率:良質
うしてゅん	終点
うしてょん	商店:焦点
うしてんん	運転士
うしなばら	裏話
うしにゅん	進入
うしにょん	商人:承認:認証
うしねゅん	年収
うしねょん	少年:年少:燃焼
うしはょり	両端（りょうはし）
うしひょよ	諸費用
うしひょん	商品:賞品
うしぶもん	申し分
うしへゅん	周辺:編集
うしほゅん	本州
うしほょん	本性（ほんしょう）
うしめょん	正面
うしゃより	利用者
うしゅれん	練習
うしょりん	両親:良心:診療
うじちちほ	地方自治
うじつまよ	つまようじ
うずたにん	多人数（たにんずう）
うずつへん	偏頭痛:片頭痛:片頭痛・偏頭痛
うせちつょ	調節
うせちゅん	抽選:抽選・抽籤
うせちょん	挑戦
うせにゅん	入選
うそちょん	尊重:町村
うそのらわ	上の空
うそもよら	空模様
うたちつょ	調達
うたちょん	単調:長短
うたつとど	到達度
うたてまれ	生まれたて
うたほめん	多方面
うたょりん	両端:両端（りょうたん）
うちつはょ	長髪
うちつゅり	中立
うちてょん	頂点
うちなょん	長男:難聴
うちにびよ	日曜日
うちにみょ	明日（みょうにち）
うちねのむ	胸の内
うちねゅん	中年:年中（ねんちゅう）
うちねょん	年長
うちはょん	班長
うちめもょ	メモ帳
うちもゅん	注文
うちゅれん	連中（れんちゅう）
うつではも	初もうで
うつとにゅ	突入
うつねょり	熱量
うつひふよ	不必要
うつょりり	両立
うてにゅん	入店:転入
うてょりり	手料理
うとにぶん	二等分
うとにほん	日本刀
うどみめん	面倒見
うなにびよ	何曜日
うにはゅん	搬入
うにもゅん	入門
うねょりん	燃料
うはまやれ	早生まれ
うひへょん	豹変
うひほょん	標本
うひめょん	表面
うひょりん	良品
うほみょん	本名（ほんみょう）
うめょりん	両面
うやょりり	料理屋
ええくすら	Ａクラス
えおかしり	折り返し
えおがしん	恩返し
えおききぼ	聞き覚え
えおさねん	お姉さん
えおしだま	前倒し
えおのぼも	物覚え
えかがまみ	前かがみ
えかきざり	返り咲き
えかきしひ	引き返し
えかきしま	巻き返し
えかきしり	切り返し
えかぎりわ	帰り際
えかくしり	繰り返し
えかさしつ	差し支え
えかさしひ	差し控え
えかしとり	取り返し
えかしぶり	ぶり返し
えかしみよ	読み返し
えかぞちら	力添え
えかだれわ	枝分かれ
えかちみり	帰り道
えかてんん	炎天下
えかとひみ	紙一重
えがききち	聞き違え
えがこもろ	衣替え
えがさとり	里帰り
えがせまみ	店構え
えきしつは	始発駅
えきょりん	遠距離
えぎのもん	縁起物
えくしょん	食塩
えくすっに	エスニック
えくすとり	リクエスト
えくちぶろ	知恵袋
えけちっと	エチケット
えこのみー	エコノミー
えごしなは	話し声
えごたみよ	読みごたえ
えしっとる	シルエット
えしつゅん	出演:演出
えすせっん	エッセンス
えすどれん	エンドレス
えちねゃん	姉ちゃん
えとりんー	エントリー
えななまめ	斜め前
おおおどり	大通り
おおかしむ	大昔
おおかそみ	大みそか
おおぎさわ	大騒ぎ
おおごしと	大仕事
おおずにん	大人数（おおにんず）
おかがくん	音楽家
おかきごり	かき氷
おかきしな	書き直し
おかげしん	塩加減
おかしつぶ	かつお節
おかしみり	顔見知り
おかしらん	知らん顔
おかじなみ	顔なじみ
おかだんん	温暖化
おかつみむ	紙おむつ
おかななり	仲直り
おがくなり	送り仮名
おがてもわ	表側
おきくさり	先送り:送り先
おきくつり	作り置き
おきすつみ	お墨付き
おきってと	取って置き
おきてむも	表向き
おくしちな	口直し
おくしやょ	お役所
おくのもり	贈り物
おくのりれ	乗り遅れ
おけこじん	自己嫌悪
おけしまみ	負け惜しみ
おけすそわ	おすそ分け
おけとぬり	通り抜け
おこことの	男の子
おこごやろ	親心
おこずみり	氷水
おこづやれ	親子連れ
おことどり	滞り
おことのも	男物
おこどやん	親子どん
おこなのん	女の子
おさしそろ	恐ろしさ
おししだみ	出し惜しみ
おしずらん	恩知らず
おしたてな	立て直し
おしたなろ	棚卸し
おしたぼん	押しボタン
おしだとま	お年玉
おしでんん	電子音
おしとのも	落とし物
おしとひよ	お人よし
おしとまわ	遠回し
おしなやり	やり直し
おじなりる	オリジナル
おすたばる	バスタオル
おずやゆり	親譲り
おたたみり	折り畳み
おたちなり	立ち直り
おたつふり	二つ折り
おちとみり	通り道
おととひり	一通り
おとどひり	人通り
おとどもり	元どおり
おとまりわ	遠回り
かかくくぞ	核家族
かかけつり	掛かりつけ
かかっとり	取っ掛かり
かかっひり	引っ掛かり
かがたりわ	肩代わり
かきくしょ	企画書
かきくてふ	不適格
かきくゃん	観客
かきざなや	焼き魚（ざかな）
かきすずり	かすり傷
かきせつん	季節感
かきたてみ	敵味方
かきたのめ	目の敵
かきたんん	短期間
かきはみん	上半期
かきょりん	距離感
かぎせとも	共稼ぎ
かくけやん	倹約家
かくげちん	口げんか
かくこたり	かたくり粉
かくしてれ	照れ隠し
かくしょん	感触:間食
かくじたら	宝くじ
かくずたれ	型崩れ
かくずちら	力ずく
かくたつり	作り方
かくづりわ	若作り
かくにみん	未確認
かくぶみろ	紙袋
かくほやん	翻訳家
かくゃりん	簡略
かけざつり	飾り付け
かけしなは	話し掛け
かけっろん	結果論
かこせつん	股関節
かこそぢら	底力
かこちのり	勝ち残り
かごとなに	何事か
かさしずは	恥ずかしさ
かさしつな	懐かしさ
かさしども	もどかしさ
かさしゃん	参加者
かさすやら	安らかさ
かさっまり	真っ盛り
かさつねみ	積み重ね
かざせつん	挫折感
かざのもり	飾り物
かしじもら	頭文字
かしじんん	関心事
かしたなは	話し方
かしづみわ	わしづかみ
かしづめら	しかめ面
かしとょん	図書館
かしなにら	何かしら
かしなばり	金縛り
かしはんん	下半身
かしゃりん	管理者
かしゅんん	瞬間
かじたんん	短時間
かじちまん	待ち時間
かじちもん	持ち時間
かじりわん	時間割り
かすっとま	マスカット
かずにむめ	メカニズム
かせつもん	貨物船
かせとひま	人任せ
かせもんん	専門家
かぞたのみ	高望み
かたのもら	宝物（たからもの）
かだとひり	人だかり
かだなみる	中だるみ
かだももれ	だれもかも
かちちもら	力持ち
かちつめん	メンチカツ
かちでんん	乾電池
かちみれわ	分かれ道:別れ道・分かれ道
かつてぶん	添加物
かつねぶん	可燃物
かどなまん	ど真ん中
かどふみり	深緑（ふかみどり）
かどみめゆ	かゆみ止め
かどむらん	ドラム缶
かなにもも	何もかも
かにりんん	管理人
かねまりん	マンネリ化
かのひぶん	文化の日
かのもりわ	変わり者:物分かり
かまめらん	カメラマン
かまらりわ	空回り
がききしな	聞き流し
がきけすた	たすき掛け
がきしはり	走り書き
がきなまわ	生乾き
がきはわん	半乾き
がくちもり	曇りがち
がけこころ	心掛け
がこちらわ	こちら側
がささしわ	騒がしさ
がさしのも	捜し物
がさちにん	三が日
がすたたち	立ち姿
がすたはれ	晴れ姿
がせまやん	やせ我慢
がたのもり	物語
がつつみみ	包み紙
がなみみわ	南側
ききくせゃ	客席
ききくぞん	貴金属
ききげつん	期限付き
ききすれわ	聞き忘れ
ききだひり	左利き
ききつづひ	引き続き
ききょりん	近距離
きぎさつと	嫁ぎ先
きくしつゃ	客室
きくしふゃ	複写機
きくしょれ	職歴
きくしょん	新曲
きくせたん	洗濯機
きくせちゃ	着席
きくせょん	曲線
きくたょん	極端
きくちても	目的地
きくちまゃ	客待ち
きくへゃん	返却
きくほゃん	脚本
きくむょり	無気力
きくめょん	局面
きくょりん	筋力
きくょろん	極論
きぐむらろ	キログラム
きぐらんん	ランキング
きけさとど	届け先
きけほんん	保険金
きげしふゆ	冬景色
きこしゃん	既婚者
きこっりれ	これっきり
きこどむも	子供向き
きこひもり	引きこもり
きこぶまん	昆布（こんぶ）巻き
きごたまや	卵焼き
きさしのば	先延ばし
きさちもよ	気持ちよさ
きさってん	喫茶店
きさつとめ	勤め先
きさまりわ	先回り
きしたひわ	引き渡し
きしちびよ	予備知識
きしちまめ	豆知識
きしとぶん	敷き布団
きしのばひ	引き伸ばし:引き伸ばし・引き延ばし:引き延ばし
きしはもん	下半期
きしびめり	締め切り日
きしょりれ	履歴書
きじつはめ	月初め
きすちっほ	ホッチキス
きすつびむ	結び付き
きすびみや	炭火焼き
きせめんん	洗面器
きせゃるん	キャンセル
きそっりれ	それっきり
きたてはら	働き手
きたょりん	短距離
きだまめや	目玉焼き
きだまゆる	雪だるま
きちょよん	預貯金
きつねぶん	記念物
きづまゆり	行（ゆ）き詰まり
きてにふん	不適任
きてぶんん	分岐点
きでのひも	引き出物
きでのふも	吹き出もの
きとにりん	人気取り
きどまゆり	行（ゆ）き止まり
きなみみむ	南向き
きにのもん	人気者
きねひんん	記念品
きのみゆる	気の緩み
きひみりん	見切り品
きめゃらる	キャラメル
ぎくとひり	一区切り
ぎくはふら	ふくらはぎ
ぎさなむわ	胸騒ぎ
ぎとにひり	一握り
ぎまみりわ	右回り
くくこしょ	黒色
くくしたょ	食卓
くくしっは	四苦八苦
くくしっら	クラシック［〜ミュージック］
くくしとょ	特色
くくしにょ	肉食
くくしはゅ	宿泊
くくしはょ	白色
くくしふゅ	祝福
くくしめり	締めくくり
くくしやょ	区役所:役職
くくしょよ	食欲
くくちもゃ	着目
くくちゃり	着陸
くくってに	テクニック
くくっにり	クリニック
くくはみゃ	脈拍
くくはょり	迫力
くけょりん	権力
くこごとと	ことごとく
くこしぜん	全国紙
くこたとん	コンタクト
くこたれー	コレクター
くことぱん	コンパクト［化粧〜］
くこどふも	子供服
くこにほん	日本国
くこにゃん	こんにゃく
くこへよん	予告編
くこるんー	コンクール
くさしむり	草むしり
くさしょん	三色（さんしょく）:三食
くさずちみ	口ずさみ
くさどねん	昨年度
くさぼらん	さくらんぼ
くししふん	紳士服
くししやょ	市役所
くししゅん	伸縮
くししょん	新色
くしせたん	選択肢
くしたゅん	短縮
くしたょん	単色
くしちゃん	新着:着信:賃借
くしちょん	直進:進捗（しんちょく）
くしつもょ	食物
くしてょん	転職
くしでなろ	ろくでなし
くしなもん	文句なし［〜に］
くしなょん	難色
くしにょん	職人
くしはょん	繁殖
くしひょん	食品
くしふふょ	不織布
くしへょん	変色
くしほょん	本職
くしみゅん	民宿
くすすまり	クリスマス
くすっねれ	ネックレス
くすっらり	リラックス
くすびゆり	薬指
くすりんー	スクリーン
くずたたや	役立たず
くせだりん	下り線
くせちつょ	直接
くせちゃん	先着
くせちょん	直線
くせゃりん	戦略
くせょりん	戦力
くそふぶん	不足分
くぞひふん	付属品
くぞふまん	不満足
くたちみら	立ちくらみ
くたっひり	引ったくり
くだのもや	果物屋
くちはょん	直販
くちめょん	直面
くつのもり	作り物
くづのもり	物作り
くづふめろ	袋詰め
くどねよん	翌年度
