３文字集合	可能な３文字単語
かきく	企画:規格
かきげ	激化
かきっ	活気
かきて	書き手
かきみ	上期（かみき）
かきょ	許可
かきわ	乾き:渇き
かきん	寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨
かぎく	閣議
かぎせ	稼ぎ
かぎり	限り
かくく	区画
かくご	覚悟
かくさ	格差
かくし	四角:死角:視覚:資格
かくじ	各自:自覚
かくそ	加速
かくぞ	家族
かくち	各地:知覚:近く
かくど	角度
かくは	破格
かくひ	比較
かくぶ	各部
かくほ	確保
かくみ	味覚
かくも	科目:課目
かくり	隔離
かくん	区間
かぐな	金具
かけし	仕掛け
かけっ	結果
かけで	出掛（か）け［〜際］
かけみ	見掛け
かけら	かけら
かけん	けんか
かげひ	日陰
かげん	下限:加減:原価
かこっ	国家:括弧
かこど	どこか
かこみ	囲み
かごほ	過保護
かごん	互換:看護:過言（かごん）
かささ	逆さ
かさた	固さ:硬さ:高さ
かさっ	作家
かさな	さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:魚（さかな）
かさね	重ね
かさば	酒場
かさふ	深さ
かさや	酒屋
かさゆ	かゆさ
かさん	加算:参加:監査:酸化
かざっ	雑貨
かざり	飾り
かしす	透かし
かした	仕方
かしつ	加湿:過失
かしと	都市化
かしむ	昔
かしや	貸家
かしゅ	歌手
かしょ	初夏（しょか）:箇所
かしら	からし:頭（かしら）
かしれ	彼氏
かしん	干支:監視:進化:過信
かじっ	実家
かじつ	果実:活字
かじの	カジノ
かじび	耳鼻科
かじゅ	果樹
かじん	幹事:感じ:時間:漢字
かすみ	住みか
かずて	手数（てかず）
かずん	図鑑
かせつ	仮設:仮説
かせな	背中
かせは	博士（はかせ）
かせわ	為替
かせん	河川
かそん	簡素
かたち	形（かたち）
かたな	かなた:田中
かたね	高値
かたみ	味方:味方・身方:見方:高み
かため	固め:高め
かたゆ	浴衣（ゆかた）
かたら	宝
かたり	語り
かたん	加担:単価
かだな	カナダ
かだは	裸
かだめ	めだか
かだら	体（からだ）
かだれ	だれか
かちば	近場
かちめ	勝ち目
かちら	力（ちから）
かちん	完治
かぢま	間近
かぢみ	身近
かって	勝手
かっと	カット:特価:特化
かっに	日課
かっぶ	物価
かっぷ	カップ
かっみ	三日（みっか）
かっよ	四日（よっか）
かっら	落下
かっれ	劣化
かつね	加熱
かつは	二十日（はつか）
かつふ	二日（ふつか）
かつぶ	部活
かつみ	つかみ
かつも	貨物
かつれ	疲れ
かてね	かねて
かてわ	若手
かてん	天下:添加:点火:転嫁
かでん	家電:電化
かどれ	どれか
かどん	感度
かどー	カード
かなに	何（なに）か
かなの	七日（なのか）
かなば	半ば
かなび	中日（なかび）
かなふ	不仲
かなま	仲間
かなみ	中身:中身・中味
かなよ	夜中（よなか）
かなん	何（なん）か
かにわ	にわか
かにん	認可
かねん	可燃
かはり	はかり（計・量・測）:測り:計り
かはれ	枯れ葉
かばり	ばかり［した〜］
かばん	かばん
かばー	カバー
かぱん	寒波
かひふ	皮膚科
かひり	光（ひかり）
かひん	悲観
かびん	完備
かふみ	深み
かふめ	深め
かふん	噴火:花粉
かぶれ	かぶれ
かぶん	幹部:文化
かぶー	カーブ
かぷん	還付
かへん	変化
かべわ	川辺
かほん	保管
かみゆ	かゆみ
かみら	辛み
かみん	みかん:仮眠:未完:民家
かめも	かもめ
かめら	カメラ
かめわ	わかめ
かめん	仮面
かやん	やかん:夜間
かゆり	ゆかり
かよん	予感:関与:関与・干与
かられ	彼ら
からわ	河原
からー	カラー
かりわ	かわり（代・替）:代わり:分かり:変わり:替わり
かりん	管理
かれわ	分かれ:別れ
かれー	カレー
かわん	緩和
がきっ	学期:楽器
がきて	手書き
がきね	気兼ね
がきは	はがき
がきみ	磨き
がきれ	瓦礫（がれき）
がきん	祈願:謹賀
がくご	語学
がくさ	差額
がくた	多額
がくつ	九月
がくひ	学費
がくぶ	学部
がくろ	録画
がぐん	玩具
がけれ	汚（けが）れ
がこた	小型:小形・小型
がこら	小柄
がごつ	五月
がさな	長さ
がしつ	四月:画質
がしひ	東（ひがし）
がしら	白髪（しらが）
がしわ	和菓子
がすた	姿
がすら	ガラス
がずら	図柄
がっつ	ガッツ
がっぴ	月日（がっぴ）
がつに	二月
がつは	発芽
がてに	苦手
がてみ	手紙
がてや	やがて
がてら	手柄
がどー	ガード
がなめ	眺め:長め
がなれ	流れ
がにみ	苦み
がねめ	眼鏡（めがね）
がねん	年賀
がひみ	ひがみ
がひん	悲願
がびん	美顔
がまり	曲がり
がまん	我慢:漫画
がみめ	女神（めがみ）
がみゆ	ゆがみ
がみる	身軽
がみわ	我が身
がめん	画面
がやわ	我が家（や）
がらん	裸眼
がるー	ガール
ききせ	奇跡:奇跡・奇蹟
ききづ	気付き
ききて	利き手:聞き手
ききみ	見聞き
ききめ	効き目:目利き
ききゆ	行（ゆ）き来
ききん	基金:近畿
きぎし	儀式
きくこ	帰国
きくさ	草木（くさき）
きくそ	規則
きくた	帰宅
きくっ	キック
きくは	気迫
きくゃ	客:脚
きくや	規約
きくょ	局:曲
きくろ	記録
きぐは	歯茎
きぐん	キング
きけし	景色
きけは	吐き気
きけん	危険:棄権
きけー	ケーキ
きげし	刺激
きげだ	打撃
きげど	激怒
きげひ	悲劇
きげん	元気:期限:機嫌
きこせ	戸籍
きこの	きのこ
きこん	今期:既婚:根気:金庫
きさっ	さっき:喫茶
きさて	手先
きさで	出先
きさめ	目先
きざし	座敷
きざせ	座席
きしし	色紙（しきし）
きしず	図式
きしそ	組織:色素
きしち	敷地:知識
きしっ	湿気（しっき）
きしつ	気質
きして	指摘
きしや	屋敷
きしゅ	機種
きしょ	初期:死去
きしり	仕切り
きしれ	歴史
きしわ	和式
きしん	新規:禁止:資金:近視
きじつ	期日
きじひ	ひじき
きじり	自力
きすず	すずき:鈴木
きすて	手すき［お〜の時に］
きすま	すき間
きずむ	無傷
きせつ	季節
きせゆ	石油
きせり	離席
きぜつ	気絶
きぜん	前期
きそん	既存（きそん）
きぞん	既存（きぞん）
きたぬ	たぬき
きたり	他力
きたん	短期:短気
きちむ	キムチ
きちも	気持ち
きちん	チキン
きって	切手
きっに	日記
きっね	熱気
きっは	発揮
きっひ	筆記
きっふ	復帰
きっぷ	切符
きっま	末期
きっめ	めっき
きつづ	続き
きつね	きつね:寝付き
きつひ	月日（つきひ）
きつま	期末
きつよ	強気
きつり	規律:規律・紀律:起立
きつれ	亀裂
きてど	適度
きてぬ	手抜き
きてび	手引き
きてむ	無敵
きてめ	決め手
きてん	天気:機転:起点:転機
きでん	電機:電気
きども	もどき
きにび	にきび
きにん	人気:任期
きねび	値引き
きねま	招き
きねん	年季:年期:記念
きのも	着物
きのり	乗り気
きはん	半期
きばり	馬力（ばりき）
きばん	基盤
きひび	響き
きひょ	拒否
きひら	開（ひら）き
きひん	気品
きふむ	不向き
きふん	ふきん:付近:付近・附近:奮起
きぶん	分岐:気分
きぷー	キープ
きぺん	ペンキ
きほん	基本
きぼん	募金
きまま	気まま
きまり	決まり
きまん	満期
きみむ	見向き
きみり	切り身:見切り
きみわ	わき見:極み
きむん	勤務
きめれ	切れ目
きやる	やる気
きやん	夜勤
きょり	距離
きよわ	弱気:気弱
きよん	預金
きりれ	履歴
きりん	臨機:金利
ぎくと	特技
ぎくゃ	逆
ぎくり	区切り:区切り・句切り
ぎくわ	疑惑
ぎぐゃ	ギャグ
ぎけつ	決議
ぎこむ	小麦
ぎさし	詐欺師
ぎさわ	騒ぎ
ぎした	下着
ぎしふ	不思議
ぎしゅ	主義
ぎしん	審議
ぎじつ	実技
ぎすで	出過ぎ
ぎずみ	水着
ぎせふ	防ぎ
ぎたー	ギター
ぎだは	肌着
ぎてみ	右手
ぎてわ	手際
ぎとふ	ギフト
ぎにり	握り
ぎふゆ	冬着
ぎふる	古着
ぎへや	部屋着
ぎまれ	紛れ
ぎまわ	間際
ぎもん	疑問
ぎりわ	輪切り
ぎるわ	悪気（わるぎ）
ぎろん	議論
くくり	くくり
くけわ	区分け
くげら	くらげ:下落
くこご	国語
くこし	四国:酷使
くこじ	時刻
くこた	他国
くこち	告知:遅刻
くこど	孤独
くこよ	予告
くごじ	地獄
くごひ	極秘
くごら	娯楽
くささ	臭さ
くさし	作詞:施策:試作
くさじ	自作
くさひ	低さ
くさも	模索
くさや	昨夜
くさら	暗さ:桜:落差
くさろ	黒さ
くざそ	即座
くした	仕度（したく）:支度・仕度（したく）:支度（したく）
くしは	白紙（はくし）
くしふ	福祉:私服:至福
くしみ	仕組み
くしゅ	祝（しゅく）
くしょ	職:食
くしよ	抑止
くしら	暮らし
くじそ	即時
くじぞ	持続
くじた	自宅
くじと	自得
くじば	自爆
くじま	字幕
くじも	目次
くじゃ	弱
くじゅ	塾
くじら	鯨
くじろ	黒字
くすた	タスク
くすで	デスク
くすま	マスク
くすら	クラス
くすり	リスク:薬（くすり）
くずも	もずく
くずれ	崩れ
くせっ	節句・節供
くせん	苦戦
くそど	土足:速度
くそふ	不足
くそほ	補足
くそよ	予測
くそり	利息
くぞふ	付属:付属・附属
くたみ	たくみ:巧み
くたん	タンク
くだぼ	打撲
くだら	堕落
くだり	くだり（件）:下（くだ）り
くちび	備蓄
くちゃ	着
くちょ	直（ちょく）
くっど	ドック
くっね	ネック
くっの	ノック
くっば	バック
くっぱ	パック:パック［〜旅行］
くっら	ラック
くっろ	ロック
くつべ	区別
くつり	つくり（作・造）:作り:理屈:造り
くてび	手首
くてん	句点
くとー	トーク
くどぼ	土木
くにひ	皮肉
くにや	肉屋
くはび	美白
くはよ	余白
くばや	役場
くばり	配り
くばろ	暴露
くぱん	パンク
くぱー	パーク
くひめ	低め
くひも	黙秘
くひゃ	百
くひや	飛躍
くぴん	ピンク
くぴー	ピーク
くふふ	不服
くふぶ	腹部
くふみ	含み
くふろ	付録:付録・附録:復路:袋（ふくろ）
くふわ	和服
くぶほ	北部
くぶら	クラブ
くぶん	区分
くべら	比べ
くほろ	ほくろ
くぼみ	くぼみ
くぼら	僕ら
くぽー	ポーク
くまら	まくら
くまる	車（くるま）
くまー	マーク
くみむ	むくみ
くみゃ	脈
くみや	薬味
くみる	ミルク
くむよ	無欲
くめや	役目
くめん	工面
くめー	メーク
くもり	曇り
くもん	文句
くゃり	略
くやよ	予約
くやわ	和訳
くょり	力（りょく）
くらん	ランク
くりん	リンク
くわー	ワーク
ぐさし	仕草
ぐさり	探り
ぐしん	寝具
ぐすら	グラス
ぐせね	寝癖
ぐそん	ソング
